Reviews for Fastrack,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Value for money,,,,thank u flipkart❤️",45-54,F," Bengaluru, Karnataka",Working Professional,October,2022,Q4
Fabulous 👌 👏,Under 18,M," Kuju, Jharkhand",Student,October,2024,Q4
"Nice thanks for Flipkart
Thank you 🙏",55 and above,M," Metapally, Telangana",Retired,February,2024,Q1
"Good one nd value for money,, liked it.. Battery back up is good",25-34,M," Bengaluru, Karnataka",Freelancer,September,2020,Q3
Very good 👌,25-34,M," Nashik, Maharashtra ",Freelancer,October,2020,Q4
Very good product. Value for money. Speaker and call functions are very clear. There is a little touch screen problem.,35-44,F," Bansberia, West Bengal",Homemaker,June,2022,Q2
Wonderful,55 and above,M," Purba Bardhaman, West Bengal",Retired,January,2022,Q1
Ok,25-34,M," Bhagalpur, Bihar",Working Professional,February,2020,Q1
Good product not bad.,25-34,M," Chennai, Tamil Nadu",Freelancer,August,2024,Q3
Average,45-54,M," Mora, Maharashtra",Working Professional,February,2022,Q1
Battery problem,55 and above,M," Pimpri Chinchwad, Maharashtra",Retired,August,2023,Q3
Nice fiting,45-54,F," Kota, Rajasthan",Homemaker,February,2020,Q1
"It's great watch in this budget segment .

I am happy with us",18-24,M," Indore, Madhya Pradesh ",Freelancer,July,2022,Q3
Looking good 💯😊,55 and above,F," Aurangabad, Maharashtra",Homemaker,November,2021,Q4
"Value for money, too good. Thanks for the product flipcart",Under 18,F," Uluberia, West Bengal",Student,May,2021,Q2
Very nice whach,45-54,M," Surat, Gujarat",Working Professional,March,2020,Q1
It looks so cool and the battery charging really quick and the material is too good . I love this product.,18-24,F," Kanganbaria, West Bengal",Working Professional,April,2020,Q2
Very nice product,Under 18,F," Kumaramangalam, Tamil Nadu",Student,April,2021,Q2
It's good product and decent look,18-24,M," Hubballi, Karnataka",Working Professional,August,2024,Q3
It looks so cool and battery charging really quick and material too good quality..I love this product😍,18-24,F," South Twenty Four Parganas District, West Bengal",Working Professional,February,2023,Q1
Very good product 👌👌👌👌👌,35-44,M," Othakalmandapam, Tamil Nadu",Working Professional,August,2020,Q3
"I loved this product. Goes too well with my professional outfit.
Easy connect with smart phone, so that I don't miss out on important calls. Worth the price.",35-44,F," Mumbai, Maharashtra",Homemaker,March,2023,Q1
Loved the new watch. It looks so cool and the battery charged really quick and is really good to reach my fitness goals as i am always keeping track of it. So many backgrounds to choose from i am loving using this watch right now and i love the teal colour as well looks so good,45-54,F," Thrissur, Kerala",Homemaker,July,2024,Q3
"I just loved this watch.. it have Lar, Uttar Pradeshge bright display with smooth touchscreen to operate. Have sports modes and amazing watch faces to choose. Have multiple features like auto sleep tracker, stress monitor, inbuilt games and much more.. Battery back up is very good. Loved the in call function. Best watch in this price range..highly recommended",55 and above,F," Karkal, Maharashtra",Homemaker,February,2023,Q1
"Beautiful Smart watch, battery backup nice value of money 🥰🥰🥰🥳🥳🥳🥳 am very happy",25-34,F," Nehtaur, Uttar Pradesh",Homemaker,April,2023,Q2
"Watch is superb,works really smooth and so stylish,it has many functions like fitness,stress monitor,auto sleep monitor,camera control, the best part is it is water resistant, and can get all notifications on screen,really loved it
Best at reasonable price👍👍",18-24,F," Jaipur, Rajasthan",Working Professional,November,2021,Q4
"Looks are amazing...battery backup is also good, interafce is smooth to operate.. multiple features in this price range .. loved it totally. Looks smart.Sleep tracking is working fine with light, Deep and sleep score statistics. Accuracy for BPM is good as I have compared with other devices like BP monitor.",25-34,F," Bengaluru, Karnataka",Homemaker,July,2023,Q3
"This product is just wow!!
Specially good battery back up, calling function and notification alert.
I think this is the best calling smartwatch under budget. ❤️🌸",18-24,F," Prayagraj, Uttar Pradesh",Working Professional,August,2023,Q3
Good product,18-24,M," Bengaluru, Karnataka",Freelancer,April,2020,Q2
Craziest product I have ever seen!! Great value for money. Amazing build quality with ip68 ratings. Easiest pairing I've ever seen. Tons of features. And a great brand too. Can't believe the pricing as well. Close your eyes and add it in your cart.,35-44,M," Sirsi, Karnataka",Freelancer,October,2023,Q4
I really like your new launch revoltt Fs1 by fastrack .super touch ..battery was awesome .also there are many watch faces available really love this .and I would highly recommend this to everyone.,Under 18,F," Chaibasa, Jharkhand",Student,December,2023,Q4
I am in love with this amazing watch😍 its my first smart watch purchasing . Superb touch and battery backup👍🏻👍🏻 I am very happy and total value of money.,Under 18,F," New Delhi, Delhi",Student,June,2022,Q2
Superb touch and battery backup awasom look .i m really impressed with new launched watch . product is really nice highly recommended,55 and above,F," Kanpur, Uttar Pradesh",Homemaker,July,2020,Q3
Very nice,55 and above,M,"  Pune, Maharashtra",Retired,January,2023,Q1
"The best thing about this May is that there is a calling function.It also has many other functions like fitness, outdoor in door games ip 60 water resistance, stress monitor ,auto sleep monitor 10 mint charging one day use upto 7 days betrry alvoice assistance,music and cemra control I like this watch very much Best watch I love this",55 and above,F," Bhopal, Madhya Pradesh",Homemaker,March,2022,Q1
"Watch built quality was good and can consider for daily usage purpose but reflex app connectivity with the watch was worst,, Titan need to work on app connectivity..",18-24,M," Krishna, Andhra Pradesh ",Working Professional,March,2023,Q1
Super,55 and above,F," Bengaluru, Karnataka",Homemaker,May,2021,Q2
"The watch overall is good.no connectivity issues faced, the watch faces gives it a very premium look. Overall I would say the product is good.The display resolution is quite good and runs very smooth.
At this price point, this is a deal.
I'd say go for it.",35-44,F," Achhnera, Uttar Pradesh",Working Professional,February,2022,Q1
"This is first smart watch and I am impresses with this , display , its color , battery life , connectivity everything is awesome.
It looks cool .",18-24,F," Kanpur, Uttar Pradesh",Working Professional,March,2024,Q1
I'm really impressed with Newly launched watch ⌚. It's very stylish and comfortable. There are various displays which make it more attractive also it has a long battery backup. I just loved the watch and I Highly recommended you 🙂❤️,25-34,F," Dibrugarh, Assam",Homemaker,July,2022,Q3
"Very nice
Good 👍
Super battery 👍",25-34,M," Gurgaon, Haryana ",Working Professional,March,2023,Q1
"I just really loved this smart watch looks classy
Battery backup excellent 👍 value for money ..
Excellent 👌",45-54,F," Aligarh, Uttar Pradesh",Homemaker,February,2020,Q1
Nice product,45-54,M," Bhagalpur, Bihar",Freelancer,September,2022,Q3
"Very nice Smart watch in affordable price range. Some features are missing like GPS Tracking,always on display. But anyone need affordable branded smart watch they can consider it. Battery backup is also up to mark. Thanks Flipkart 👍👍👍",55 and above,M," Jaipur, Rajasthan",Retired,August,2021,Q3
"This watch offers high level fitness tracking . It has a simple, easy-to-use interface, has games in it for entertainment and can track your heart rate, steps, and calories burned. It even has option for Bluetooth calling and support virtual assistant it is a great deal .",25-34,F," New Delhi, Delhi",Homemaker,April,2022,Q2
Nice product go for it,18-24,F," Pinjore, Haryana",Working Professional,February,2024,Q1
Value for money,18-24,M," Guntur, Andhra Pradesh",Freelancer,November,2021,Q4
Amazing smartwatch so beautiful design and finishing 😍 ❤️ loved the watch so affordable price ..it has Amazing features very easy to operate.. really loved it so much,25-34,F," Kanpur Nagar, Uttar Pradesh",Homemaker,June,2021,Q2
Very very good product thanks flipkart,25-34,F," Bhabhar, Gujarat",Homemaker,February,2024,Q1
Hi guys I recently started using this Fastrack smart watch. And believe me it works really good. We can use the wallpaper of our choice and even add photos for wallpapers from our gallery. It has a feature from which I can receive notifications of various applications. I love it,25-34,F," Mohali, Punjab",Homemaker,November,2020,Q4
"I absolutely love this watch!It boasts a Larger, curved glass display. It is more distinctive and remarkable thanks to its more than 200 watch faces and 110 sports faces. I've been wearing a smart watch for more than a year, but what I appreciate most about it is its quick charging capabilities. The level of advance health monitoring is higher. With the help of a powerful AI voice assistant, I can control and command this. I personally like it.",45-54,F," Jaipur, Rajasthan",Homemaker,March,2022,Q1
"Till today 1week Completed I have not yet charged till now 37% 🔋 available. it's charged by Company when received.
It's at this price and it's a very good BT Calling Smart watch.
Calling by watch is also good 👍.
You can go to Buy without any hesitation.
Thanks ❤️ Flipkart and Fastrack also😊.",25-34,M," Mumbai, Maharashtra",Freelancer,March,2021,Q1
Beautiful smart watch which comes in a budget with all latest features and more tha 100 of options to change the display . Must buy watch in such a great price .,55 and above,F," Dehradun, Uttarakhand",Homemaker,January,2020,Q1
"I just love this smart watch, best this is its battery life, I don't have to charge it everyday, for me it's battery last for 3-4 days, and it also get charged super quickly, its superb design and features makes it a great smart watch. I can now answers call and messages with Taking my phone out. Also I can very easily track my activities and keep a check on my health. I think I am going to buy it in other colors too.",45-54,F," New Delhi, Delhi",Homemaker,December,2023,Q4
Value for money😍,35-44,M," Sehore, Madhya Pradesh",Freelancer,January,2023,Q1
"Such a elegant look.. just loved it ...ultra uv display is just awesome , excellent battery life . It's pocket friendly too . All features ✅️",55 and above,F," Mora, Maharashtra",Homemaker,October,2022,Q4
"This is so amazing product from fast track watch I am use them on daily basis now!! Fastrack watch fs1 does have good quality sound check. I am happy to buy.. you can order and I am happy to buy .. go and check it now.

#Dhani #OnlineShopping #Dreamplugs #NewLaunch",35-44,F," New Delhi, Delhi",Homemaker,November,2021,Q4
"Watch's sensors are so accurate.
Design is average but battery is awesome 5 days battery life with by calling and display is 500 nits is very bright in sunlight.
I love fastrack.",55 and above,M," Delhi Division, Delhi",Retired,September,2021,Q3
I think it a best option to buy the latest smartwatch at the lowest price. Good battery life... display quality is good. track health and fitness .. and having calling feature worth money 😍,55 and above,F," Aligarh, Uttar Pradesh",Homemaker,December,2021,Q4
Good product 👍,35-44,M," Purba Bardhaman, West Bengal ",Freelancer,February,2022,Q1
"I was impressed with the Fastrack revoltt watch from the moment I received it. The packaging was sleek and professional, and the watch itself looked stylish and high-quality. Upon turning it on, I was pleased to find that the watch face was bright and easy to read. One of my favorite features of this watch is its fitness tracking capabilities. It accurately tracks steps taken, calories burned, and heart rate. It also has a variety of different workout modes, which is great for those who like ...
READ MORE",Under 18,M," Gwalior, Madhya Pradesh",Student,January,2021,Q1
The watch is the ultimate choice and really satisfies me with the features. The watch gives accurate information about everything. Loving it alot,35-44,F," Meerut, Uttar Pradesh",Homemaker,June,2020,Q2
"I must admit that this watch is super smooth, no lag while switching modes. Battery backup is excellent. it is having all the essential features like BPM, Sleep monitoring, calling facility, etc. Whithout a doubt this is super choice that too with this attractive price.",18-24,F," Jaipur, Rajasthan",Working Professional,January,2020,Q1
"It is the best smart watch. It is Very easy to use. The instruction mannual is very descriptive so it was easy to start at the first glance. Im liking all the features of it. Very fine finishing, elegant and super smart. It comes with a charging lead. My kiddo also loved it",45-54,F," Gautam Buddh Nagar, Uttar Pradesh",Homemaker,June,2021,Q2
"This one is stylish and looks classy .There are many Watch faces and 100 + sports model with good control at this price range .battery is good, i love this green teal colour .
Display is visible in sunlight and happy with this product 😍😍😍😍",35-44,M," Jangipur, West Bengal",Freelancer,December,2023,Q4
"FASTRACK REVOLTT FS1 🔥
The watch is very good. 💓
Battery backup is ok.🔋
Media sound not properly working. 👀
latency in touch response. 🤏
All about this watch is ohkk. ☺️",Under 18,F,"  Pune, Maharashtra ",Student,August,2020,Q3
The built in game is a good time pass. The battery backup is also great. I love the design of the watch and the watch faces .Really Amazing watch .Worth every Penny .The activity trackers even the battery charger is superb and most important the watch is super affordable,18-24,M," Ernakulam, Kerala",Freelancer,October,2022,Q4
"Just love the watch ....
Smooth touch
Easy connectivity
Good battery backup and very fast charging
Call sound is so clear
In short superb hai go for it",55 and above,M," Muradnagar, Uttar Pradesh",Retired,January,2020,Q1
Good,25-34,F," Unnao, Uttar Pradesh ",Homemaker,February,2023,Q1
"I loved this product. Goes too well with my professional outfit. Easy connect with smart phone, so that I don't miss out on important calls. Worth the price.❤️❤️❤️❤️",Under 18,M," Ahmedabad, Gujarat",Student,September,2023,Q3
Best,45-54,M," New Delhi, Delhi",Working Professional,February,2023,Q1
Nice watch from a reputed company but to update the firmware with ios is bit difficult you can contact customer support for the same.,55 and above,M," Wayanad District, Kerala",Retired,March,2020,Q1
Fully loaded with Feature and value for money,25-34,M," Haldia, West Bengal",Freelancer,May,2020,Q2
"Classy product
Very nice watch in amazing price also Calling quality is amazing. Long battery backup.It's very comfortable to wear and the colour is very nice.I am satisfied and very happy to buy it.",Under 18,F," Jabalpur, Madhya Pradesh",Student,July,2022,Q3
"Very nice product, light weight and attractive",18-24,M," Medinipur, West Bengal",Working Professional,August,2021,Q3
Watch is wow. Strap quality is superb and the display and features are also so useful,55 and above,M," Hyderabad, Telangana",Retired,January,2023,Q1
Nice prodect,55 and above,F," Palacole, Andhra Pradesh",Homemaker,June,2021,Q2
"I am really satisfied and happy to buy this fast track smart watch. The colour chosing combination is so amazing. Battery backup is awesome. So many features and so many in built games. You can get a stylish and smart watch in such an affordable price. It's features like bp monitor, water resistant , calling feature connect automatically and many more are really amazing. It also tracks health and fitness.",25-34,F," Ajmer, Rajasthan",Homemaker,December,2024,Q4
I really loved this Fastrack revoltt Fs1 classy watch. And colour is really very good. big display. Best part it has calling function. And so many useful functions Long battery backup. Auto sleep tracker. Quick replies.water resistance. So many in built games. Stress monitor. Its really value for money. And all colours are awesome. I really loved this watch.,Under 18,F," Navi Mumbai, Maharashtra",Student,October,2024,Q4
Nice 👍,55 and above,F," Gurugram, Haryana",Homemaker,March,2021,Q1
"It is very good watch,wants to watch fastrack for along periods of time
Display 8/10
Design 9/10
Battery 🔋 about 12 days 9 /10
Overall 9/10
Good watch I am very happy 😊",18-24,M," Kolkata, West Bengal",Freelancer,July,2022,Q3
"The watch looks great and goes well with all kinds of attire. Ethnic, casual, formal almost everything looks good with this watch. Easy to use. The touch screen is good.",Under 18,F," Bhiwani, Haryana",Student,September,2024,Q3
"Stylish yet Very good Function, good For all age group. Display ,Function are worth spending money. The best part, Calling function is really good. Exercise lover like me really loved it. Over all Very good smartwatch in this range.",45-54,F,"  Pune, Maharashtra",Homemaker,August,2024,Q3
it is awesome and good as it's product quality is so good and it is good in range !,35-44,M," Jhansi, Uttar Pradesh ",Freelancer,February,2020,Q1
Love the design and features. The battery back up is really good and best for keep monitoring your heart rate . Absolutely value for money!,18-24,F," Paradip, Odisha",Working Professional,October,2021,Q4
Nice wrist watch for everyone and fully loaded with features.thanx Flipkart,18-24,M," Old Goa, Goa",Working Professional,July,2021,Q3
Just loved the watch. It is very stylish and very comfortable. It helps me in tracking my steps and my health. There are various displays which make it more attractive. It has a long battery backup. I highly recommend it to everyone,55 and above,M," Pilkhuwa, Uttar Pradesh",Retired,October,2020,Q4
"This watch is amazing, very nice colour, just as its shown.The functionality is great, I totally love the features of this smart watch, definitely worth every Penny..I've used other smart watches I must say this is the best one I got!",55 and above,F," Hyderabad, Telangana",Homemaker,January,2022,Q1
One of the best watch. Quality of the watch is very awesome display is running very smooth value for money lasting battery i love this watch.,18-24,F," Greater Noida, Uttar Pradesh",Working Professional,November,2022,Q4
Superb watch with amazing features. Has it all. Whether running feature or heart rate count. It is one stop for all your needs. Quite variety of screen. I loved this quite lil 🐘 in it. Best in it's range. Surpasses many other brands in terms of quality and features.,35-44,F," New Delhi, Delhi",Homemaker,May,2022,Q2
"Nice watch battery stand by 8 day without bluthooth,
For Daily used perfect watch😍😍😍
Sound:- 5/5
Design:-5/5
Health Tracking: 4/5😎
Screen ratio:- good😎",18-24,M," Wardha, Maharashtra",Freelancer,March,2022,Q1
"I have bought smart watch for first time, it has wonderful specifications and worth for money",35-44,M," Chennai, Tamil Nadu",Working Professional,May,2023,Q2
Worth it,Under 18,M," Gurugram, Haryana",Student,August,2024,Q3
"Very nice watch.I am writing this review after 10 days.Battery is very good,lasts comfortably for 7 to 8 days.Display is good.Activity tractor is fine.Calling is great.",25-34,F," Madhubani, Bihar ",Homemaker,October,2020,Q4
Touch display doesn't work good,45-54,M," Malappuram, Kerala ",Working Professional,June,2024,Q2
It has connecting problem....sometimes you have to face problems to connect the watch with the app...it automatically gets disconnected...and also battery backup is also average..BUT the design and the looks and the strap is very nice..,35-44,M," Bara, Bihar",Working Professional,June,2024,Q2
"Amazing watch with variety of features like spo2, heart monitor, sleep monitor including BT calling feature. you can call another person just by using watch. Easy and fast to connect. Best features in its price segment .. It Monitors my heart rate and blood pressure as well. Great way to tell my teenagers your one step away from me having a heart attack and you being grounded based on my watch result's. I love the fitness tracker and the achievements I complete, along with the monitoring your...
READ MORE",35-44,M," Gwalior, Madhya Pradesh",Working Professional,July,2023,Q3
"Fantastic product by Fastrack. I was skeptical before purchasing but it completely impressed me. I didn't want anything fancy or expensive. This is not only economical but also gives a lot for the price tag.
Display- is bright and vibrant. Please don't compare it to OLED at this price point
Functions- more than one can ask for. Has heart rate, spo2, stress monitor, etc.. list goes on.
Tracking- is accurate for most parts, i haven't compared to any other devices but it works fine.
Touch- is sm...
READ MORE",25-34,F," Mumbai, Maharashtra",Homemaker,February,2021,Q1
"Fastrack has done a great job
1.its battery back is good and charging is super fast
2.activity tracking is good along with good features
3.4 games are there
4.watch faces are good and display is good.
5.this watch is value for money just go for it
6. strap quality is good at this price range
7.packing is also good
8.special thanks to flipkart for delivering in 2 days
Overall the watch is good features are good and at this price range this is the best watch. The battery is amazing",25-34,F," Adoor, Kerala",Homemaker,June,2023,Q2
Best product from Fastrack 😍 Just loving this ❣️ Just loving Fastrack for everything 😍 best watch I 'd ever seen just loving Fastrack for everything 😍😅,45-54,M," Hasanpur, Bihar",Working Professional,June,2024,Q2
"The product looks amazing.If you r getting confused about what to buy.I should tell you this one will be the best.the sound quality,display andThe smooth touch will make you give an extra ordinary experience of a premium watch. It heart rate moniter when the heartbeat gets over 173 it also gives an alert message.It has a find my phone feature. It can also count our steps. I love it ❤️🐨🐰",25-34,M," Mohali, Punjab",Working Professional,May,2023,Q2
"Fast-track Revolt FS1 watch is really amazing.I Really recommend guys must take a try .It's very comfortable , affordable and quality is superior.",35-44,M," Kharar, Punjab",Freelancer,January,2023,Q1
Found it perfect for my daily updates on workout or sleep...and it effectively gives notification of my phone....the look is very ravishing and it's go for daily wear...loved it,45-54,F," Solan, Himachal Pradesh",Homemaker,January,2020,Q1
Nice item..best watch,Under 18,F," Bongaigaon, Assam ",Student,July,2021,Q3
Superb I loved it,45-54,M," Rajam, Andhra Pradesh",Freelancer,August,2023,Q3
Total 13 days after this watch not working Flipkart full waste,45-54,M," Chennai, Tamil Nadu",Freelancer,September,2021,Q3
"It's bluetooth connectivity is not good, it has to be paired again and again, as it gets disconnected. Pairing problem is there for sure. The speaker volume is also very very low.",Under 18,M," Allahabad, Uttar Pradesh",Homemaker,March,2024,Q1
"I am thoroughly impressed with this product. The smartwatch is packed with features that make it a great value for its price. The watch face is bright and clear with 200+ faces, making it easy to read the time, messages and notifications.
The watch has a variety of fitness features that include step count, heart rate monitor, and sleep tracker. These features have been really helpful in keeping track of my daily activity and making sure I am staying healthy. I also appreciate the fact that th...
READ MORE",45-54,M," Gwalior, Madhya Pradesh",Working Professional,January,2024,Q1
"UI is unsatisfied.
Touch Display doesn't work well.",35-44,M," Kalyan, Maharashtra",Freelancer,March,2021,Q1
"Pros:
1. Bluetooth calling in this price range
2. Teal color is really nice
3. Activity tracker also good
4. Sports modes are nice
5. Good battery backup

Cons:
1. Watch size is really small
2. User can only set one watch face from the app..the remaining them are default.
3. The Red color is not properly recognised in the watch when we change the watch faces. Red is shown as orange in the watch
4. The alarm, stop wach, timer icons ( Also activity icons) are very much similar so very confused...
READ MORE",18-24,M," Ernakulam, Kerala",Freelancer,September,2023,Q3
Touch and step count not working properly.....,18-24,M," Machilipatnam, Andhra Pradesh",Freelancer,October,2023,Q4
Always disconnected and touch display not very good too poor,18-24,M," Krishna, Andhra Pradesh ",Working Professional,June,2022,Q2
Good one😊,35-44,M," Bhatkal, Karnataka",Freelancer,July,2020,Q3
"Good quality, good company 👍",45-54,M," Kalna, West Bengal",Working Professional,November,2021,Q4
"Overall a good product.., the battery life for me is more than 10 days for normal usage.. thank you..",35-44,M," Hosur, Tamil Nadu",Working Professional,December,2023,Q4
Value for money,18-24,F," Rourkela, Odisha",Working Professional,March,2021,Q1
Superb,35-44,M," Aurangabad, Maharashtra",Freelancer,December,2024,Q4
I ordered this for me as I love it that the watch quality and heavy 🥵 thank you Flipkart for keeping such good product that we can purchase any hesitation 🫡🫡 if any guys thinking for this watch I am just telling you don't think much just go and purchase it,45-54,M," Aurad, Karnataka",Freelancer,April,2020,Q2
Good,18-24,M," Bidar, Karnataka",Freelancer,July,2024,Q3
Nice,18-24,M," Jammu, Jammu and Kashmir",Working Professional,March,2021,Q1
Great product,45-54,M," Satna, Madhya Pradesh",Freelancer,May,2021,Q2
Good,25-34,M," Rudrapur, Uttarakhand",Freelancer,November,2022,Q4
Best product,18-24,F," Ahmedabad, Gujarat",Working Professional,December,2020,Q4
Value for money... Great in design. Overall good experience,Under 18,M," Mumbai, Maharashtra",Student,June,2023,Q2
Awesome,Under 18,M," Chandigarh, Punjab",Student,May,2023,Q2
