Reviews for Apple Watch ,Age,Gender,Location,Occupation
"Best watch
Big display
Very slim
Fit and finish also good.
Love it.",55 and above,M," Jajapur, Odisha ",Retired
Really love this series 10 Iwatch awsme,25-34,M," Chennai, Tamil Nadu",Working Professional
I'm loving it,25-34,M," Kamrup, Assam ",Working Professional
Amazing product,25-34,M," Jammu, Jammu and Kashmir",Freelancer
"Good one , worth every Pen, Maharashtrany",25-34,M," Darjeeling, West Bengal",Working Professional
Excellent product I love it,18-24,M," Basirhat, West Bengal",Working Professional
Battery is worst,Under 18,F," Sawai Madhopur, Rajasthan",Student
Just awesome.,25-34,F," Bengaluru, Karnataka",Homemaker
Awesome watch with very sleek design and great battery life! Loved it!! 😍,18-24,F," Nandivaram Guduvancheri, Tamil Nadu",Working Professional
"Happy with my new Apple purchase. Just check your wrist size before Taki, West Bengalng the decision for 41mm or 45mm. 41mm looks more like a watch I feel.",55 and above,M," New Delhi, Delhi",Retired
"Chic ! And at a 21% discount, it is amazing to have :)",25-34,F," Lucknow, Uttar Pradesh",Homemaker
"Great purchase from Flipkart! Got the Apple Watch Series 9 at a fantastic price. The delivery was quick, and the packaging was excellent. Flipkart really offers great value for money on premium products like this. Highly recommended!",25-34,M," Jaipur, Rajasthan",Working Professional
Simply awesome. Perfect pairing with my iPhone 14 plus.,Under 18,M," Barrackpore, West Bengal",Student
Loved it. Great quality. Looks so premium.,25-34,M," Udupi, Karnataka",Working Professional
Beautiful watch ❤️,25-34,F," Varanasi, Uttar Pradesh",Homemaker
The product is really good and justifies the cost. Really happy with the item,35-44,M," Mumbai, Maharashtra",Working Professional
Top notch Performance!,18-24,M," Coimbatore, Tamil Nadu",Working Professional
Amazing watch just go for it,25-34,M," Mumbai, Maharashtra",Freelancer
The product is good. The screen quality is improved. Loved the red colour.,Under 18,M," Hyderabad, Telangana",Student
Good Watch and also customisation by changing the straps are so nice.,18-24,M," Palakkad, Kerala",Working Professional
The outer box was dirty! But the product quality is awesome. Loved it! 8 years of Dream accomplished,55 and above,F," Salem, Tamil Nadu",Homemaker
Awesome experience. This is my first apple watch and I am extremely happy with it. Worth it with the price I got at Big Billion Days.,45-54,M," Dhanbad, Jharkhand",Working Professional
"No doubt on Apple watches performance and design.
This is my first apple watch, overall satisfied with performance, battery lasts full day with all notifications on, could have much better comparing other android watches.
Please be careful with strap size, mine was M/L and it is recommended only for thicker wrist, mine is normal and it is slightly bigger for me.",Under 18,M," Sonipat, Haryana",Student
Great 1st Apple Watch,55 and above,M," Koch Bihar, West Bengal",Retired
I always wanted it so I just love it.,18-24,F," Mohali, Punjab",Retired
Very nice product and awesome. Value for money.,45-54,M," Vadodara, Gujarat",Freelancer
best display and features.,18-24,M," Jaipur, Rajasthan",Freelancer
"Undoubtedly this is the best upgrade from my watch series 3 38mm.

Performane as expected and display looks really bright and beautiful.

Activity tracking is way better than before.

Thanks flipkart for BBD sale gift.

Best delivery experience.",25-34,M," Kendrapara, Odisha ",Working Professional
"Awesome product, lo price best reseller for apple is flipkart, good service and original product. Please always ensure open box delivery 🙏 the nice real product.......",25-34,F," Durgapur, West Bengal",Homemaker
"Beautiful watch
No cellular one",35-44,F," Delhi Division, Delhi",Homemaker
The watch is a bit delicate There could be easy scratches on glass and body shell.,45-54,M," Bhiwandi, Maharashtra",Working Professional
"Got 45mm for 31k, worth the price and perfect with iphone.",18-24,M," Bengaluru, Karnataka",Freelancer
Best smartwatch in the market. Excellent features with great animations. 45mm fits perfectly with my skinny wrist. With apple watches only issue is with the less battery. With always display on in normal usage approx 30 hrs battery i am getting.,Under 18,M," Kolkata, West Bengal",Student
"The watch is really good, initially sceptical about purchasing as it's heavily discounted on Flipkart but once it received I have checked serial number and it's not activated and otginal",Under 18,F," Raigarh, Chhattisgarh",Student
"Superb purchase,totally staisfied with product
Using it with apple 13 pro max ,enjoying apple ecosystem",45-54,M," Jamnagar, Gujarat",Freelancer
"Great features, only issue of the battery which lasts only one day.",Under 18,M," Rohtak, Haryana",Student
"Its a great piece of tech, awesome features everything is top notch, except the battery. Needs to charge everyday.",18-24,F," Barasat, West Bengal",Working Professional
"Premium watch
Best watch from apple",55 and above,M," Mohiuddinagar, Bihar",Retired
All is well 🤗😍 Except battery life 😔 😢,18-24,M," Bengaluru, Karnataka",Freelancer
Awesome watch got delivered in 9 mins first i was a bit anxious because of the rumors but when i received i got full assurance by the delivery chap and overall great,18-24,F," Gurugram, Haryana",Working Professional
Watch is nice but you need to buy a strap according to your wrist measurements as mine strap was little bit tight so i have to buy that and it costs around 500-1500 good quality,35-44,F," Pehowa, Haryana",Homemaker
"Initially it feels too much expensive but feels satisfied once bought and you would love it wearing
Bought it for a good price on 20Oct
Only best watch in 2024
Value of every rupee spent",18-24,M," Davanagere, Karnataka",Working Professional
"It's very good also it's apple real product
No doubt go for this ❣️
Thank you Flipkart also thanks to delivery boy
For fast delivery service 🙂",25-34,F," Kolkata, West Bengal",Homemaker
"The watch is great but like all apple products, overpriced. And the experience has been kinda mixed this far",55 and above,M," Karamuck, Kerala",Retired
Apple watch is the perfect product if you want less screen time on your phone,55 and above,M," Kolkata, West Bengal",Retired
Happy with purchase!,18-24,M,"  Pune, Maharashtra",Freelancer
Very nice,55 and above,M," Farrukhabad, Uttar Pradesh",Retired
Excellent product. Series 9 is best . I am using it for first time and it feels like u have everything on your wrist. Flipkart delivered it before one day and the open box check theory is good. Buy it without a second thought,Under 18,F," Cuttack, Odisha",Student
"Nice colour. Not pink not gold, something in between. Upgrading from series 5 to series 9. Like the health app with information like exposure to sunlight, SpO2, ECG, VO2 Max etc. IT ALSO TELLS TIME ⚠️",55 and above,M," New Town, West Bengal",Retired
"Definitely value for money product. I have been trying to buy it from a very long time. Features, user interface are top notch. Have no idea how battery performs. Will update later about battery performance. No doubt that m enjoying this at my fullest.",25-34,M," Visakhapatnam, Andhra Pradesh",Working Professional
This is a good upgrade from Apple watch SE 2 which I used previously. Display is impressive❤️ and animations are soo smooth. Siri responses were soo quick compared to previous generation watches. I love the haptics and compactness of the watch with many builtin sensors. Silver watch with Blue sport loop band looks stunning 🤩,55 and above,M," Hyderabad, Telangana",Retired
Its really good. Thanks Steve jobs!!!,45-54,M," Bengaluru, Karnataka",Freelancer
"Best purchase ever, especially paired with this link bracelet.",18-24,M," Panipat, Haryana",Freelancer
"I've been using the series 4 and its a big leap to the series 9.
I loved it of course, the sheer quality of the watch, silver is super classy! The new sensors works like a magic wand. Got a got price too! This model fits me perfectly, the 45mm is kind of big, which is a little uncomfortable. However, super product by Apple, and great buying experience too! Kudos!!",35-44,F," Shillong, Meghalaya",Homemaker
Apple Watches are the best in market,35-44,M,"  Pune, Maharashtra",Working Professional
Apple known for its product and really worth it,55 and above,M," New Delhi, Delhi",Retired
"Awesome, and genuine product",55 and above,M," Rajkot, Gujarat",Retired
"Awesome watch from Apple and totally worth it. The touch response is excellent with lot of applications and accurate steps as well. The heart rate sensor, blood oxygen and ecg options work very well. The only drawback is the battery but on a moderate usage it gives one day back up.",Under 18,M," Bengaluru, Karnataka",Student
Super Apple,45-54,M," Unjha, Gujarat",Working Professional
APPLE IS ALWAYS GOOD NO DOUBT AND BEST❤️❤️❤️,35-44,M," Chakdaha, West Bengal",Freelancer
"once you start using it, you can feel, no other watches has similar accuracy what apple delivers.",55 and above,M," Ghaziabad, Uttar Pradesh",Retired
"I purchased the 45mm black model during the Black Friday sale at a significant discount. The display quality is really impressive. If anyone is thinking of buying it, please make sure you get it in discounted price otherwise go for watch 10.",Under 18,M,"  Pune, Maharashtra",Student
WOW 😍 NO WORDS.,45-54,M," Vadodara, Gujarat",Working Professional
"Bought this under sale, value for money as includes all the features.",45-54,M," Gurugram, Haryana",Working Professional
"Awsome!
Perfectly pairing with my iphone 14
Everything is good but battery life is average",35-44,M," Ahmedabad, Gujarat",Freelancer
Good,Under 18,F," Bhopal, Madhya Pradesh",Student
AMAZING Product,55 and above,M," Raigarh, Chhattisgarh",Retired
"Sharing review after 15 days. It is undoubtedly the best smart watch available on the market. The ui is butter smooth and within 15 days 2 OS updates have been installed. The activity tracking is absolute accurate. The main reason for getting this was the ECG and gesture control which works perfectly. The seamless connectivity with iPhone is another great feature. It is like having a mobile device on your wrist. The call clarity is beyond expectation. The battery generally lasts for 1.5 days ...
READ MORE",55 and above,M," Bengaluru, Karnataka",Retired
Good,55 and above,M," Madurai, Tamil Nadu",Retired
Battery goes down 3%/hr during the day and 1~1.5%during nights. Getting 30~36hrs backups.Not using maps and music on watch. Snoopy watch face is refreshing.,55 and above,M," Kolkata, West Bengal",Retired
"What to say about apple products. Connects greatly with the iPhone, activity tracking, features, display are stunning",35-44,F," Vadodara, Gujarat",Homemaker
Good product at a very reasonable price all thanks to flipkart,35-44,F," Rohtak, Haryana",Homemaker
Loving,55 and above,F," Madurai, Tamil Nadu",Homemaker
Excellent product with 5 stars.,18-24,M," Noida, Uttar Pradesh",Working Professional
Awesome product,18-24,M," Kolkata, West Bengal",Freelancer
Simply awesome. Must and reliable watch for those who want to track their daily activities.,35-44,M," Anand, Gujarat",Working Professional
"Its good for daily use but u can also go with se 2 there is not much difference but its worth for me after all i got it for 31k
Battery backup is good last a day long",Under 18,M," Patna, Bihar",Student
"Awesome watch at an awesome price, thanks to the seller,HydtelRETAILSsales for such great services ,and thanks to Flipkart. Highly recommended.",55 and above,M," Paschim Bardhaman, West Bengal ",Retired
"Well for everything, nice very good design and smrt looking",25-34,M," Howrah, West Bengal",Working Professional
"Value for Money 💰
Very much comfortable ⌚️
✨✨🔥🔥🔥💰💰",55 and above,F," Kalyan, Maharashtra",Homemaker
Good product,45-54,M," Cooch Behar, West Bengal",Working Professional
"Great watch !!

Go for it",55 and above,M," Ahmedabad, Gujarat",Retired
Perfect,18-24,M," Aldona, Goa",Freelancer
Good product and well packed 😍👌🏻everything is in good condition😍and this is my first apple watch❤️I just love the apple ecosystem,45-54,M," Kochi, Kerala",Working Professional
"Masterpiece there,s a lot of features 😍😍
Only con in battery backup otherwise everything is cool go for it",45-54,M," Madhupur, Jharkhand",Freelancer
😅😅 nothing much to say just enjoying apple ecosystem,35-44,M," Lucknow, Uttar Pradesh",Freelancer
Good,45-54,M," Kalyan, Maharashtra",Freelancer
"Good product, must try product. You must try as well.",Under 18,M," New Delhi, Delhi",Student
"Awesome product from Apple❤️,,,Thank u flipkart for express delivery.",45-54,F," Sultanganj, Bihar",Homemaker
excellent product...,55 and above,M," Bengaluru, Karnataka",Retired
Loved it. Super quality,25-34,M," Bengaluru, Karnataka",Working Professional
So many Features 😍,35-44,M," Barh, Bihar",Working Professional
Great product. Love it. Use it daily to track my health goals.,Under 18,F," New Delhi, Delhi",Student
"Pros
Tracking is good .

Cons
No sleep score
Battery backup is average",55 and above,M," Hyderabad, Telangana",Retired
"Top notch
Apple at its best",55 and above,F," Nagpur, Maharashtra",Homemaker
Good Product! Definitely worth it!,55 and above,M," New Delhi, Delhi",Retired
Nice watch 👍🏻,18-24,M," Ghazipur, Uttar Pradesh",Freelancer
"Better performance with high price tag
Works only with Apple ecosystem",55 and above,M," Lucknow, Uttar Pradesh",Retired
Value for money,45-54,M," Visakhapatnam, Andhra Pradesh",Freelancer
Very much satisfied purchase.,18-24,M," Keerikkad, Kerala",Working Professional
"Watch is good, however battery drains very fast",18-24,M," Gurugram, Haryana",Working Professional
 products are amazing!!!,45-54,M," Bhaderwah, Jammu and Kashmir",Working Professional
Very nice product,45-54,M," New Delhi, Delhi",Freelancer
Nice product,Under 18,M," Nanpara, Uttar Pradesh",Student
"Pros -
- Range of Features
- Sync with iPhone
- Good Activity Features

Cons -
- Battery Lasts for 36 hours max
- Not so much value for money, can get in other smartwatchs too.",25-34,F,"  Pune, Maharashtra",Homemaker
"I loved this watch tracking performance, and got it for 26k is something good steal like a premium product like apple",18-24,M," Chennai, Tamil Nadu",Working Professional
"Value for money because brought in the sale. battery life should be at least 2 days, it's strictly a day right now. but everything else is good, especially all the metrics that it tracks",35-44,M," Mumbai, Maharashtra",Freelancer
Nice design with awesome features..Loving it😍😍,35-44,M," Chapra, Bihar",Freelancer
"Nice watch, I have never experienced this type of watch. Display is good, strap quality is also good excellent performance. Over all it was a great product from Apple",55 and above,M," Markapur, Andhra Pradesh",Retired
Value for 💰,35-44,F,"  Pune, Maharashtra",Homemaker
"This device is very purposefully developed and I have a purpose to fulfill. I always wanted to have a device that will let me connected to today's world but at the same time I don't want to get distracted by unnecessary things. And in my opinion, there is no better device than this for this purpose. My screen is dramatically reduced by 35% in just 7days. I hope it will help me a lot in the coming days.",18-24,F," Rampurhat, West Bengal",Working Professional
"Watch with Class.
Baap of all Smartwatch.",Under 18,M," Moga, Punjab",Student
This watch is value for money. Flipkart has given a very good offer. Thank you Filpkart,35-44,M," Davanagere, Karnataka",Working Professional
best in class ultimate go for cellular always,25-34,M," Nawanshahr, Punjab",Working Professional
Superb Product,45-54,M," Jewar, Uttar Pradesh",Working Professional
Very good,Under 18,M," Munnar, Kerala",Student
Amazing watch 😍,35-44,F," Jaunpur, Uttar Pradesh",Homemaker
Good product and feels really premium. Got it on offer at 30k which is also reasonable for Apple Watch. Color looks great.,45-54,M," Bhubaneswar, Odisha",Freelancer
Just apple thing..!,45-54,M," Ghaziabad, Uttar Pradesh",Working Professional
"Undoubtedly Great product at this price, cellular calling works fine, but battery capacity needs to be improved significantly.",45-54,M," Kolkata, West Bengal",Working Professional
Good,Under 18,M," Siddipet, Telangana",Student
Extend ur budget and only buy the cellular version,Under 18,M," Nagpur, Maharashtra",Student
Apple never disappoint us its really good and sensors are really good work,55 and above,M," Begampur, Uttar Pradesh",Retired
"When it originally came, it was not turned on; however, after seeing some hacks try to connect in charger with laptop, it was turned on. Overall, a lovely watch at a decent price on Flipkart. I purchased it in the shade red and am pleased with my purchase 😍😍",55 and above,M," Bengaluru, Karnataka",Retired
"Great product, had doubts about seller and Flipkart. Got genuine product happy about it!",45-54,M," Jaipur, Rajasthan",Working Professional
excellent watch. I have using series 5 gps+cellular Watch. But now upgraded to series 8 gps+cellular and it is worth of upgrading. Temperature and blood oxygen features with big screen makes it different than series 5.,Under 18,M," Satara, Maharashtra",Student
"If your wrist is small, 41mm is perfect, bigger one looks like a phone attached to your wrist, got it at a very good discount, almost half get price. In that sense, best value for money. Battery can be improved but after changing some settings in Background App refresh after which it lasts for more than a day. Overall very happy with the product for the price I got.",35-44,F," Mangaluru, Karnataka",Homemaker
"Well its a good product , but dont But with NO COST EMI you will have to pay extra 5k as GST , its a hidden charge . But coming to the product , Buy a cellular variant other variant isnt practical , design and features are good , charging speed is decent , it almost lasts a day and I just charge it while I have shower in the morning and during breakfast and dinner , so no battery issue !",35-44,M," Hyderabad, Telangana",Freelancer
Best watch ..,35-44,M," Sonipat, Haryana",Freelancer
Superbb!,55 and above,F," Nanded Waghala, Maharashtra",Retired
Excellent watch no need to carry the phone with ESIM .,18-24,M," Bengaluru, Karnataka ",Working Professional
Got the genuine product and quick delievery by Flipkart,55 and above,M," Garhwa, Jharkhand",Retired
"41mm GPS+cellular got it on cheapest offer 29999/. Was Quite doubtful on product quality
but received an original and genuine product.So I am thankful to Flipkart. Product works perfectly easy to connect eSIM.
41mm size Appearance is nice on wrist and pocket friendly also.",18-24,M," Gurgaon, Haryana",Freelancer
Great product.,18-24,M," Kanpur, Uttar Pradesh",Freelancer
"Quite a doubt about the seller ,but I received original product , for big hands go for 45mm",Under 18,M," Thiruvarur, Tamil Nadu",Student
Good. Will give a long time review after few months!,25-34,M," Bengaluru, Karnataka ",Working Professional
"One of my best purchases from Flipkart. Bought this after a lot of comparisons and reading loads of reviews.
Perfect for fitness freaks out there.
I am use the watch for the following:
daily workout
Sleep tracking
Calories burned everyday
Alarms
Reminders
Music controls
Camera remote
Answer calls while driving
Bought extra straps combo online
The only con about the Apple iWatch is the battery back up, if you track your daily workouts and may be answer a few calls based on your situation t...
READ MORE",35-44,M,"  Pune, Maharashtra",Working Professional
"Watch is good at this price point.
Cellular is worth,I do not carry my phone in gym during running,cycling or any other activity or while going to mall.
Battery life is very bad but it get charged very fast as well.",45-54,M," Amritsar, Punjab",Freelancer
Almost good but if you are men so must be buy 44mm size.,55 and above,M," Bharuch, Gujarat",Retired
We love it,18-24,F," Tanuku, Andhra Pradesh",Working Professional
I received Genuine product at very great price.,Under 18,M," Thane, Maharashtra",Student
"Excellent as always Sim mirroring is the best feature call and heart rate feature workout is great most of the apps are on the watch
Love it got it as a deal",25-34,M," Aligarh, Uttar Pradesh",Freelancer
I have dark skintone still it suits me..Thank you apple and flipkart☺️,Under 18,F," Tirupati,Andhra Pradesh",Student
Good product for gym fitness activities,18-24,M," Bhopal, Madhya Pradesh",Freelancer
value for money,45-54,F," Deoghar, Jharkhand",Homemaker
Awesome,18-24,F," Kozhikode, Kerala ",Working Professional
Excellent Watch.. thanks flipkart for this great price during this season,55 and above,M," Mira Bhayandar, Maharashtra ",Retired
Excellent watch from Apple 👍,35-44,F," Sandila, Uttar Pradesh",Homemaker
"Good experience with my first Apple watch. Display is amazing!!!
Always on Display is fabulous feature. Dynamic watch faces are amazing.

Love it Apple watch🎉",55 and above,M," Gandhinagar, Gujarat",Retired
Apple never disappoints.,55 and above,F," Farrukhabad, Uttar Pradesh",Homemaker
Loved it,Under 18,F," Hyderabad, Telangana",Student
Amazing watch😎,55 and above,F," Nagrota, Jammu and Kashmir",Homemaker
Cool watch nd Osm features,55 and above,F," Gurugram, Haryana",Homemaker
"Based on the review comments about the seller, got worried after placing the. Order Thanks to Flipkart.. watch was original and delivered on time as mentioned",18-24,M," Bengaluru, Karnataka",Working Professional
"Nothing like Apple, always the best. It just adds to your personality.",Under 18,M," Sundargarh District, Odisha",Freelancer
"Great to be at apple eco system
Value for money",25-34,M," Howrah, West Bengal",Working Professional
Battery was main con in the 8 series compared to 7 series,18-24,M," Kakinada, Andhra Pradesh",Freelancer
GOOD AND SUPER PRODUCT👍🏽👍🏽👍🏽👍🏽👍🏽,55 and above,M," Trivandrum, Kerala",Retired
Perfect watch. Thanks,25-34,F,"  Pune, Maharashtra",Homemaker
I would love to recommend this amazing watch,35-44,M," Gwalior, Madhya Pradesh",Freelancer
14hr battery max other then that everything works smooth n look sexy,18-24,M," Bengaluru, Karnataka",Working Professional
Awesome watch,25-34,M," Indore, Madhya Pradesh",Working Professional
"Excellent and Exceptional.
Everything is like magic and working is also magical like finger tapping sensing is mind blowing.
Only Tempature monitoring software is missing rest everything is better than best.",45-54,M," Sagar, Madhya Pradesh ",Working Professional
"41 mm GPS+Cellular two days of use was fantastic.
I like this product ☺️
It has a very beautiful design. Perfectly fit in my wrist. The delivery guy was very kind, he waited for me for 5 mins until it charged so that I could test its functionality for the first time, as it does not have a return policy.",45-54,M," Kokrajhar, Assam",Freelancer
"Excellent product and 1000 times better than cheap Indian watches like amazefit, boat etc.",45-54,M," Navi Mumbai, Maharashtra",Freelancer
Nice product,18-24,M," Isnapur, Telangana",Working Professional
Impressively quick delivery. Amazing price.,18-24,M," Bengaluru, Karnataka",Working Professional
only jio E-sim works for cellular version,25-34,M," Bilaspur, Chhattisgarh ",Working Professional
"I have not activated the watch but when I checked the coverage it showed me 25th October 2024.
#Flipkart.",35-44,M," Valsad, Gujarat",Working Professional
Good,35-44,F," Srikakulam, Andhra Pradesh",Homemaker
Apple Watch features worked accurate nice design n so soft strips looking beautiful Im so happy,18-24,M," Rupahi Town, Assam",Freelancer
Not switching on,35-44,M," Ranga Reddy, Telangana",Freelancer
Problem is with the battery. The rest all awesome.,45-54,M," Bengaluru, Karnataka",Freelancer
Happy to buy.. only problem is battery. However a lot of option available on watch..,25-34,M," Bengaluru, Karnataka",Working Professional
"Genuine and original product. Though series 10 is out, series 8 is still a very good option at this price.",25-34,M," Hyderabad, Telangana",Working Professional
Good,Under 18,F," Hyderabad, Telangana",Student
"Got it for 30k in a sale. No not the Big billion day sale. It was summer sale or something. Mine is a cellular variant.Tbh love it more than iPhone. Sleep tracking, workout tracking, podcasts, music, phone and so much more. I use watch throughout day and phone only after getting back at night. Anybody who wants to reduce screen time and make a switch to healthier lifestyle, this is the product for you. I use low power mode during day and not at night to track heart rate during sleep. Battery ...
READ MORE",55 and above,M,"  Pune, Maharashtra",Retired
Golden purchase,Under 18,M," Nellore, Andhra Pradesh",Student
Even not started very bad experince they even not register complaint worst thing,55 and above,M," Aurangabad, Maharashtra",Retired
Excellent product..Lots of features and very comfortable to wear this.,18-24,M," Azamgarh, Uttar Pradesh",Freelancer
"Power button is stuck, does not function. Build quality is not that good.",55 and above,F," Kelambakkam, Tamil Nadu",Retired
Exclusive model,Under 18,M," Jangareddigudem, Andhra Pradesh",Student
Nice watch,25-34,F," Gadhinglaj, Maharashtra",Homemaker
STILL WATCH IS NOT SWITCHING ON,35-44,M," Greater Noida, Uttar Pradesh",Working Professional
worst product of apple need to charge 2 times in a day,35-44,F," New Delhi, Delhi",Homemaker
Value for money,35-44,M," Tindivanam, Tamil Nadu",Freelancer
Thankyou,18-24,M," Mumbai, Maharashtra",Working Professional
"It took 5 hours for me to set up the I watch
The battery was completely dead took about 2.5hours to charge and iOS was outdated which took another 2-3hours to complete the software update. Terrible experience",Under 18,M," Secunderabad, Telangana",Student
The watch is amazing but the battery drains faster than expected.,25-34,M," Hyderabad, Telangana",Freelancer
ECG not working at all,55 and above,M," Bengaluru, Karnataka",Retired
Very nice and genuine product. Well perform with my iphone 14 pro,18-24,M," Fatehpur, Uttar Pradesh ",Working Professional
Not charging stuck in this loop😡😡.,25-34,M," Ghosi, Uttar Pradesh",Freelancer
Lucky to get this at a very good discount. Flipkart deals are simply amazing,55 and above,M," Thane, Maharashtra",Retired
Excellent watch,25-34,M," Fatehgarh, Uttar Pradesh",Freelancer
Nyc product,35-44,M," Meerut, Uttar Pradesh",Working Professional
Great price offer from Flipkart. Thank you Flipkart 🙏,25-34,M," New Delhi, Delhi",Working Professional
"Good watch. Battery charges to 100% very fast. But works only for 1 day. Charging everyday is required.
Features are very good.
Tracking activities is good.",45-54,M," Haridwar, Uttarakhand",Freelancer
Excellent,45-54,F," Srikakulam, Andhra Pradesh",Homemaker
Good product from apple,25-34,M," Hyderabad, Telangana",Freelancer
If you have the budget you can buy otherwise dont,18-24,F," Hyderabad, Telangana",Working Professional
Good,55 and above,M," Bengaluru, Karnataka",Retired
Good watch,35-44,F," Srikakulam, Andhra Pradesh",Homemaker
Reminds me to do regular workouts,18-24,M," Old Goa, Goa",Working Professional
I like it ❤️ go for it,35-44,M," Namakkal, Tamil Nadu ",Working Professional
"The product is not starting. I've Delivery this product on 1/Apr/2024. I've tried turning on the product, it does not started. I thought it may be because the watch is not charged, I put the watch in the charging for atlease 30 minutes, but it does not started.",25-34,F," Bali, Rajasthan",Homemaker
Great product always wanted it,35-44,F," Bengaluru, Karnataka",Homemaker
Just superb,25-34,M," Hyderabad, Telangana",Working Professional
"Mi to Fitbit Alta to Fitbit Versa to Apple Series 3 to Series 7

Pros:
- The best watch going around in terms of features, support and display
- The straps and cases of any 42mm or 44mm Apple Watch works for 45mm
- All the features work as advertised with a few hiccups
- Battery lasts for more than 24 hours with light/modern usage (Hopefully the battery won’t degrade)
- Watch faces and compilations are nice
- 3rd party apps and support

Cons:
- So series 7 watches in India don’t get fast char...
READ MORE",55 and above,M," Hyderabad, Telangana",Retired
Nice 😍😌,35-44,M," Pathanamthitta, Kerala ",Working Professional
I felt that 45mm is a big display. But the fact is it’s exactly suitable to my wrist. Really good looking. Also gps + cellular model is very useful.,25-34,M," Kota, Rajasthan",Freelancer
"Just wow ,it’s so smooth and the best ever smart watch the world has right now ,no second thought just go for it",Under 18,F," Bengaluru, Karnataka",Student
"Just Applemazing. Smooth and fast Watch OS with zero lag and with tons and tons of apple features. Display is too good,its so crisp and clear and with 1000nits of brightness there is no problem in visibility in most sunny days. Connectivity is so fast and convenient specially in the cellular versions. Plus so many health and sports features which works so well without any problems.",18-24,F," Kota, Rajasthan",Working Professional
Today i got my apple watch 7 45mm starlight OMG this is unbelievable amazing. Seriously no other brand can make this type of watch. I used many other brands but this is superb. Thank you APPLE and FLIPKART.,18-24,M," Purnia, Bihar",Working Professional
Works awsome!!!,35-44,M," Valsad, Gujarat",Freelancer
"Go for stainless steel if you want to add a vintage type watch in your wardrobe
As it’s display is made from sapphire crystal
Scratch resistant and will be keep in peristome condition",Under 18,M," Bhopal, Madhya Pradesh",Student
I upgraded From series 6 aluminium to series 7 stainless steel gold Milanese loop and oh boy stainless steel does make a difference …it looks more premium …no other company can match apple in terms of Watch and its features …a must buy for apple users who are upgrading from series 3 or 4…battery is decent and extra 1 mm does make a difference in day to day usage,25-34,M," Ahmedabad, Gujarat",Freelancer
"The product is so nice and excellent but the delivery package is not good ,there is no safety for that",35-44,F," Srikakulam, Andhra Pradesh",Homemaker
I love this product,55 and above,F," Palakkad, Kerala ",Retired
"Amazing, in one word , BUT , If you already own a Series 6, there is no point of upgrading at all.

One more piece of advice, If you want to buy apple watch and don't have any extra bands, go for 41mm without thinking.

Steel Variant is good for PRO users, who work-out hard, as its made of ceramic and is scratch proof, I've been using it since Series 4 and I switched from Aluminum to Steel just for the sake of scratches on Display.

Also, if you are a casual user, just by a Space Gray 41mm B...
READ MORE",18-24,M," Satna, Madhya Pradesh",Working Professional
