Reviews for Boult,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Great design and build quality. I really love it! It's like having a mini phone on my wrist. The screen is big and clear, so I can easily see everything. Plus, I can make and answer calls without having to take my phone out, which is super helpful when I'm on the go. The foot steps are also accurate. Gets easily connected with phone. The sound quality is pretty nice as well.",18-24,M," Suratgarh, Rajasthan",Freelancer,July,2023,Q3
Battery fastest drain👺,Under 18,M," Mysuru, Karnataka",Student,December,2021,Q4
"Good but blood spo2, blood pressure and heart rate monitor are false because this product measuring blood pressure of a cucumber",25-34,M," South Twenty Four Parganas District, West Bengal",Freelancer,September,2024,Q3
This is awesome product from boult this watch is big and lightweight and its wrist band is very awesome quality i love it this product and its battery life is also awesome any one can buy it .,45-54,M," Bokaro Steel City, Jharkhand",Working Professional,February,2021,Q1
Best smartwatch I have ever used. Like the battery backup. Features are very nice and accurate. Build quality is very premium. Totally satisfied with the smartwatch. You can definitely go for it.,35-44,M," Gurugram, Haryana",Working Professional,March,2022,Q1
Very beautiful..🤩🤩,25-34,F,"  Pune, Maharashtra",Homemaker,March,2020,Q1
"Elegant design too much comfortable to waer.
Best watche i don't even think i got a curve display watch under that price.
Stylish quality is good sturdy enough and you can also reject and accept with this",Under 18,M," Mathura, Uttar Pradesh",Student,September,2023,Q3
Good job bolt,45-54,M," Lucknow, Uttar Pradesh",Freelancer,June,2021,Q2
"I am quite impressed with the quality and features of this watch. The heart rate and blood oxygen readings are helpful for my work outs. The heart Tracker is accurate as well as the odometer. The heartbeat and blood oxygen reading can be set on/off. It's also easy to set up you just download the app to your phone, and don't forget to link your phone to your watch with the Bluetooth. The phone synchs well with my smart watch and allows access to make and receive calls and messages. Some of the...
READ MORE",18-24,M," Lucknow, Uttar Pradesh",Working Professional,March,2020,Q1
"Great features and battery life. Extremely informative. Helps me count the number of steps I've walked and calories burnt, along with my blood pressure and pulse as well.",55 and above,F," Mumbai, Maharashtra",Homemaker,March,2020,Q1
Superbb quality watch. The curve display looks very premium and the battery backup is upto 1.5 half day after one charge very happy with this premium watch,25-34,M," Sangaria, Rajasthan",Freelancer,November,2022,Q4
"This smartwatch excels with its clear call quality and ability to make and receive calls directly. It offers a comprehensive range of health, fitness, and communication features, making it a top recommendation for anyone seeking a reliable, feature-packed device.",55 and above,M," Bilaspur, Chhattisgarh",Retired,March,2022,Q1
"The 3D Curved Smart Watch combines sleek design with advanced functionality, offering a visually striking display. Its curved screen enhances the viewing experience, making notifications and apps look vibrant and seamless. A perfect blend of style and tech Its ideal for those seeking both elegance and performance in a smartwatch.",25-34,F," Vasai Virar, Maharashtra",Homemaker,November,2023,Q4
Fast charging is worth the money. It is a very good product I just love it,Under 18,M," Gwalior, Madhya Pradesh",Student,February,2021,Q1
"This watch is really amazing it's Lar, Uttar Pradeshge 2.01-inch curved display and a premium design at an affordable price, with features like Bluetooth calling, fitness tracking, and IP68 water resistance. It provides good battery life . Overall, it is a great value for at an affordable price.",55 and above,M," New Delhi, Delhi",Retired,March,2023,Q1
"Soo good and it actually survived an accident ,two bike drived on the watch but not just a single damage Calling is actually good The fit, the Colour, strap quality is good it actually I am a Student and my hands are always sweaty it usually get Pen marks and all it actually so easy and the charging will stay for three to four days so I am grateful so I didn't need to charge often If I were you wanting to buy a watch I would buy this",45-54,M," Kshidirpur, West Bengal",Working Professional,November,2022,Q4
"Nice and comfortable watch, screen is bigger compare to other watches in the Market. Strongly recommend to buy.",55 and above,M," New Delhi, Delhi",Retired,March,2023,Q1
"I recently purchased this smart watch and I can say with certainty that it has exceeded all my expectations. From the moment I took it out of the box, I was impressed by the build quality and sleek design. It is clear that a lot of attention to detail has been devoted to its creation. Registration is super easy and quick. The SmartWatch is connected to the mobile phone via Bluetooth and the setup of the app can then be completed. I didn't have any issues on Android 14. Many settings can be ma...
READ MORE",55 and above,M," Misrikh Cum Neemsar, Uttar Pradesh",Retired,July,2023,Q3
"I was very pleasantly surprised by this watch, the quality-price ratio is unbeatable, it has a super cool design and easy to wear on the wrist because it doesn't weigh anything. The battery lasts a lot. I've been using it for more than 3 days without having to charge the battery, it's a super complete watch, you can answer calls and see messages, you hear the sound very well. I made calls with the SmartWatch and it has a very good sound. The other person also hears you perfectly. Notification...
READ MORE",Under 18,M," Lucknow, Uttar Pradesh",Student,May,2020,Q2
"The Boult Trail Smartwatch offers a sleek 2.01 3D curved HD display that looks premium and is easy to navigate. Its health tracking features like heart rate monitoring, sleep tracking, and fitness tracking work well for daily use. The Raven Black strap is comfortable and fits most wrists. Overall, it's a great, stylish smartwatch for the price, combining aesthetics with useful features.",55 and above,M," Chhindwara, Madhya Pradesh",Retired,November,2021,Q4
The watch looks great on my hand and the ui is easy to and screen is smooth,Under 18,F," Hyderabad, Telangana",Student,May,2024,Q2
"The standout feature of this smartwatch is its premium curved display. It has excellent sensor performance, clear call quality, and a long-lasting battery that easily lasts 4 to 5 days.",Under 18,M," Vasai Virar, Maharashtra",Student,June,2020,Q2
"At this cost, this beats super expensive watches, even some of the best names does not have so smooth and impactful features. Watch is nice and working good, battery backup is also good. worth buying .",55 and above,F," New Delhi, Delhi",Homemaker,November,2023,Q4
"I ordered this for my little sister to gift her and I am very happy with my choice as this looks so amazing. My sister really liked the variety of watch faces, battery backup is great. The calling feature is up to the mark, sound is clear and loud enough.",18-24,M," Bundi, Rajasthan",Freelancer,May,2021,Q2
"Display is curved which is awesome looking in hand
Featured working smoothly
Backup is also good",55 and above,M," Gaya, Bihar",Retired,May,2022,Q2
It's look and design are so amazing. It's display quality are so strong and It's battery staying in long time. This watch are many feature. I love this watch 🥰.,35-44,M," Bokaro Steel City, Jharkhand",Working Professional,February,2023,Q1
"Loved this product I m using this from last 1 year and it's perfectly running, waterproofing quality is good battery backup is also good.😍",45-54,F," Jabalpur, Madhya Pradesh",Homemaker,July,2020,Q3
"Very nice watch, strap quality of watch very nice and watch display is also very nice, Watch display size is biger then another watches curved display is looking so nice",55 and above,M," Ludhiana, Punjab",Retired,September,2023,Q3
"This watch is all features amazing, face cloud wallpapers and curved HD displays very good premium look soft silicone belt Bluetooth calling with dedicate Mike and speaker on display features....",18-24,M," Bikaner, Rajasthan",Working Professional,February,2024,Q1
Very nice smart watch at this price range packaging is also good and the features it provided I must say it is very nice must buy.,25-34,M," Jaora, Madhya Pradesh",Freelancer,June,2023,Q2
I have just opened the packaging. Watch is just wow to wear. It has amazing features and watch faces,35-44,M," New Delhi, Delhi",Working Professional,March,2020,Q1
I really like this product because it is very good and comfortable and value of money product. Best design ever sign,25-34,F," Agra, Uttar Pradesh",Homemaker,September,2023,Q3
"The product is really good and justifies the cost
Really happy with the item...",25-34,M," New Delhi, Delhi",Freelancer,May,2021,Q2
Hi guys first of all I like this colour and that curvy structure. So I bought this watch. Features are ok. I like sports activities monitoring. I've especially bought this for the sports activities. I've tested 24 hrs. It's worth buying with this feature the price is very low as per my view. Overall 5 out of 5 I can give with all the features.,25-34,M," Chennai, Tamil Nadu",Working Professional,July,2023,Q3
"Worth full product and good experience with this watch i like this product at this price range. The watch is super smooth display, it has plenty",25-34,M," Indore, Madhya Pradesh",Freelancer,January,2024,Q1
"it's good
long battery
value of money
stylish
good for gifting",55 and above,M," New Delhi, Delhi",Retired,December,2021,Q4
"Nice watch love it
Display quality is awesome
Overall nice product",Under 18,M," Raya, Uttar Pradesh",Student,October,2022,Q4
Loved it at the first sight..Everything is just top natch from elegant design to big bold screen and battery backup with affordable pricing.Highly recommended for everyone. Thank you boult and Thank you Flipkart..,25-34,M," Raipur, Chhattisgarh",Working Professional,May,2023,Q2
"This smartwatch exceeded my expectations! The sleek design, intuitive interface, and impressive battery life make it a must-have. Fitness tracking is accurate, and the notifications are timely. It seamlessly integrates with my phone, keeping me connected on the go. A perfect blend of style and functionality. Highly recommended!",55 and above,M," Sarangpur, Gujarat",Retired,September,2022,Q3
"Watch is good, speaker sound is good compared to other smart watches calling features are also good best worth for money......",55 and above,F," Tuni, Andhra Pradesh",Homemaker,November,2023,Q4
I really love the design and pattern of this watch. Moreover it has some unique features which add to its value. The look is very beautiful. Although battery is Little low but overall at this budget this is the best ever smartwatch you can get. I recommend to buy and use once.,Under 18,F," Kalyan, Maharashtra",Student,April,2023,Q2
Awesome one I love this product and best quality I have seen thanks to Flipkart,Under 18,M," Chirala, Andhra Pradesh",Student,May,2020,Q2
Good,25-34,M," Chebrole Khandrika, Andhra Pradesh",Working Professional,April,2022,Q2
"The design and material is good
The size is enough to get fit in pocket and the weight is also low
Supports fast charging",35-44,F," Lucknow, Uttar Pradesh",Homemaker,February,2022,Q1
One of the best Smartwatch at this price smartwatch look very premium call quality is also super too loud and clear same like mobile also curve display feel very rich easy to wear for everyone strap is very good,18-24,M," Firozpur, Punjab",Working Professional,January,2021,Q1
Very gorgeous product 🤩,Under 18,F," Uttar Dinajpur District, West bengal",Student,July,2023,Q3
Value for money and one of the best smart watch that I like 👍👍I give 5 out of 5 star to this smart watch,55 and above,F," Bargarh District, Odisha",Homemaker,January,2022,Q1
Not good. call doesn't display.,18-24,M," Ganjam, Odisha ",Freelancer,January,2021,Q1
"This is a very nice watch.you can buy this
I'm really very happy 😊🥰",35-44,M," Kishanganj, Bihar",Freelancer,June,2022,Q2
Very good product.,45-54,M," Rishra, West Bengal",Working Professional,June,2023,Q2
"Loved this watch,great bettery backup,loudspeakers,features and all are perfect and value for money🤞🏻✨",25-34,F," Surat, Gujarat",Homemaker,May,2023,Q2
I have been using this watch from last two days and finally I can that the product is up to mark. It has numerous features and also have great curved display which has great brightness. The product is really amazing and value for money too.,25-34,M," Lucknow, Uttar Pradesh",Working Professional,March,2024,Q1
Money worth product. The display is awesome. Amoled display in low price.Excellent bproduct.,55 and above,M,"  Pune, Maharashtra",Retired,March,2021,Q1
"Nice watch by design but display quality average
Looks very nice",35-44,M," New Delhi, Delhi",Freelancer,February,2022,Q1
This smart watch is very amazing. It counts steps accurately. Battery life is good. Accuracy is also nice. Looks great while wearing this watch. It has many features and all are amazing. Overall worth the product. Will definitely recommend this watch.,Under 18,F," Bundi, Rajasthan",Student,February,2024,Q1
"Display quality is good
Fast charging
Overall nice product",45-54,F," Hamirpur, Himachal Pradesh ",Homemaker,February,2021,Q1
"This curved display smartwatch i purchased Its design was modern, offering a comfortable fit on the wrist. The curved screen enhanced usability, making notifications easy to read. With precise touch response and immersive visuals, this smartwatch is a stylish and functional choice for tech enthusiasts.
Overall its value for money.",18-24,F," Agra, Uttar Pradesh",Student,September,2024,Q3
Good 👍,25-34,M," Jaipur, Rajasthan",Freelancer,June,2021,Q2
The watch is full of Amazing features. The curve display looks very cool. Strap is comfortable to wear and sweat free. Battery backup is amazing. Highly Recommended,Under 18,M," Tohana, Haryana",Student,September,2021,Q3
"I love this watch its very helpful to track my calories , sleep, steps and what not. It has a good design and comfortable to wear. Nice display also it has a button which you can scroll down comfortably unlike other watches",18-24,F," Thiruvallur, Tamil Nadu",Working Professional,April,2024,Q2
"Good build quality, connectivity is very strong and fast backup is also nice best choice of smartwatch",Under 18,M," Gaya, Bihar",Student,January,2024,Q1
"Very good product
Speaker is working super
Very good battery pickup
Perfect fit
Best smartwatch I have ever used. Like the battery backup. Features are very nice and accurate. Build quality is very premium. Totally satisfied with the smartwatch. You can definitely go for it.",Under 18,M," Hyderabad, Telangana",Student,January,2021,Q1
Watch curve display design is best and comfortable in hands. Connects with phone very easy . Allmost all needy Features are there and battery backup is very good. Lastly Step tracking is so accurate.,55 and above,F," Lucknow, Uttar Pradesh",Homemaker,February,2022,Q1
Curve look is very attractive and comfortable for wear. Connectivity is smooth and display is bright . Touch works Fine,25-34,M," Lucknow, Uttar Pradesh",Freelancer,October,2024,Q4
"Best display smartwatch that I have ever used.
It looks so cool and leaves a great impression.
Battery life is decent.
It has got plenty of useful features as well.",Under 18,M," Noamundi, Jharkhand",Student,December,2021,Q4
"Nice watch working perfectly. Very impressive process and quality. Belt quality need to be increased and need need design for belt.
Over all 5 stars.",55 and above,M," Ranga Reddy, Telangana",Retired,August,2022,Q3
"This boult smartwatch offers a good balance of features and affordability, making it an attractive option for budget conscious consumers who still want a reliable smartwatch. Solid battery life. Good fitness and health tracking features. Sleek design and build quality. Generally budget friendly. Multiple sports modes, health and smart notification capabilities.",45-54,M," Kalyan, Maharashtra",Freelancer,February,2021,Q1
"The 3D Curved Smart Watch impresses with its sleek, futuristic design and ultra-responsive curved display, offering a premium look and feel. With a variety of health tracking features, notifications, and customizable watch faces, it blends fashion with functionality effortlessly. Battery life is solid, making it a reliable companion for both everyday wear and fitness tracking, though more app support could elevate the experience further.",18-24,M," Konkan Division, Maharashtra",Freelancer,June,2022,Q2
I am very happy to share my experience with this amazing watch. It's one of best in the market today because no can provide rhis much pg quality product in this money. It's easy to use and smooth working also.. it's battery back up is long lasting for up to 4_5 days .and you can easily change the watch' faces also.,35-44,M," Jamkhandi, Karnataka",Working Professional,May,2020,Q2
"The watch looks elegant and perfect in comparison with the other smartwatch es in this price range. The most important feature of this watch is calling feature. As the speaker of the watch is exceptionally loud and clear, it is very easy to make and receive calls via Bluetooth. highly recommended",Under 18,M," Dhaulpur, Rajasthan",Student,September,2020,Q3
"Its fast and reliable connection ensures smooth performance, making it easy to stay connected on the go. The watch offers good functionality with its features.Overall, it's a solid choice for those seeking an affordable smartwatch with good looks and essential features",35-44,M," Muzaffarnagar, Uttar Pradesh",Working Professional,April,2022,Q2
What a stylish watch... With curved display. It's 3rd day of using this watch and I have seen that it's battery backup is amazing. Moreover it's touch is smooth and fast. I really liked this product.,35-44,M," Mohali, Punjab",Working Professional,August,2022,Q3
"Watch good looking, worth of money, battery performance is also nice",35-44,M," Hyderabad, Telangana",Working Professional,January,2023,Q1
"Product is very good and multiple watch faces with a rounded crown. Impressive curved display, Sound quality and call features are also too good.",45-54,M," Durg, Chhattisgarh ",Working Professional,March,2024,Q1
"The Boult Striker smartwatch draws in potential buyers with a highly attractive price point and a durable build, and its health trackers are also reliable and high precision. I love my smartwatch very much. It's design is so elegant.It's curved display is adding a vibrant look to it .",45-54,M," Baleshwar, Gujarat ",Working Professional,September,2023,Q3
"Large display, sleek design and better visibility due to curve display. Light weight and has good water resistant capability. Long battery life, good for daily use. Highly recommended product.",18-24,M," New Town, West Bengal",Freelancer,August,2024,Q3
Product is very good and impressive curved display. Sound quality and call features is too good.Look is very pleasant and formal.,25-34,M," Raipur, Chhattisgarh",Freelancer,October,2021,Q4
Works well as expected. Looks fabulous. Screen is good. Battery works for 4 days,45-54,M," Thane, Maharashtra",Freelancer,January,2021,Q1
I always forget to drink water.... But after wearing the watch my bad habit has gone. Because it reminds me to drink water every 1:30 hours later . And also the battery backup is good and the calling facility is also good and clear when I am driving a bike. I strongly recommend it. Thank you ☺️,35-44,M," Paschim Medinipur, West Bengal ",Working Professional,February,2020,Q1
"Awesome watch ⌚
It 👍🏻",18-24,M," Kanpur, Uttar Pradesh",Working Professional,December,2021,Q4
This watch is good and gives a decent look...we can wear it in traditional clothes also....and talking about the quality it's very good. In that range it comes with calling function ...I liked it very muchh I suggest you to go for it.,35-44,F," Arrah, Bihar",Homemaker,April,2021,Q2
"Pros: Excellent Bluetooth calling feature and music listening in watch is awesome user friendly easy to use stylish

Cons: steps count working so wired it is counting every movement as steps even if we shake our hands for that also it is counting which is worst part in this if they fix this issue with an update then this is the super budget king

After lot of waiting and research bought this and not regretted at all since the calling feature impressed me a lot😀",25-34,M," Chennai, Tamil Nadu",Freelancer,July,2023,Q3
"That's great ☺️
Awesome looking 😊",Under 18,M," Shivunipalle, Telangana",Student,March,2022,Q1
The watch really Looks good and its value for money and has a great performance. While going to Bluetooth calling the speaker and the mic are so great under this price range and volume is also loud and all the other specifications are working really well and I liked the UI very much. If we use Bluetooth calling for a very long time the charging of the watch might decrease whereas the battery backup is so good. Overall I loved this watch at this price. If you want to buy this go for it.,Under 18,M," Hyderabad, Telangana",Student,March,2020,Q1
Nice watch😍😍,18-24,M," Noida, Uttar Pradesh",Freelancer,November,2021,Q4
Nice product ☺️,18-24,M," Nashik, Maharashtra",Working Professional,March,2024,Q1
Very good quality thank you for filifkad 💯👍👍👍👍❤️❤️❤️❤️❤️🥰🥰🥰🥰🥰😍😍😍😍😍🥳🥳🥳🥳🥳😘😘😘😘😘🤗🤗🤗🤗🤗,45-54,M," Mahnar Bazar, Bihar",Freelancer,April,2020,Q2
Good one but it will be more better if it is Designed in a stylish way.,Under 18,M," Hyderabad, Telangana",Student,July,2021,Q3
Quality's is vary good,18-24,M," Varanasi, Uttar Pradesh",Working Professional,November,2022,Q4
Nice watch and if you are buying then buy the white one because it is giving leather strap instead of silicone strap😊😊,45-54,F," Bhubaneswar, Odisha",Retired,January,2022,Q1
value for money 😘💪💪✌,55 and above,M," Ballia, Uttar Pradesh ",Retired,May,2020,Q2
Value for money 🤑💰,45-54,M," Purba Bardhaman, West Bengal ",Freelancer,September,2020,Q3
Good product 👍,55 and above,M," Jogulamba District, Telangana",Retired,October,2023,Q4
I'm very happy with calling features.,45-54,M," Purba Medinipur, West Bengal ",Freelancer,August,2024,Q3
"Best quality🔥, Sound, Display, feature, and best price ✌️👌",35-44,M," Dhule, Maharshtra ",Working Professional,October,2023,Q4
"Just a awesome Product,Value for money,Thank you filpkart for Rocket delivery।",18-24,F," Bolpur, West Bengal",Working Professional,January,2022,Q1
Good 😊,55 and above,M," Talcher, Odisha",Retired,October,2021,Q4
"Nice watch, best in segment, good battery backup charge time around 2- 2.30 hours, and showing notifications properly, worth it just go for it.",25-34,M," Kolhapur, Maharashtra",Working Professional,March,2021,Q1
Best product. Must buy,25-34,M," Purnia, Bihar ",Freelancer,July,2020,Q3
This item is very nice and good just go and buy it,Under 18,M," Bidar, Karnataka",Student,August,2024,Q3
Trusted brand in times of smartwatch the look and feel is very premium and very light and very good in hand feel the user interface or os is very clean and simple and easy to use battery backup is too good it will last you for many days so many days Boult smartwatches best in class heart rate tracking and sleep tracking and all other features work perfectly it is a great value for money smartwatch it is worth every Penny battery backup is very good. Thank You Boult ⌚😘,35-44,M," Bareilly, Uttar Pradesh",Freelancer,January,2023,Q1
Value for money good quality 👍😊,55 and above,M," Nadia, West Bengal ",Retired,July,2023,Q3
"The best thing is price .
In calling smartwatch segment this is the very best buy.
Battery with bluetooth attached 3 days best
Without bluetooth 7 days best
All things in this watch is best",55 and above,M," Akola, Maharashtra",Retired,April,2023,Q2
Nice product,55 and above,F," Dumka, Jharkhand",Homemaker,February,2022,Q1
"Very nice, I am very impressed from this watch.
Good battery backup, good calling voice, and smart notification",25-34,M," Jhumri Tilaiya, Jharkhand",Working Professional,October,2023,Q4
The quality of the watch could be more good and smoth,18-24,M," New Delhi, Delhi",Freelancer,September,2022,Q3
Nice smart watch,35-44,F," Mumbai, Maharashtra",Homemaker,August,2024,Q3
"Product so amazing❤️❤️❤️
Battery timing so long..😊👍",55 and above,M," New Delhi, Delhi",Retired,September,2021,Q3
Nice iam comfortable iam happy,45-54,M," Vadodara, Gujarat",Working Professional,December,2023,Q4
"Super smartwatch
Good facility",55 and above,F," Jagatsinghpur, Odisha",Homemaker,March,2020,Q1
"Very Nice Smart Watch @ affordable price list. Please go through this one. Really amazing features.

But need to add some more features like that
1) Mute incoming call Option
2) Calculator
3) Need to customise/separate notification as per convince
4)Call log feature
5) need to visible incoming call contacts name",55 and above,M," Ahmadnagar, Maharashtra",Retired,June,2024,Q2
"I love this product most puucher's this watch
TQu fire bolut❤️👍🇮🇳",25-34,M," Hyderabad, Telangana",Working Professional,September,2022,Q3
Nice product,Under 18,M," Murshidabad, West Bengal",Student,July,2020,Q3
"Value for money product
Working very fast
(Review after using more than 2 months. Still works very nicely and it's battery performance is better than company claim)",18-24,F," Howrah, West Bengal",Working Professional,October,2022,Q4
Nice good watch,18-24,M," Varanasi, Uttar Pradesh",Freelancer,November,2020,Q4
"Must go for it:)
First impression is awesome, good look, all the features working well, call supported and the battery backup is also good as it discharged 15% for 6 hours continuous use with all the features ON.",45-54,M," Kharagpur, West Bengal",Working Professional,May,2020,Q2
"I'm writing a review after 6 days , Boult drift it's a Beautiful watch, good looking, awesome product, battery backup also good design also good, it's a 1.69hd display is best, nice looking in hand, straps quality also good, Bluetooth connectivity is also good, when I have call someone in watch speakers also good sound, overall it's a best product in this price segment.",25-34,M," Davanagere, Karnataka ",Working Professional,July,2022,Q3
"Very good product. Battery backup 👍👍👍👍👍
Display is awesome . Activity tracking is so good and accuracy. Flipkart delivery is so fast and secure.
Thanx to Flipkart..🤩🤩🤩",35-44,F," Nalanda District, Bihar",Homemaker,December,2020,Q4
Nice product voice is verry till I had purchased it niw but it has I problem when you enable Bluetooth call feature is doesn't end after the if you're watching yt you have to turn off the Bluetooth otherwise the voice will come from the watches speaker but features are great,55 and above,F," Mumbai, Maharashtra",Homemaker,September,2022,Q3
"Waaw totally awesome and Outstanding Product.
In this price Sigment no one is as best as this smartwatch. Calling, Activity tracking, Notification all works very well .
The Battery is also good.
Although you can go and buy this all rounder smartwatch..Thank you.
And also thanks to Flipkart which delevered within 15 hours.",55 and above,M," Barasat, West Bengal",Retired,April,2021,Q2
Worth for Money. Good Display. No Heating Issue. Speaker Sound more than i expect. Look and design so stylish. Notification theme is very impressive. Totally i loved this product.,Under 18,M," Kollam, Kerala ",Student,April,2021,Q2
best quality products,35-44,F," Akbarpur, Uttar Pradesh",Homemaker,August,2020,Q3
Boult is the best,Under 18,M,"  Rangareddy, Telangana ",Student,December,2020,Q4
"Awesome product within this range, absolutely loved it",25-34,M," South Twenty Four Parganas District, West Bengal",Freelancer,November,2020,Q4
"Watch design and build quality is good for the money, worth buying it with leather strap, good display and brightness. Good sensors used and tracking things are very near to accurate and light weight to wear it on wrist.
Only limitation is the no auto lock of the screen, just display light goes off and when crown touched it's opening everything. No lock available on the watch. Overall good for the pricing .",55 and above,M," Bengaluru, Karnataka",Retired,October,2024,Q4
"Excellent product, battery life is very good, i like the product performance, must buy, good value for money.",55 and above,M," Bengaluru, Karnataka",Retired,April,2024,Q2
"Nice watch,good looking",55 and above,M," Ghaziabad, Uttar Pradesh",Retired,December,2024,Q4
It's gift for my wife birthday 🎂❤️❤️❤️❤️❤️❤️🎉🎉🥳🥳🥳🥳🥳🥳🥳🥳🎂,55 and above,F," Bhubaneswar, Odisha",Homemaker,April,2023,Q2
Oh my god ...this is my second smart watch ...It's very better than the first one ...Very good product from boult ..Maybe this model is Unstoppable in smart watch category..the display quality and size is very fair ...the strap also very good ...It is fit for all genders and it is adjustable very easily ..✨💯,35-44,F," Vizianagaram, Andhra Pradesh",Homemaker,July,2022,Q3
Amazing product…. Amazing experience so please buy this product to all because it’s a very good choice for all in this price thanks Flipkart and Boult….,Under 18,M," Sirsi, Karnataka",Student,November,2023,Q4
Awesome product 🥰,35-44,F," Tezpur, Assam",Homemaker,November,2022,Q4
Good product,35-44,M," Beed, Maharashtra",Freelancer,October,2024,Q4
"This Smart watch Is best samrt watch in this price range
1- display is Very impressive with 1.78 inches amoled and 800nits brightness
2- battery backup is good
3 - connectivity is good
4- overall design is Good with metallic Frame
5 - look like a premium smartwatch

Disappointed

1- when I'm using aod rise to awaken is not work
2- Google fit is not supported
3 -",35-44,F," Pipili, Odisha",Homemaker,February,2024,Q1
"Best 👍💯Watch Display is awesome👏😊
Thanku boult",Under 18,M," Khurja, Uttar Pradesh",Student,March,2022,Q1
Nice looking and quality 🤩🤩,25-34,M," Shimoga, Karnataka",Working Professional,February,2024,Q1
"Value for money super I love it and i recommend
Bluetooth calling and music",25-34,M," Visakhapatnam, Andhra Pradesh",Freelancer,August,2021,Q3
Super,25-34,M," Macherla, Andhra Pradesh",Freelancer,February,2024,Q1
"This product is good in this price. But i found a bug in this watch. There is a bug in the music control in this watch. After clicking music next button The music changes but the name of the music does not change. And also the display of this watch is not so good. Company claim that this watch Contains HD but it is false. This watch does not Contai, West Bengalns HD screen.",55 and above,M," Bokaro Steel City, Jharkhand",Homemaker,March,2023,Q1
"Very Nice Watch At This Price.
Loved the Display Quality and Features at This Price poin.
Thank You Flipkart For very Fast Delivery ❤️",18-24,M," Koch Bihar, West Bengal",Working Professional,May,2023,Q2
Nice boult,35-44,M," Muzaffarpur, Bihar",Freelancer,December,2021,Q4
Super value for money,25-34,M," Begusarai, Bihar ",Working Professional,February,2024,Q1
