Reviews for Boat,Age,Gender,Location,        Occupation,Month,Year,Quarter
All fine with product,35-44,M," Jaipur, Rajasthan",Freelancer,February,2020,Q1
Low Battery backup,Under 18,M," West Medinipur, West Bengal",Student,December,2020,Q4
Good product,18-24,F," Noida, Uttar Pradesh",Freelancer,April,2020,Q2
Wonderful battery display happy,Under 18,F," Birbhum District, West Bengal",Student,August,2021,Q3
Product qualities low,18-24,F,"  Pune, Maharashtra",Freelancer,November,2021,Q4
Watch is not charging,35-44,F," Lucknow, Uttar Pradesh ",Homemaker,September,2021,Q3
Value of money,25-34,M," Kunigal, Karnataka",Working Professional,January,2024,Q1
Nice,25-34,M," Elayavoor, Kerala",Working Professional,November,2020,Q4
Fabulous watch,55 and above,F," Patna, Bihar",Homemaker,July,2021,Q3
"I'm very happy to buy this product, I really like it, thanks to flipkart",18-24,F, Delhi,Working Professional,June,2022,Q2
"Good product design, battery and features are good",55 and above,M," Bharthana, Uttar Pradesh",Retired,March,2023,Q1
Nice thanks flipkart 🙏,25-34,F," Lucknow, Uttar Pradesh",Homemaker,November,2024,Q4
I like the watch,25-34,F," Hyderabad, Telangana",Homemaker,February,2020,Q1
Bad item,25-34,F," Puri, Odisha ",Homemaker,September,2022,Q3
Battery backup come hai,25-34,F," Bilaspur, Chhattisgarh",Homemaker,April,2024,Q2
Battery backup is very low,55 and above,M," Kottayam, Kerala",Retired,April,2021,Q2
The worst product I have ever get from flipkart i already replaced it after replacing also again same problem with this product once it gets switched off then it's no getting on,45-54,M," Kankipadu, Andhra Pradesh",Freelancer,June,2022,Q2
Nic,55 and above,F," Rajahmundry, Andhra Pradesh",Homemaker,March,2023,Q1
Nice product,Under 18,F," Puttur, Karnataka",Student,May,2022,Q2
Very nice 👌,45-54,M," Hardwar District, Uttarakhand",Working Professional,January,2021,Q1
"Boat watch is not working for The day 😭
He is two days before Is Retan Exchange This watch Bat That is watch not Good 10/4%",45-54,F," Bengaluru, Karnataka",Homemaker,November,2022,Q4
Very bad product,25-34,F," Sultanpur, Uttar Pradesh",Homemaker,September,2024,Q3
Good 👍😊,18-24,F," Gorakhpur, Uttar Pradesh ",Working Professional,March,2021,Q1
best watch,45-54,M," Ghaziabad, Uttar Pradesh",Freelancer,July,2023,Q3
Very,45-54,F," Patna, Bihar ",Homemaker,January,2023,Q1
Nice,55 and above,M," Mumbai, Maharashtra",Retired,January,2022,Q1
Good,25-34,M," Chennai, Tamil Nadu",Working Professional,June,2022,Q2
Battery backup is very poor,18-24,M," Jaipur, Rajasthan",Freelancer,January,2023,Q1
Connectivity problem is there,55 and above,M," Kewalpur, Uttar Pradesh",Retired,May,2022,Q2
Good smart watch and excellent product sir,45-54,M," East Godavari, Andhra Pradesh ",Working Professional,March,2023,Q1
Okay okay product at this price. After use for few days it it displays not working properly then I repair it . Now it is good,35-44,F," Nimapada, Odisha",Homemaker,May,2023,Q2
Worst product... Working one week only waste of money,55 and above,F," Cheyyar, Tamil Nadu",Homemaker,May,2020,Q2
"It's not been a week I have ordered, the watch stop working automatically today at 4:40 PM ... Why boat???",25-34,M," Namsai, Arunachal Pradesh",Freelancer,February,2022,Q1
I bought it for navigation if anyone looking for same don't buy. It's showing turn by turn but until you took turn it will not guide you ex if it shows 50 m left it won't change once you near that after you taken turn then it will move to next navigation waste of money.,18-24,F," Bengaluru, Karnataka",Working Professional,July,2023,Q3
Stopped working after 2 months,25-34,M," Bengaluru, Karnataka",Working Professional,December,2023,Q4
Good product,55 and above,M," Chennai, Tamil Nadu",Retired,January,2024,Q1
Ok,35-44,M," Puri, Odisha",Working Professional,August,2024,Q3
Good product,Under 18,M," Hailakandi District, Assam",Student,May,2022,Q2
This watch automatically vivret and can't open,Under 18,M," Kandi, West Bengal",Student,August,2022,Q3
This is excellent 👌 watch for Sigma 3 thanks you Flipkart,18-24,M," Thane, Maharashtra",Working Professional,July,2021,Q3
Battery problem,Under 18,M," Bongaigaon, Assam",Student,March,2021,Q1
Happy 😊,25-34,F," Rajpur Sonarpur, West Bengal",Homemaker,August,2024,Q3
Money saving 🔥🔥🔥,25-34,M," Pathanamthitta, Kerala",Working Professional,June,2020,Q2
"Nice display, and degine osam... 🔥🔥🔥",35-44,M," Habra, West Bengal",Working Professional,November,2022,Q4
"It's is a good product
Some of its Advantage are
1 . Good brightness
2. Good sillicon strap
3. Looking good
4. Budget friendly
5. Call feature

Disadvantage are
1. No Claculator
2. No games
3. sound should be improved
4. Featuring not so accurate
5. Wallpaper should be improved",Under 18,F," Basirhat, West Bengal",Student,April,2023,Q2
Nice,Under 18,F," Kannauj, Uttar Pradesh",Student,May,2023,Q2
Very good product 👍,35-44,M," Jhumri Tilaiya, Jharkhand",Working Professional,June,2023,Q2
Wonderful smart watch and boat smart watch looks classy while wear this... Function is also very easy to operate and you can call through it to anyone very easily... You can also use music player and enjoy your day..,55 and above,F," Adampur, Punjab",Homemaker,February,2024,Q1
"A Perfect Companion for Your Active Lifestyle -
Recently purchased this smart watch, and I am absolutely thrilled with my purchase! The design is sleek and modern, and the battery life is amazing. I can easily go a full day without needing to charge it. The fitness tracking features are also top-notch, and I love being able to track my steps, heart rate, and sleep patterns. The touch screen is responsive and easy to use, and I can quickly access my notifications and messages on the go. Overal...
READ MORE",55 and above,F," Akhnoor, Jammu and Kashmir",Homemaker,April,2020,Q2
Full smart watch,25-34,F," Tumkur, Karnataka ",Homemaker,June,2024,Q2
"Design is good, all features are working well.
1st time connecting with mobile was showing some issue.
Battery service is good.",Under 18,M," Hugli District, West Bengal",Student,November,2022,Q4
"Everything is good but the screen quality is a little bit average type. Keeping that aside, rest of the features are excellent",Under 18,M," Darbhanga, Bihar",Student,October,2023,Q4
It is good,45-54,M," Bengaluru, Karnataka",Freelancer,October,2020,Q4
"Battery life is not good.
Only 2 days run.",Under 18,M," Raiganj, West Bengal",Student,May,2020,Q2
"Amazing experience...
Nice watch",45-54,M," Barbigha, Bihar",Working Professional,October,2020,Q4
"Watch look is nice ,but battery life is not 30 days minimum 5 days battery life.making for plastic and sound quality is the best",25-34,F," Dhule, Maharshtra ",Homemaker,April,2023,Q2
"As expected watch have very premium quality in this price range and my experience is very very good. This have own calling system and mic within it so it's very useful, the speaker is very good and clean audio coming from it, for me the best thing about the watch is it's speaker 😊. For this price range this best among all.",55 and above,M," Kota, Rajasthan ",Retired,June,2024,Q2
Super 😊💯,18-24,M," Amroha, Uttar Pradesh",Working Professional,November,2020,Q4
All Features are working very smoothly quality is very good perfect in my hand looking best smartwatch,45-54,F," Gaya, Bihar",Homemaker,August,2023,Q3
All features are well working but battery backup is so low.Worst notification function,35-44,M," Jahanabad, Uttar Pradesh",Freelancer,September,2024,Q3
"Nice product,",18-24,F," Hyderabad, Telangana",Working Professional,May,2022,Q2
Best product in best price 😉,Under 18,F," Siwan, Bihar",Student,August,2022,Q3
Nice,45-54,F," Vyara, Gujarat",Homemaker,May,2022,Q2
Nice,25-34,M," Purba Champa, Chhattisgarh",Working Professional,January,2023,Q1
"I have given it as a gift for my girl friend, the watch is very nice",55 and above,M," Faizabad, Uttar Pradesh",Retired,October,2022,Q4
My son told me to buy this smart watch for him and I bought it from flipcart. After some day I felt that he is very active and very carefull for his health. I understand that it is a benefit of smartwatch because it shows how much calories burn after his activeness. It is really awesome.,Under 18,F," Varanasi, Uttar Pradesh",Student,October,2024,Q4
Not fast working. Just okay I m not happy this produsct,18-24,F," Varanasi, Uttar Pradesh",Working Professional,May,2024,Q2
Original boat watch. Thank you flipkart,Under 18,F," Makundapur, Odisha",Student,August,2021,Q3
Nice product I m happy 😊,18-24,M," Thane, Maharashtra ",Freelancer,July,2021,Q3
"Very good brand is brand , super no words
I bought this for my son he loved it",35-44,F," Hyderabad, Telangana",Homemaker,December,2023,Q4
Does not work proper and battery performance not good,Under 18,M," Vijainagar Ajmer, Rajasthan",Student,December,2023,Q4
Overall good,35-44,M," Bengaluru, Karnataka",Working Professional,June,2021,Q2
Value for money...👍🏻,35-44,F," Bankura, West Bengal",Homemaker,November,2020,Q4
Watch is very beautiful display is very smooth work good look but problem is future short and betry 1 day and screen pic costmiz not good fit,25-34,F," Dholka, Gujarat",Homemaker,January,2024,Q1
Amazing 🤩,25-34,F," Rohtas District, Bihar",Homemaker,February,2022,Q1
I think it's good for me,35-44,M," New Delhi, Delhi",Working Professional,December,2020,Q4
That's my honesty opinion 😜💯,45-54,M," Warangal, Telangana",Working Professional,June,2020,Q2
"Mind-blowing feathers , long-lasting, all systems are available,I loved it.",18-24,F," Patna, Bihar",Working Professional,April,2020,Q2
"Battery backup of watch is very good.
The design and looks of the watch are stylish.
It has very good features which are all working well.(Calling features, music control, step counting, etc.....)",45-54,M," Etah, Uttar Pradesh ",Freelancer,October,2023,Q4
"Nice product, but very small size",55 and above,F," Kendrapara, Odisha",Homemaker,October,2024,Q4
Best quality.osm price,45-54,M," Nagpur, Maharashtra",Working Professional,April,2020,Q2
"Charging backup is not good for me. If you are thinking of buying one then buy another one, it did not seem anything special.",55 and above,M," Mumbai, Maharashtra",Retired,April,2022,Q2
"Good watch under 1k , Design is very good 👍👍 and Contains a magnatic cable...",25-34,M," Batika, West Bengal",Working Professional,December,2020,Q4
Nice price,25-34,M," Gorakhpur, Uttar Pradesh",Freelancer,January,2024,Q1
This product is value for money 💰,25-34,M," Ranchi, Jharkhand ",Freelancer,November,2024,Q4
its v.nice..watch..worth of prise,35-44,F," Kolhapur, Maharashtra",Homemaker,March,2024,Q1
Value for money,25-34,M," Hyderabad, Telangana",Freelancer,December,2020,Q4
Good product in value for money,55 and above,M," Bhavnagar, Gujarat",Retired,November,2021,Q4
Average product. This price range it is good one,45-54,F," Mangattidam, Kerala",Homemaker,October,2022,Q4
Good value for money,25-34,F," North Lakhimpur, Uttar Pradesh",Homemaker,May,2021,Q2
Value for money,55 and above,M," Shillong, Meghalaya",Retired,February,2020,Q1
Nice product,55 and above,F," Pehowa, Haryana",Homemaker,February,2020,Q1
Quality wise is good,35-44,M," Nagarkurnool District, Telangana",Working Professional,December,2022,Q4
It's nice and cool product it's worth of the product,55 and above,M," Suryapet, Telangana",Retired,November,2022,Q4
Amazing,45-54,M," Dehradun, Uttarakhand",Working Professional,September,2023,Q3
Very nice boat watch value for money 🤑💰,25-34,F,"  Pune, Maharashtra",Homemaker,February,2024,Q1
Call quality is good. clear noise. battery backup 3 days for all function. Value for money.,45-54,M," Tiruppur, Tamil Nadu",Freelancer,April,2020,Q2
Okay for the money,45-54,M," Vellore, Tamil Nadu",Working Professional,July,2021,Q3
"Best smartwatch in this price range 🤩
Value for money 🤑🤑",25-34,M," Sarnath, Uttar Pradesh",Working Professional,August,2024,Q3
NYC product,45-54,F," Patna, Bihar",Homemaker,September,2023,Q3
"What a watch!!!
Awesome one with great features such as activity tracking. The battery is so good. Loved the colour and the quality. Wonderful and unique design. A complete value for money product. Must buy.",25-34,F," Karnal, Haryana",Homemaker,September,2022,Q3
"Truly value for money.
Amazing battery backup.
I have charged it once since I received it and it's been already 3 days it's still at 97 percentage.
Good display and band colour.",45-54,F, Delhi,Homemaker,June,2024,Q2
Value for money....buy this product,45-54,F," Bhagalpur, Bihar",Homemaker,September,2020,Q3
"It's really awesome product 😃 and really this product is value for money, very comfortable to wear and light weight.
In this price the look is very cool and Performance of this watch watch is very nice . In this range the specification of this watch is extraordinary.And it's battery backup also good after full charge it run nearly 8 to 9 days .",35-44,M," Kanpur, Uttar Pradesh",Freelancer,December,2022,Q4
Very nice product value for money,Under 18,M," Jamshedpur, Jharkhand",Student,May,2022,Q2
Best watch,55 and above,F," Jaipur, Rajasthan",Homemaker,March,2023,Q1
"This Boat Fury Smartwatch is best in segment. According to price this gives very big 1.83 inch Hd Display which is very crystal clear. Crown working is descent. Battery backup is very good even it is connected to mobile. Calling with this watch is amazing with nice quality speaker and mic✨️.
Amazing Watch from BoAt",18-24,M," Kota, Rajasthan",Working Professional,October,2023,Q4
"Very nice watch. After using it, if it is good then I will order the next one. Thanks.",Under 18,F," Khamaria, Chhattisgarh",Student,July,2021,Q3
Good products,35-44,F," Kalaburagi, Karnataka ",Homemaker,April,2021,Q2
Very good product 👍 smooth screen,45-54,F," Hyderabad, Telangana",Homemaker,June,2023,Q2
Doat watch ⌚ good 😊❤️😘,25-34,M," Gotegaon, Madhya Pradesh",Homemaker,April,2023,Q2
"Product is very good, function also very updated Colour good but if gift belts extra one it's better for regular use male and female both 🤗🤗🙏🏻 Thank you so much Flipkart",25-34,F," Kolkata, West Bengal",Homemaker,October,2020,Q4
Very nice features and smoothly working,25-34,F," Solapur, Maharashtra",Homemaker,March,2022,Q1
"Nice product 😃
Value for money 🥰",35-44,M," Dhanbad, Jharkhand ",Freelancer,February,2022,Q1
Very beautiful and best product 💝💝,35-44,M," Bhubaneswar, Odisha",Freelancer,July,2020,Q3
Over all good in this range,55 and above,M," Joda, Odisha",Retired,March,2021,Q1
Nice watch and is almost accurate about health ☺️💝☺️,25-34,F," New Delhi, Delhi",Homemaker,January,2020,Q1
Very good product in this price range........,18-24,M," Chhatarpur, Madhya Pradesh",Working Professional,October,2024,Q4
It's good and value for money 💰,25-34,M," Kancheepuram, Tamil Nadu ",Working Professional,May,2023,Q2
"Extremely Happy With This Product. Value For Money
Display Is Good ,Features Also Good ,Battery Life Is Good. Overall Fantastic experience and Fantastic Product.",18-24,F," Salar, West Bengal",Working Professional,September,2020,Q3
Watch outstanding value for money,35-44,F," Mangaluru, Karnataka",Homemaker,January,2021,Q1
Nyc Smartwatch.. I loved it😍 Value for money 💰,Under 18,M," Kakinada, Andhra Pradesh",Student,September,2021,Q3
Value for money. Amazing watch.,Under 18,M," Mahesana, Gujarat ",Student,December,2022,Q4
Wonderful 😊😊 product 👏,45-54,M," Patuli, West Bengal",Working Professional,February,2021,Q1
Nice watch for looking me boy hand watch,18-24,M," Daudnagar, Bihar",Freelancer,November,2024,Q4
must buy,55 and above,F," Yamunanagar, Haryana",Homemaker,October,2021,Q4
Nice,18-24,M," Sambalpur, Odisha",Freelancer,June,2020,Q2
Value of money,Under 18,M," Bhubaneswar, Odisha",Student,January,2023,Q1
"Good product, value for money. Responsive Time is very fast and quick connecting With mobile.",Under 18,M," Chennai, Tamil Nadu",Student,November,2022,Q4
Best product,Under 18,M," Kolkata, West Bengal",Student,July,2022,Q3
"Everything is good, but no BP monitor system....",Under 18,M," Silchar, Assam",Student,June,2022,Q2
"Very good looking smart watch with decent features of monitoring health and have a good connection to the smartphone.There are some cool features which are worth appreciating in this smartwatch.its functional crown which gives premium vibes while using. some other features like display size and the health monitoring,music control,Bluetooth Calling are also available. In this price range good one to pick.",35-44,M," Manesar, Haryana",Working Professional,June,2021,Q2
"the look is superb and first Good Smartwatch Clear good volume, Really Big display. Covers the whole lot of Sports Functions. Fast charging. Full Satisfaction. this is really impressive. In terms of battery back up and looks the watch shows the best , full of features in this price range, Overall a good gadget to go for.....most recommended product",45-54,M," Palamu District, Jharkhand",Freelancer,May,2023,Q2
Value for money best watch,35-44,F," Lucknow, Uttar Pradesh",Homemaker,June,2023,Q2
Just ignore negative reviews... Its awesome product on this price ❤️❤️,18-24,M," Haora District, West Bengal",Freelancer,December,2023,Q4
Good product in this price range,35-44,M," Hardwar District, Uttarakhand",Working Professional,April,2020,Q2
"This smartwatch very attractive in this price range. Quality very good, nice display battery backup also very good. Recommend too all",45-54,F," Sumerpur, Rajasthan",Homemaker,August,2022,Q3
"Watch has such great display and it's quite big too. It battery backup is quite long and charges pretty fast, it is dust, splash and sweat resistance so quality is quite durable. It has sports mode and built in games which is quite good. You can track so many parameters like daily steps, heart rate and blood oxygen. Definitely recommended...",45-54,F," Lucknow, Uttar Pradesh",Homemaker,May,2020,Q2
Product is value for money price of Best features,55 and above,M," Lal Gopalganj, Bihar",Retired,November,2022,Q4
"The built quality is soo good and best thing is its display looks very fantastic.
All sensors are working properly and tbt navigation is very useful. Also Battery performance is very longer with premium finish design. At this range one of the best smartwatch..",35-44,F," Kota, Rajasthan",Homemaker,February,2022,Q1
"The boAt Storm Call 2 Smartwatch is an impressive wearable device, it offers a great set of features for its affordable price. Some highlighting features.

1. Design and Build Quality
2. Display and User Interface
3. Performance and Battery Life
4. Fitness and Health Tracking
5. Smart Features and Notifications
6. Stylish design with a comfortable fit.

At last, If you're in the market for a budget-friendly and reliable smartwatch, the boAt Storm Call 2 is definitely worth considering.",25-34,F," Fazilka, Punjab",Homemaker,June,2020,Q2
This watch is great I like this watch features had a turn by turn navigation and good monitoring features,25-34,F," New Delhi, Delhi",Homemaker,June,2021,Q2
Good product,Under 18,M," Manesar, Haryana",Student,July,2024,Q3
"Watch has a quite big and good display. It has functional crown that helps changing faces and it has numerous watch faces too. This is perfect for counting daily steps, heart rate and blood oxygen which are quite helpful in monitoring your health. It is splash , dust and sweat resistance which makes it quite durable...",55 and above,M," Lucknow, Uttar Pradesh",Retired,September,2023,Q3
"This watch has truly impressed me with its blend of style and functionality. The vibrant 1.96-inch display is not only easy to navigate but also customizable, which I love. As someone who values health tracking, the accurate heart rate as well as SpO2 monitoring have been invaluable for keeping tabs on my wellness. The battery life is outstanding ❤️.",35-44,F," New Delhi, Delhi",Freelancer,November,2022,Q4
"This boat watch is really good and gives accurate steps count. Build quality is also good with many sports modes.
The calling quality is really good and supports music control by my watch itself. The display is good in sunlight without any issues in seeing time. Battery backup is 10 days",35-44,M," Ghaziabad, Uttar Pradesh",Working Professional,August,2023,Q3
Good.,35-44,M," Paschim Medinipur, West Bengal ",Working Professional,October,2022,Q4
"Very amazing 😍 beautiful watch' , value of money 💰🤑",Under 18,M," Jhargram, West Bengal",Student,July,2024,Q3
"I used it from last 7 month i not face any as such issue
After few day i will update this according to situation now its value for miney",35-44,F," Aurangabad, Maharashtra",Homemaker,April,2021,Q2
"Build quality of this watch is amazing. Touch response is great. Charging is easy with the supplied magnetic charger. I am very satisfied with it in this price range. Battery life is good.
With the help of various feature of this watch one can track daily activities in a good way.
Really happy with the performance of the product. Highly recommended product.",Under 18,M," South Delhi, Delhi",Student,November,2022,Q4
Amazing product good quality smartwatch and budget price good strap metallic design BT calling feature and lots of function in this watch,55 and above,M," Kanpur, Uttar Pradesh",Retired,August,2021,Q3
"Watch design quality is very sleek and clean. Screen size is quite big and user interface is very smooth. It has watch face studio and 700 active modes. It is dust , sweat and splash resistance too. There is also built-in games too soI am quite enjoying the experience.",45-54,M," Lucknow, Uttar Pradesh",Working Professional,April,2021,Q2
Good quality smartwatch. So happy with this purchase and product price is also very reasonable.,55 and above,M," Ranchi, Jharkhand ",Freelancer,January,2020,Q1
"Good features.
Please go for it",Under 18,M," Ahmed Nagar, Maharashtra",Student,August,2021,Q3
"I really loved this smart watch. I am extremely impressed with its features. Its design is sleek. Accurate fitness tracking, and long battery life make it a standout choice, Blutooth connectivity is very fast. Loved the blutooth calling most as connect calls very easily and voice is cristal clear, It is a top notch smartwatch that combines style and functionality.",25-34,M," Bundi, Rajasthan",Working Professional,February,2022,Q1
"Good battery, good display good watch face band is soft feature is good navigation system is nice smooth os sport mode.",45-54,M," Durg, Chhattisgarh",Working Professional,May,2022,Q2
"Nice 👍 product
Good 👍 .",55 and above,M," Kulti, West Bengal",Retired,December,2023,Q4
Watch is looking so beautiful appearance is adorable there many good features in the watch just like heart beat sensor o2 sensor and many daily activities sensing facilities I loved this due it's quality and wt it's totally worth for money,35-44,F," Patalganga Midc, Maharashtra",Homemaker,February,2024,Q1
"The watch is looking fantastic and light weight charging is very easy and fast .
Sound quality of the watch is fabulous
Colour is too preety I loved this watch and buy for my cute son",45-54,F," Khalapur, Maharashtra",Homemaker,August,2020,Q3
Very Good Product! Value For Money!,18-24,M," Alok City, Daman and Diu",Freelancer,June,2020,Q2
I like this product value for money,18-24,M," Rishikesh, Uttarakhand",Working Professional,September,2024,Q3
Very nice product 👍,25-34,M," Amta, West Bengal",Working Professional,June,2022,Q2
Very good,18-24,M," Bengaluru, Karnataka",Freelancer,December,2024,Q4
Value for money smartwatch good build quality and decent design with a great quality display its accuracy is exact 💯 and battery life is also good it have many watch faces with great look i loved this watch it have many amazing features and it looks very stylish in hand fully satisfied with this purchase this watch is very good and have unique features with amazing looks i recommend this watch to buy totally worth it product,Under 18,M," Mangalya, Madhya Pradesh",Student,August,2023,Q3
Super product,55 and above,M," Sarcarsamakulam, Tamil Nadu",Retired,April,2021,Q2
"the look is superb and first Good Smartwatch Clear good volume, Really Big display. Covers the whole lot of Sports Functions. Fast charging. Full Satisfaction. It has been month I am using the watch , this is really impressive. In terms of battery back up and looks the watch shows the best , full of features in this price range, Overall a good gadget to go for.....most recommended product",45-54,F," Kolkata, West Bengal",Homemaker,February,2021,Q1
Nice watch and good battery backup. Connecting problem with Samsung j7 prime,45-54,M," Alappuzha, Kerala",Freelancer,September,2024,Q3
Best Product 👍🏻,35-44,M," Ambarnath, Maharashtra",Working Professional,April,2024,Q2
Decent Watch...,35-44,F," Vijayawada, Andhra Pradesh",Homemaker,September,2022,Q3
Nice smart watch future,55 and above,M," Muzaffarpur, Bihar",Retired,April,2020,Q2
This watch is good 😊👍,25-34,M," Kolkata, West Bengal",Working Professional,August,2023,Q3
"This has quite a big and good display, it is dust, sweat and splash Resistance and have functional crown too. I love tracking my Daily steps, Heart rate etc that helps me keep in check ny fitness so it is very handy gadget if you are same like me. This also goes with my all outfits so easy to style too.",25-34,F," Lucknow, Uttar Pradesh",Homemaker,June,2021,Q2
I was looking for a good smartwatch and what can be better than this. As it not only look stylish but also have lots of interesting features. Also the battery lasts for really long time. It's a an ideal companion for a fitness enthusiast.,45-54,M," Kanpur, Uttar Pradesh",Working Professional,April,2021,Q2
"This has become my daily use watch. Has a calling feature that is hands free. Also, I can use it to control my music which makes it very convenient. Has a lot of watch faces to choose from. Another cool thing is came with a lot of complimentary stickers that I can put on my laptop. Activity tracking is pretty good as well.",35-44,F,"  Pune, Maharashtra",Homemaker,December,2022,Q4
Good,55 and above,M," Hyderabad, Telangana",Retired,December,2022,Q4
Osam,55 and above,F," Pashchim Champa, Chhattisgarh",Homemaker,May,2022,Q2
"This boAt Storm Call 3 Plus has exceeded my expectations, The build quality feels premium, The inclusion of turn-by-turn navigation is a game-changer for me , I highly recommend the boAt Storm Call 3 Plus to anyone looking for a feature rich and stylish smartwatch without breaking the bank. It offers excellent value for money and delivers a smooth and enjoyable user experience.",Under 18,M," Maldah, West Bengal",Student,April,2023,Q2
Such a nice products,45-54,F," Purba Medinipur, West Bengal ",Homemaker,June,2021,Q2
Value for 3👍,Under 18,M,"Pashchim Champa, Chhattisgarh",Student,July,2021,Q3
So nice👍 👍👍... colour was great. ......,Under 18,F," New Delhi, Delhi",Student,June,2024,Q2
Nice,18-24,M," Hyderabad, Telangana",Freelancer,June,2022,Q2
"The quality quality of this product is Amazing. design and finish is good 💯
Excellent Build Quality. Charging and battery backup is good. connectivity is great with all devices",18-24,M," Noida, Uttar Pradesh",Freelancer,September,2024,Q3
"This watch is a fantastic smartwatch that combines sleek design with impressive functionality. The 1.96 inch HD display is bright and responsive, making navigation effortless. The strap quality is top notch. Battery life is remarkable, lasting up to 10 days.",18-24,M," Hisar, Haryana",Working Professional,September,2024,Q3
Super very good product,55 and above,M," Kuppam, Andhra Pradesh",Retired,October,2023,Q4
good,35-44,M," Kolkata, West Bengal",Working Professional,July,2024,Q3
