Reviews for Amazfit,Age,Gender,Location,        Occupation,Month,Year,Quarter
"The accuracy of the sensor readings is questionable. It varies by 10% of what a clinically approved measure sensor shows, but for day to day activities it is more than enough to keep track of the heart rate and calorie counter.Lot of workout modes but Unable to re-organize the list which is bad.Continuous heart rate increases the battery usage and gives 5days worth of battery backup while my Huawei Band 6 gives 10days.Got this to use gps for cycling calorie counter. Overall an okay prod...READ MORE",Under 18,M," Bengaluru, Karnataka",Student,October,2024,Q4
Ok,18-24,M," Tirupur, Tamil Nadu",Freelancer,May,2024,Q2
I really loved this product,Under 18,M," Muzaffarpur, Bihar",Student,October,2021,Q4
Great,Under 18,M," Uttar Latabari, West Bengal",Student,March,2024,Q1
Nice and light weight. Easy to use and worth the money. But battery life is less than expected,35-44,F," Sonipat, Haryana",Homemaker,June,2024,Q2
All good... Only battery backup is not upto the mark,18-24,M," New Delhi, Delhi",Freelancer,April,2020,Q2
Watch price are very up and down,25-34,M," Ganganagar, Rajasthan",Freelancer,March,2020,Q1
Best under5k,Under 18,M," Bhimavaram, Andhra Pradesh",Student,September,2020,Q3
Good,Under 18,F," Santipur, West Bengal",Student,August,2021,Q3
Very Nice 👍👌,55 and above,M," Sopore, Jammu and Kashmir",Retired,February,2023,Q1
I am very much satisfied,55 and above,M," Arakonam, Tamil Nadu",Retired,November,2023,Q4
Awesome watch with great features.,18-24,M," Dharmabad, Maharashtra",Freelancer,August,2022,Q3
"I got it at 4199 INR..
SUPER VALUE FOR MONEY",45-54,M," Darbhanga, Bihar",Working Professional,April,2024,Q2
Although product is expensive in terms of features as in this price you expect and receive a lot of features in any watch but the display and build quality is better in comparison to other watches you get a comfort and good in hand feel while using this overall good experience,45-54,F," Hisar, Haryana",Homemaker,June,2023,Q2
Just Love it. Best watch. Two things i hate about it that you have to keep bluetooth of your mobile on all time & gps of this watch is of no use because you have to always turn on mobile gps to keep watch connected,25-34,M," Srinagar, Jammu and Kashmir",Working Professional,May,2022,Q2
Just value for money. Excellent product at this price range. Better device.,45-54,M," Naupala, West Bengal",Freelancer,October,2020,Q4
Best watch under budget,18-24,M," Lalganj, Uttar Pradesh",Working Professional,December,2023,Q4
Nice Product..,35-44,F,"  Pune, Maharashtra",Homemaker,November,2024,Q4
Nice,25-34,M," Bharatpur, Rajasthan",Working Professional,February,2023,Q1
"The product initial update takes couple of hours at the least and for some reason if the phone is used at the time, the update done so far is all gone and then again it has to restart from beginning and take another few hours to complete. Haven't seen any product which has that many challenges to do the initial update. Total waste of time and money",55 and above,F," Palakkad, Kerala",Homemaker,November,2021,Q4
"Not For a Value Of Money.. Because They Are Improve To Build Design And. Sync Connections Are. To Let..

They Are Not 5 Of 5 Marks..

And
I Suggest To u.. Mens. Colors Add to The.. Important Thing.. Are Any Options To the. Watch Colour And.. Straps",18-24,M," Surguja District, Chhattisgarh",Freelancer,July,2021,Q3
Nice watch,55 and above,M," Muzaffarpur, Bihar",Retired,August,2023,Q3
Alexa and spo2 tracker doesn't work properly rest is fine:),35-44,M," Roorkee, Uttarakhand",Working Professional,January,2021,Q1
I love it 💗💗💗💗💗💗💗💗,18-24,M," Baleshwar, Gujarat",Freelancer,August,2020,Q3
"Have been using this smart watch for the last 6 months now. It is a budget friendly watch and is packed with good enough features for the price tag it is carrying. You will get GPS which is fairly accurate and doesn't take much time to get activated so you don't need to carry your mobile phones on your morning runs. The HR sensor is also fairly accurate at low speeds but at higher speeds, it shows variance when compared with the data recorded from chest straps. The overall look and feel of th...
READ MORE",35-44,F," Guwahati, Assam",Homemaker,November,2022,Q4
"over all good product... GPS working very good... after long time searching, lots of model watches looked out, two other watches place the order after that canceled that.. because my requirement is not filed up.. i purchased for only sports like cycling and trekking, running purpose only... tracking the regards with out using phone gps.. it is only one watch fulfill that on this amount range.. very good product.. i rearmament it all.. only think is battery pack up is just two days only.. ...
READ MORE",25-34,M," Coimbatore, Tamil Nadu",Freelancer,March,2024,Q1
Good watch in this price,55 and above,M," Muzaffarpur, Bihar",Retired,February,2024,Q1
"Very happy with product. All feature are there except calling from watch , which I don't need.
If we want only call alert from what's app and all other app ,not to make or receive call from your watch this is just perfect watch for you.
All feature working perfect Only Alexa not working that well, very limited feature.",Under 18,M,"  Pune, Maharashtra",Student,June,2023,Q2
Update transfer and watchface synchronize time is more .Have to wait about 1hour for update transfer and 10 second for watchfaces,Under 18,M," Sundargarh District, Odisha",Student,August,2024,Q3
"WATCH IS VERY NICE AND I LOVED ALL THE FEAUTURES
WATCH IS DELIVERED AT TIME
LOVED IT",35-44,M," Bengaluru, Karnataka",Freelancer,March,2022,Q1
"After listening many of them I bought bip u pro but it never met my expectations..... when it comes to 1.battery it is very low within 3 4 days battery get drained.
2.blutooth: to connect to the mobile you have to wait for long period.
3.display: it is okay no complaint or a compliment.
Display size: comparitively small in size.
4.watch strap and quality: quality is good but when you wear it for a long time your hands start itching.",25-34,M," Dakshina Kannad, Maharashtra",Freelancer,October,2020,Q4
Good one 😍,55 and above,F," Kuppam, Andhra Pradesh",Homemaker,March,2023,Q1
I have been using this for like 2 years. It's still performs the same. Just the battery is degraded ( but it can still last for 2 days) easily.,55 and above,M," Kangra District, Himachal Pradesh",Retired,January,2022,Q1
"At this price point, this watch has no competition in the sector of built-in GPS capabilities and has really easy sync functions with STRAVA. 5 star recommended for beginner/ enthusiasts in athletics/cycling",18-24,F," Thiruvananthapuram, Kerala ",Working Professional,January,2023,Q1
"Jyada sochav tab dimaag phat jayye ,Lelo",35-44,M," Jahanabad, Uttar Pradesh",Freelancer,September,2022,Q3
Loved the product one of my brother suggested. I was a bit worried that to the size would be too big. But the size is perfect not a huge one. I m happy☺️☺️,25-34,F," Burdwan, West Bengal",Student,February,2021,Q1
"Owsome watch with Built-in GPS and Alexa, everybody saying that it has TFT LCD display but evan amazfit website itself not mentioned that but believe me its one of the best display like IPS LCD...
very crisp and sharp as well as vibrant like AmoLED, I have checked each and every workouts its working perfect especially Heart rate moniter and SpO2 sensor as well as stress moniter, if anyone crazy about fitness and tracking u can go for this easily without having second thoughts
thank you....",25-34,M," Bengaluru, Karnataka",Working Professional,September,2022,Q3
"I bought this watch for tracking the activities. It does the superbly. Design, battery back up and way it looks is just average, but again it works well. Better get a watch that does the job well, than a better looking one.",45-54,M," Jind, Haryana",Working Professional,March,2020,Q1
Value for money..easy to connect strava,18-24,M," Thiruvananthapuram, Kerala",Working Professional,October,2022,Q4
Looks good 👍,55 and above,M," Indore, Madhya Pradesh",Retired,August,2021,Q3
Great product albeit a tad small but does exactly what I bought for.....a must have no noncence workout partner with good battery life.,35-44,M," Kochi, Kerala",Working Professional,December,2023,Q4
"awsome
o",18-24,M," Gadchiroli, Maharashtra",Freelancer,January,2021,Q1
Quality assurance that,25-34,M," Perinthalmanna, Kerala",Freelancer,April,2022,Q2
Best in this budget,Under 18,M," Supaul, Bihar ",Student,April,2020,Q2
Good 👍,18-24,M," Trivandrum, Kerala",Freelancer,September,2021,Q3
"Nice , Beautiful,and so attractive .",55 and above,F," Dhenkanal, Odisha",Homemaker,July,2023,Q3
Awesome product.. beyond expectations ❤️,Under 18,M," Cherthala, Kerala",Student,December,2020,Q4
"Satisfied

1. Accurate GPS Tracking
2.more workout mode
3.water resistance super
4.based on gos accurate step count
5.desing & bulid quality super
6.fit for unisex

Not satisfied
1. Heavy usage battery life only 40 hours backup, normal use 3 day only not 9 day
2. Display size is too small
3.Alexa not working properly
4.SPO 2 Sensor & Stress level sensor measurements it take more time. More time results showing failed.
5.Not available in always on display.
6.only 50 watch faces available.",45-54,M," Sattur, Tamil Nadu",Freelancer,February,2021,Q1
Feature wise it is ok.. but am not satisfied wit watch design & size.,25-34,M," Perambalur, Tamil Nadu",Freelancer,September,2022,Q3
"Software update must required, very much bug issue. Pulse oximeter not work properly.",45-54,M," Kolkata, West Bengal",Working Professional,May,2021,Q2
The features are awsome and acurate but calling function doesn't work porpely that don't display number or name as I seen before byuing overall it's an good product under 5000,25-34,F," Kendrapara, Odisha ",Homemaker,January,2024,Q1
Smart and fit for all,35-44,M," Bengaluru, Karnataka",Working Professional,December,2023,Q4
"Best on this price range.
Very accurate step count. GPS is good. Alexa little bit lag. Battery backup very good.looks stylish",25-34,M," Byasanagar, Odisha",Working Professional,May,2023,Q2
I like it very much but the screen size is so small.,35-44,F," Darjiling District, West Bengal",Homemaker,April,2023,Q2
Really good watch for the price. its really accurate with all the features u need. just wish we could do more customization to watch faces but other than that solid. the battery lasts about 5 days,35-44,M," Bengaluru, Karnataka",Freelancer,October,2021,Q4
Amazing watch. Great GPS accuracy and sleep tracking.Faster charging and better battery life would've been nice.,55 and above,M," Jamshedpur, Jharkhand",Retired,October,2022,Q4
It is the gift i presented to my lover. Tel u i- Love you,35-44,M," Krishna, Andhra Pradesh ",Freelancer,February,2024,Q1
Amazing device,45-54,F," Hassan, Karnataka",Homemaker,August,2023,Q3
Wastage of money.,25-34,M," Jodhpur, Rajasthan",Working Professional,May,2021,Q2
i m not happy,18-24,M," Purnia, Bihar",Working Professional,February,2024,Q1
"Good watch
Meets all specifications",18-24,M," Hubballi, Karnataka",Freelancer,June,2023,Q2
"After using it for a year, the display got cracked, charging is not working properly, bluetooth is also broken.",55 and above,F," Shoranur, Kerala",Homemaker,January,2022,Q1
Very nice product,55 and above,F," Kharagpur, West Bengal",Homemaker,February,2024,Q1
Good luck,Under 18,M," Kozhikode, Kerala",Student,November,2020,Q4
The product stopped working with in 6 mins of purchases........and I gifted it to my mom......I think Flipkart is actually promoting fraud compain.......as I cannot believe that fit bit will sell such watches.....,Under 18,F," Kolkata, West Bengal",Student,April,2024,Q2
Not good,55 and above,M," Mangalvedha, Maharashtra",Retired,April,2024,Q2
Very good product.,25-34,F," Bally, West Bengal",Homemaker,June,2022,Q2
Very good product,25-34,M," Aligarh, Uttar Pradesh",Freelancer,September,2022,Q3
Nice Watch ⌚⌚⌚⌚⌚,45-54,F," Mumbai, Maharashtra",Homemaker,November,2024,Q4
100 % - 70% --- 30% just good,25-34,F," Kodala, Odisha",Homemaker,June,2022,Q2
"Very bad delivery, delivery boy didn't deliver earlier 2 consignment of same product. He him self cancelled the order by saying delivery attempted failed. Customer care was completely helpless in the same",25-34,M," Bhusawal, Maharashtra",Working Professional,October,2022,Q4
Value but look and colour not satisfied,45-54,F," Bhavani, Tamil Nadu",Homemaker,April,2020,Q2
"Charging and battery not good
, waste of money
Battery low always",25-34,F," Raichur, Karnataka",Homemaker,December,2024,Q4
Good product,25-34,F," Krishnagiri, Tamil Nadu",Homemaker,January,2024,Q1
"Good,i could say for smart watches. I like it.",Under 18,M," Karimnagar, Telangana",Student,March,2022,Q1
Value for money. Best display i have ever seen before.I am using this for last 8 months no problem faced.,Under 18,F," Central Delhi, Delhi",Student,April,2021,Q2
Good product,18-24,M," Prakasam, Andhra Pradesh ",Freelancer,November,2024,Q4
"I'm using Amazfit Bip U pro since past 3 years, and the tracking is pretty accurate. I have mostly used it while working out and treking and the gps tracking is amazing.",18-24,M,"Pune, Maharashtra ",Student,February,2021,Q1
I don't use it much but it is great to track my daily activities. The app helps to analyse and record information as well,18-24,F,"Kurla, Maharashtra ",Student,September,2022,Q3
"Overall a good package. Read the below points to make a fair decision 👇
Design feels premium, though the side is zinc alloy not metal.
HR tracking is on par, foot steps are close to real but spO2 needs work.
Sleep tracking and in hand feel is right and nice and the back of the watch is matt, so too many scratches would not get into that.

Screen visibility is adequate on sunlight, clearly visible and quality of the screen is good and responsive ui. I would love to see 60 fps in the ui and tr...
READ MORE",Under 18,M," Maslandapur, West Bengal",Student,June,2021,Q2
Worth it!!,35-44,M," Palacole, Andhra Pradesh",Working Professional,April,2021,Q2
Premium look and quality,25-34,M," Gulbarga, Karnataka",Working Professional,March,2020,Q1
"Worth at this price. The watch looks really premium, the quality of strap is amazing. I really loved the Display super sharp.
The speak and mic both are solid.
Deducting one star due to the BT connectivity, the range is okay, sometimes it gets disconnected.
The always on display behaves weird sometimes, it can stay on for max 20 minutes in the settings.",45-54,M," Navi Mumbai, Maharashtra",Working Professional,April,2023,Q2
"Overall it is a Great Product..
Pros : Battery Backup is great, Fast Charging, Amoled Display look great in indoor.
Cons : Always On Display outdoor visibility is low, Watch Faces are limited, Cannot Control Watch Calling Volume, Activity tracker is 80% accurate, watch scraps is ok quality.",55 and above,M," Durgapur, West Bengal",Retired,December,2020,Q4
Feels a bit heavy. Not sure why Amazefit introduced new app when they are already having a wonderful app. The new app specifically designed for this watch is not so great. Hoping the company upgrades it to be similar to the current Zepp app,Under 18,M," Coimbatore, Tamil Nadu",Student,February,2024,Q1
"Pros:
Display: Nice looking amoled display.
Data accuracy: Compared to other watch in this price range, it has slightly better accuracy.
Design: It's simple and neat.
Con:
Some features are missing
App is not great
The default strap is of cheap quality.

If you just need a simple, good looking, low budget, little accurate smart watch...go for it, don't fall for the brand, nothing you will get extra because it is from Amazfit, it will look and feel like you are wearing a low end Chinese smart ...
READ MORE",25-34,M," Hyderabad, Telangana",Freelancer,October,2023,Q4
Excellent....,Under 18,M," New Delhi, Delhi",Freelancer,March,2023,Q1
Very very much for this pricing smart watch,18-24,M," Ranchi, Jharkhand",Freelancer,October,2024,Q4
Product is very nice....value for money... looking very nice... design is very cool..must buy..,Under 18,F," Bettiah, Bihar",Student,September,2023,Q3
"This watch looks and weighs heavy, can't toggle continuous heart rate and it only takes readings once in 10mins which is useless, can't track spo2 continuously, watch faces are borderline boring and cheap, can't understand why is there a new app which is another minus for this watch.
Caution: small wrists just forget about buying this watch",35-44,M," Bengaluru, Karnataka",Working Professional,August,2024,Q3
Big dial with Super amoled display,35-44,F," Ranchi, Jharkhand",Homemaker,September,2020,Q3
"Very nice smart watch, looks primium, display very beutiful, good battery, nice features, and accuracy is good not excellent but very good.",45-54,F," Rudraprayag District, Uttarakhand",Homemaker,January,2020,Q1
Great watch...loved it 😍,25-34,F,"  Pune, Maharashtra",Homemaker,January,2020,Q1
"Very good watch from a brand like Amazfit.
Smooth user interface.
Bluetooth calling is very clear.
Amoled screen is an added advantage.
At this price point is a value for money deal.",25-34,M," Thane, Maharashtra",Freelancer,September,2023,Q3
Nice product,18-24,F," Kolkata, West Bengal",Working Professional,March,2023,Q1
"Look wise awesome 🔥
Display is to good
Calling features working properly
Nice speaker 🔊
Nice mic",35-44,M," Bhilad, Gujarat",Working Professional,August,2022,Q3
Plz don't buy this item,18-24,M," Salem, Tamil Nadu ",Freelancer,November,2024,Q4
"nice product but screen guard no in market. but watch awesome. heart rate accurate with comparing fire bolt. nice i have purchased today before now its working nice display superb...,,,,",18-24,M," Dindigul, Tamil Nadu",Working Professional,December,2024,Q4
Realy nice product,Under 18,F," Navi Mumbai, Maharashtra",Student,September,2024,Q3
"I have been using this product for a month now i can say that its okay okay for the price point

Issues i faced are-
Weather widget doesn't work like you can see in the picture
and you can't silent the watch if you want to use the calling feature
if we silent the device then we can't use the calling feature

The last one is its battery life is too low hardly 3 days without using the calling feature",25-34,M," Khardaha, West Bengal",Working Professional,June,2022,Q2
Display is fantastic❤️I love it,55 and above,M," Rajpur Sonarpur, West Bengal",Retired,February,2021,Q1
Awesome watch ...,55 and above,F," Indore, Madhya Pradesh",Homemaker,March,2020,Q1
Very good Quality and good sound quality,18-24,M," Purba Bardhaman, West Bengal ",Working Professional,July,2024,Q3
Seriously i cant express my inner feelings this watch is amazing and too special for me. I mean in this price segment with calling features and great display is amazing. Performance wise one of the best smart watches ever.,18-24,M," New Delhi, Delhi",Freelancer,September,2022,Q3
"Watch is great, perfect brought on launching date and price.
Flipkart delivery is also fast and perfect",Under 18,M," Nashik, Maharashtra",Student,June,2023,Q2
Great purchase,35-44,F," Budge Budge, West Bengal",Homemaker,May,2023,Q2
The Amazfit Pop 2 with ultra Large 1.78 inch Amoled display and Around 5 to 7 day's battery after completing charge can work.if you are not using Bluetooth calls.Amazfit Pop 2 is value for money product.,55 and above,M," Nagpur, Maharashtra",Retired,June,2021,Q2
Budget smartwatch,45-54,F," Nagapattinam, Tamil Nadu",Homemaker,October,2024,Q4
"Bought it on the first sale after using one week

Pros:
Battery - 7-8 days (with calling ,raise to wake)
Disaply
Calling feature and call quality
AI is working well
Metal build
Accuracy in Sleep tracking etc

Cons:
No Call Silent option
AOD only for 15 mins (for battery saving)
There is no Calculator

best watch from amazefit under 4K .",18-24,F," Hyderabad, Telangana",Working Professional,October,2021,Q4
Awesome display. All features are working well. No complaints. Well work with iphone 13.,35-44,F," Karivellur, Kerala",Homemaker,September,2021,Q3
Best budget smartwatch,35-44,F," Simdega District, Jharkhand",Homemaker,October,2021,Q4
"Brand watch he ye👌🏻🔥🔥;️
Display quality bhi super he...😍",35-44,M," Kolhapur, Maharashtra",Working Professional,January,2022,Q1
amazing product..,25-34,F," New Delhi, Delhi",Homemaker,August,2022,Q3
"*It will show only numbers when we get a phone call..
*We can't change the weather...it is showing the weather based on our internet connection ..not by the location... Am from Kerala ...and it's showing banglore,s wether .. when I connected to the wifi
*Some times I can't take the call...
* Some times it automatically unpairing
*If u need the map view ..when u r workouting.like waking or running..u need to start the workout in phone in zepp active app ....if u Start workout in watch it does...
READ MORE",25-34,M," Ernakulam, Kerala",Working Professional,February,2023,Q1
"Product is good looking, specially the display and nothing else. Sensors are not giving proper reading even they are giving readings on being kept on a table or bed. And the display is pretty fragile. Will update after 1 month use (currently one week).",25-34,M," New Delhi, Delhi",Freelancer,December,2021,Q4
Dail face option are very less,25-34,M," Bhopal, Madhya Pradesh",Freelancer,January,2023,Q1
"Software buggy,
Kinks are not worked out,
Steps and heart rate not accurate
Voice assistant festure is useless
,alarm doesn't have sound...why when there us a speaker",45-54,M," Ernakulam, Kerala",Freelancer,October,2024,Q4
Have problem with battery other thing are great like wow,25-34,F," Aurangabad, Maharashtra",Homemaker,May,2021,Q2
Amazefit it's a good brand. battery life it's very good i am using 4 days . Charging in last four days still 80 percent. Battery good.amoled display good. Bluetooth call it's amazing. Mainly battery and display and amazefit brand that's a main reason to buy . My review its good watch,45-54,M," Thanjavur, Tamil Nadu",Working Professional,March,2021,Q1
"POP 2 is very beautiful watch .Calling function is very good working , Speekar is very clear in calling function .
Worth product ..
I m very happy with POP2",45-54,M," Noida, Uttar Pradesh",Freelancer,February,2021,Q1
"Best smartwatch with a great look, good amoled display, good battery backup.",45-54,F," Thane, Maharashtra",Homemaker,February,2021,Q1
"Very very nice product
Thanks Flipkart",18-24,F," Mejia Thermal Power Township, West Bengal",Working Professional,September,2024,Q3
"Overall a good package, display is bright enough and watch looks premium but reading is much much worst than i thought. Many times it shows sleep reading even if i dont wore it during night time. Deep sleep data might be preloaded on this watch as many times deep sleep data is same as of last night so obviously how can deep sleep data be same for 2 nights, literally reading is so worst than i expected.",Under 18,F," Bhiwandi, Maharashtra",Student,August,2022,Q3
Everything about this watch is fine. But it count steps even if I move the watch in air without even wearing it I walked about 41 steps just by moving in the air. Please fix this if possible through some software updates. Otherwise Heart Rate and Oxygen tracking is quite accurate. No complain about model and display. Battery backup is also good. Just received 2 days ago though. Hope company will fix the steps count through some updates.,55 and above,M," Lucknow, Uttar Pradesh",Retired,March,2023,Q1
"First about Flipkart - Delivery delayed by 3 days, and price charged to me higher than what is displayed in my wife's app. Big learning that Flipkart cheats by offering different prices to different customers. Specially shows higher price to plus customers.

Product is ok ok. Display is the only good feature. Fitness tracking is with average accuracy",Under 18,M," Ranga Reddy, Telangana",Student,May,2020,Q2
Wow 🤩 so beautiful good,18-24,M," Kolhapur, Maharashtra",Freelancer,February,2024,Q1
The design is quite good. Build quality is awesome.,25-34,M," Noida, Uttar Pradesh",Working Professional,October,2022,Q4
Feel premium..,55 and above,M," Murbad, Maharashtra",Retired,December,2022,Q4
This is good product but some feature as of now missing lile mute call ringing. Also glass gets scratched easily. A bit bulky. Display and aod are very good.,45-54,M," Aligarh, Uttar Pradesh",Working Professional,December,2021,Q4
It's too good💫 go for it.....,45-54,F," Gorakhpur, Uttar Pradesh",Homemaker,June,2022,Q2
Watch is good. Battery is excellent. Design is good. Also show the phone saved contact name even not saved in watch. Activities sensors working very well but Taking long time. Apart from that worth for money form amazfit...,25-34,M," Chennai, Tamil Nadu",Working Professional,January,2024,Q1
Very good smart watch.,Under 18,M," Dehradun, Uttarakhand",Student,May,2021,Q2
Wow,Under 18,F," Prayagraj, Uttar Pradesh",Student,June,2021,Q2
Premium under this range among all other watch🙏go for it 🤘,Under 18,M," Gaya, Bihar",Student,April,2023,Q2
"Awesome display 😍
Go for it",45-54,M," Haldia, West Bengal",Working Professional,March,2024,Q1
Voice Assistant not 🚫 working,25-34,M," Dausa, Rajasthan",Working Professional,March,2024,Q1
Nice 👍,45-54,F," Jalandhar, Punjab ",Homemaker,May,2024,Q2
Good product ..worth it,45-54,M," Kochi, Kerala",Freelancer,August,2022,Q3
Very good performance nice Amazfit smart watch.good looking value for money thanks Flipkart,45-54,M," Champa, Chhattisgarh",Freelancer,June,2022,Q2
Nice watch ⌚,Under 18,F," Alwar, Rajasthan ",Student,November,2021,Q4
"It's a nice watch from Amazfit
Go for it you will not disappoint",18-24,M," Jeypur, Odisha",Freelancer,September,2023,Q3
Nice good,35-44,M," Hyderabad, Telangana",Working Professional,May,2021,Q2
Super smart watch,18-24,M," Kathua District, Jammu and Kashmir",Freelancer,March,2020,Q1
Good,Under 18,M," Dakshina Kannad, Maharashtraa ",Student,June,2024,Q2
Worth of money you should definitely buy It without any hesitation.,55 and above,M," Kota, Rajasthan",Retired,October,2023,Q4
"Really worth in this price range .. 👍 Just go for it, don't think too much if you want to buy square shape smart watch.. this watch is features loaded",Under 18,M," Ajmer, Rajasthan",Student,February,2024,Q1
Good product 👍,25-34,M," Padappai, Tamil Nadu",Freelancer,March,2020,Q1
"What an awesome watch... Bluetooth Calling, What's App Calling with Amoled display ... U can't ask anything more at this price.
Must say Amazfit u are back and back with a bang...",25-34,M," Ahmedabad, Gujarat",Freelancer,November,2021,Q4
Superb product Amoled Display was Very Good I like it 👍,25-34,F," Thane, Maharashtra",Homemaker,March,2020,Q1
"product very good,but zepp active app improvement ,value for money",55 and above,M," Puruliya, West Bengal ",Retired,August,2023,Q3
"Awesome product, best display quality and display size and strap quality is also very nice..",55 and above,M," Indore, Madhya Pradesh",Retired,August,2020,Q3
I already have amazfit t rex pro.. I knkw the quality of amazfit thats why ordered this watch for a family member. And in this prize range it is amazing.. Calling feature and touch is very smooth.. Surely go for it..,55 and above,M," Phagwara, Punjab",Retired,February,2021,Q1
Just nearby perfect for the price point.,45-54,M," Panihati, West Bengal",Working Professional,February,2023,Q1
Good Product..,18-24,F," Bengaluru, Karnataka",Working Professional,October,2023,Q4
"This device is just good for time check like a normal watch. The accuracy of the activity track is not upto the mark, as it includes lot of error counts. Most important is that, this device works only with Zepp Active app which is a pathetic application. Synching is very poor, every time we've to refresh the app Page.
You cannot link your activities to Google Fit or Strava. I doubt is there any other way to link the account.
Before buying make sure whether this watch fits you or not.
Will up...
READ MORE",18-24,M," Bengaluru, Karnataka",Freelancer,August,2020,Q3
Not showing caller name . Too many bugs. Even sleep tracking is not proper working it track only at night. I don't except it from Amazfit brand. Overall brand value matters. I am using iOS device,35-44,F," Patna, Bihar",Homemaker,June,2022,Q2
"There is abnormalities in battery
Sudden discharge in battery,
Needs improvement in battery department",25-34,F," Hyderabad, Telangana",Homemaker,April,2020,Q2
"Build quality is good, but little heavy and bulky. Trying to adjust. Ok, Ok!",55 and above,M," Mumbai, Maharashtra",Retired,January,2022,Q1
Too much thickness,35-44,M," Srinagar, Jammu and Kashmir",Working Professional,June,2020,Q2
I like it,55 and above,M," Tirupati,Andhra Pradesh",Retired,May,2020,Q2
