Reviews for Apple Watch ,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Chic ! And at a 21% discount, it is amazing to have :)",25-34,F," Lucknow, Uttar Pradesh",Homemaker,April,2024,Q2
"Great purchase from Flipkart! Got the Apple Watch Series 9 at a fantastic price. The delivery was quick, and the packaging was excellent. Flipkart really offers great value for money on premium products like this. Highly recommended!",25-34,M," Jaipur, Rajasthan",Working Professional,August,2021,Q3
Simply awesome. Perfect pairing with my iPhone 14 plus.,Under 18,M," Barrackpore, West Bengal",Student,April,2024,Q2
Loved it. Great quality. Looks so premium.,25-34,M," Udupi, Karnataka",Working Professional,February,2020,Q1
Beautiful watch ❤️,25-34,F," Varanasi, Uttar Pradesh",Homemaker,December,2024,Q4
The product is really good and justifies the cost. Really happy with the item,35-44,M," Mumbai, Maharashtra",Working Professional,April,2023,Q2
Top notch Performance!,18-24,M," Coimbatore, Tamil Nadu",Working Professional,September,2023,Q3
Amazing watch just go for it,25-34,M," Mumbai, Maharashtra",Freelancer,August,2021,Q3
The product is good. The screen quality is improved. Loved the red colour.,Under 18,M," Hyderabad, Telangana",Student,December,2024,Q4
Good Watch and also customisation by changing the straps are so nice.,18-24,M," Palakkad, Kerala",Working Professional,February,2022,Q1
The outer box was dirty! But the product quality is awesome. Loved it! 8 years of Dream accomplished,55 and above,F," Salem, Tamil Nadu",Homemaker,July,2023,Q3
Awesome experience. This is my first apple watch and I am extremely happy with it. Worth it with the price I got at Big Billion Days.,45-54,M," Dhanbad, Jharkhand",Working Professional,August,2020,Q3
"No doubt on Apple watches performance and design.
This is my first apple watch, overall satisfied with performance, battery lasts full day with all notifications on, could have much better comparing other android watches.
Please be careful with strap size, mine was M/L and it is recommended only for thicker wrist, mine is normal and it is slightly bigger for me.",Under 18,M," Sonipat, Haryana",Student,June,2023,Q2
Great 1st Apple Watch,55 and above,M," Koch Bihar, West Bengal",Retired,March,2021,Q1
I always wanted it so I just love it.,18-24,F," Mohali, Punjab",Retired,September,2022,Q3
Very nice product and awesome. Value for money.,45-54,M," Vadodara, Gujarat",Freelancer,January,2022,Q1
best display and features.,18-24,M," Jaipur, Rajasthan",Freelancer,April,2024,Q2
"Undoubtedly this is the best upgrade from my watch series 3 38mm.

Performane as expected and display looks really bright and beautiful.

Activity tracking is way better than before.

Thanks flipkart for BBD sale gift.

Best delivery experience.",25-34,M," Kendrapara, Odisha ",Working Professional,August,2024,Q3
"Awesome product, lo price best reseller for apple is flipkart, good service and original product. Please always ensure open box delivery 🙏 the nice real product.......",25-34,F," Durgapur, West Bengal",Homemaker,March,2022,Q1
"Beautiful watch
No cellular one",35-44,F," Delhi Division, Delhi",Homemaker,July,2021,Q3
The watch is a bit delicate There could be easy scratches on glass and body shell.,45-54,M," Bhiwandi, Maharashtra",Working Professional,October,2024,Q4
"Got 45mm for 31k, worth the price and perfect with iphone.",18-24,M," Bengaluru, Karnataka",Freelancer,August,2021,Q3
Best smartwatch in the market. Excellent features with great animations. 45mm fits perfectly with my skinny wrist. With apple watches only issue is with the less battery. With always display on in normal usage approx 30 hrs battery i am getting.,Under 18,M," Kolkata, West Bengal",Student,January,2021,Q1
"The watch is really good, initially sceptical about purchasing as it's heavily discounted on Flipkart but once it received I have checked serial number and it's not activated and otginal",Under 18,F," Raigarh, Chhattisgarh",Student,August,2023,Q3
"Superb purchase,totally staisfied with product
Using it with apple 13 pro max ,enjoying apple ecosystem",45-54,M," Jamnagar, Gujarat",Freelancer,June,2020,Q2
"Great features, only issue of the battery which lasts only one day.",Under 18,M," Rohtak, Haryana",Student,September,2022,Q3
"Its a great piece of tech, awesome features everything is top notch, except the battery. Needs to charge everyday.",18-24,F," Barasat, West Bengal",Working Professional,March,2022,Q1
"Premium watch
Best watch from apple",55 and above,M," Mohiuddinagar, Bihar",Retired,June,2021,Q2
All is well 🤗😍 Except battery life 😔 😢,18-24,M," Bengaluru, Karnataka",Freelancer,September,2020,Q3
Awesome watch got delivered in 9 mins first i was a bit anxious because of the rumors but when i received i got full assurance by the delivery chap and overall great,18-24,F," Gurugram, Haryana",Working Professional,March,2023,Q1
Watch is nice but you need to buy a strap according to your wrist measurements as mine strap was little bit tight so i have to buy that and it costs around 500-1500 good quality,35-44,F," Pehowa, Haryana",Homemaker,July,2020,Q3
"Initially it feels too much expensive but feels satisfied once bought and you would love it wearing
Bought it for a good price on 20Oct
Only best watch in 2024
Value of every rupee spent",18-24,M," Davanagere, Karnataka",Working Professional,September,2022,Q3
"It's very good also it's apple real product
No doubt go for this ❣️
Thank you Flipkart also thanks to delivery boy
For fast delivery service 🙂",25-34,F," Kolkata, West Bengal",Homemaker,April,2024,Q2
"The watch is great but like all apple products, overpriced. And the experience has been kinda mixed this far",55 and above,M," Karamuck, Kerala",Retired,November,2023,Q4
Apple watch is the perfect product if you want less screen time on your phone,55 and above,M," Kolkata, West Bengal",Retired,July,2021,Q3
Happy with purchase!,18-24,M,"  Pune, Maharashtra",Freelancer,April,2024,Q2
Very nice,55 and above,M," Farrukhabad, Uttar Pradesh",Retired,February,2022,Q1
Excellent product. Series 9 is best . I am using it for first time and it feels like u have everything on your wrist. Flipkart delivered it before one day and the open box check theory is good. Buy it without a second thought,Under 18,F," Cuttack, Odisha",Student,September,2022,Q3
"Nice colour. Not pink not gold, something in between. Upgrading from series 5 to series 9. Like the health app with information like exposure to sunlight, SpO2, ECG, VO2 Max etc. IT ALSO TELLS TIME ⚠️",55 and above,M," New Town, West Bengal",Retired,December,2023,Q4
"Definitely value for money product. I have been trying to buy it from a very long time. Features, user interface are top notch. Have no idea how battery performs. Will update later about battery performance. No doubt that m enjoying this at my fullest.",25-34,M," Visakhapatnam, Andhra Pradesh",Working Professional,November,2024,Q4
This is a good upgrade from Apple watch SE 2 which I used previously. Display is impressive❤️ and animations are soo smooth. Siri responses were soo quick compared to previous generation watches. I love the haptics and compactness of the watch with many builtin sensors. Silver watch with Blue sport loop band looks stunning 🤩,55 and above,M," Hyderabad, Telangana",Retired,January,2022,Q1
Its really good. Thanks Steve jobs!!!,45-54,M," Bengaluru, Karnataka",Freelancer,November,2020,Q4
"Best purchase ever, especially paired with this link bracelet.",18-24,M," Panipat, Haryana",Freelancer,March,2020,Q1
"I've been using the series 4 and its a big leap to the series 9.
I loved it of course, the sheer quality of the watch, silver is super classy! The new sensors works like a magic wand. Got a got price too! This model fits me perfectly, the 45mm is kind of big, which is a little uncomfortable. However, super product by Apple, and great buying experience too! Kudos!!",35-44,F," Shillong, Meghalaya",Homemaker,April,2021,Q2
Apple Watches are the best in market,35-44,M,"  Pune, Maharashtra",Working Professional,November,2023,Q4
Apple known for its product and really worth it,55 and above,M," New Delhi, Delhi",Retired,October,2022,Q4
"Awesome, and genuine product",55 and above,M," Rajkot, Gujarat",Retired,April,2024,Q2
"Awesome watch from Apple and totally worth it. The touch response is excellent with lot of applications and accurate steps as well. The heart rate sensor, blood oxygen and ecg options work very well. The only drawback is the battery but on a moderate usage it gives one day back up.",Under 18,M," Bengaluru, Karnataka",Student,May,2021,Q2
Super Apple,45-54,M," Unjha, Gujarat",Working Professional,May,2020,Q2
APPLE IS ALWAYS GOOD NO DOUBT AND BEST❤️❤️❤️,35-44,M," Chakdaha, West Bengal",Freelancer,January,2023,Q1
"once you start using it, you can feel, no other watches has similar accuracy what apple delivers.",55 and above,M," Ghaziabad, Uttar Pradesh",Retired,September,2020,Q3
"I purchased the 45mm black model during the Black Friday sale at a significant discount. The display quality is really impressive. If anyone is thinking of buying it, please make sure you get it in discounted price otherwise go for watch 10.",Under 18,M,"  Pune, Maharashtra",Student,March,2023,Q1
WOW 😍 NO WORDS.,45-54,M," Vadodara, Gujarat",Working Professional,September,2024,Q3
"Bought this under sale, value for money as includes all the features.",45-54,M," Gurugram, Haryana",Working Professional,March,2023,Q1
"Awsome!
Perfectly pairing with my iphone 14
Everything is good but battery life is average",35-44,M," Ahmedabad, Gujarat",Freelancer,March,2021,Q1
Good,Under 18,F," Bhopal, Madhya Pradesh",Student,November,2022,Q4
AMAZING Product,55 and above,M," Raigarh, Chhattisgarh",Retired,March,2020,Q1
"Sharing review after 15 days. It is undoubtedly the best smart watch available on the market. The ui is butter smooth and within 15 days 2 OS updates have been installed. The activity tracking is absolute accurate. The main reason for getting this was the ECG and gesture control which works perfectly. The seamless connectivity with iPhone is another great feature. It is like having a mobile device on your wrist. The call clarity is beyond expectation. The battery generally lasts for 1.5 days ...
READ MORE",55 and above,M," Bengaluru, Karnataka",Retired,January,2020,Q1
Good,55 and above,M," Madurai, Tamil Nadu",Retired,May,2022,Q2
Battery goes down 3%/hr during the day and 1~1.5%during nights. Getting 30~36hrs backups.Not using maps and music on watch. Snoopy watch face is refreshing.,55 and above,M," Kolkata, West Bengal",Retired,September,2023,Q3
"What to say about apple products. Connects greatly with the iPhone, activity tracking, features, display are stunning",35-44,F," Vadodara, Gujarat",Homemaker,July,2021,Q3
Good product at a very reasonable price all thanks to flipkart,35-44,F," Rohtak, Haryana",Homemaker,September,2022,Q3
Loving,55 and above,F," Madurai, Tamil Nadu",Homemaker,October,2022,Q4
Excellent product with 5 stars.,18-24,M," Noida, Uttar Pradesh",Working Professional,October,2022,Q4
Awesome product,18-24,M," Kolkata, West Bengal",Freelancer,November,2024,Q4
Simply awesome. Must and reliable watch for those who want to track their daily activities.,35-44,M," Anand, Gujarat",Working Professional,December,2022,Q4
"Its good for daily use but u can also go with se 2 there is not much difference but its worth for me after all i got it for 31k
Battery backup is good last a day long",Under 18,M," Patna, Bihar",Student,July,2021,Q3
"Awesome watch at an awesome price, thanks to the seller,HydtelRETAILSsales for such great services ,and thanks to Flipkart. Highly recommended.",55 and above,M," Paschim Bardhaman, West Bengal ",Retired,January,2020,Q1
"Well for everything, nice very good design and smrt looking",25-34,M," Howrah, West Bengal",Working Professional,July,2022,Q3
"Value for Money 💰
Very much comfortable ⌚️
✨✨🔥🔥🔥💰💰",55 and above,F," Kalyan, Maharashtra",Homemaker,March,2023,Q1
Good product,45-54,M," Cooch Behar, West Bengal",Working Professional,July,2022,Q3
"Great watch !!

Go for it",55 and above,M," Ahmedabad, Gujarat",Retired,September,2022,Q3
Perfect,18-24,M," Aldona, Goa",Freelancer,September,2023,Q3
Good product and well packed 😍👌🏻everything is in good condition😍and this is my first apple watch❤️I just love the apple ecosystem,45-54,M," Kochi, Kerala",Working Professional,November,2020,Q4
"Masterpiece there,s a lot of features 😍😍
Only con in battery backup otherwise everything is cool go for it",45-54,M," Madhupur, Jharkhand",Freelancer,May,2020,Q2
😅😅 nothing much to say just enjoying apple ecosystem,35-44,M," Lucknow, Uttar Pradesh",Freelancer,December,2020,Q4
Good,45-54,M," Kalyan, Maharashtra",Freelancer,December,2021,Q4
"Good product, must try product. You must try as well.",Under 18,M," New Delhi, Delhi",Student,January,2023,Q1
"Awesome product from Apple❤️,,,Thank u flipkart for express delivery.",45-54,F," Sultanganj, Bihar",Homemaker,August,2024,Q3
excellent product...,55 and above,M," Bengaluru, Karnataka",Retired,July,2022,Q3
Loved it. Super quality,25-34,M," Bengaluru, Karnataka",Working Professional,November,2024,Q4
So many Features 😍,35-44,M," Barh, Bihar",Working Professional,August,2024,Q3
Great product. Love it. Use it daily to track my health goals.,Under 18,F," New Delhi, Delhi",Student,February,2023,Q1
"Pros
Tracking is good .

Cons
No sleep score
Battery backup is average",55 and above,M," Hyderabad, Telangana",Retired,March,2022,Q1
"Top notch
Apple at its best",55 and above,F," Nagpur, Maharashtra",Homemaker,December,2024,Q4
Good Product! Definitely worth it!,55 and above,M," New Delhi, Delhi",Retired,April,2024,Q2
Nice watch 👍🏻,18-24,M," Ghazipur, Uttar Pradesh",Freelancer,December,2023,Q4
"Better performance with high price tag
Works only with Apple ecosystem",55 and above,M," Lucknow, Uttar Pradesh",Retired,November,2020,Q4
Value for money,45-54,M," Visakhapatnam, Andhra Pradesh",Freelancer,October,2022,Q4
Very much satisfied purchase.,18-24,M," Keerikkad, Kerala",Working Professional,November,2021,Q4
"Watch is good, however battery drains very fast",18-24,M," Gurugram, Haryana",Working Professional,April,2024,Q2
 products are amazing!!!,45-54,M," Bhaderwah, Jammu and Kashmir",Working Professional,July,2020,Q3
Very nice product,45-54,M," New Delhi, Delhi",Freelancer,July,2020,Q3
Nice product,Under 18,M," Nanpara, Uttar Pradesh",Student,February,2022,Q1
"Pros -
- Range of Features
- Sync with iPhone
- Good Activity Features

Cons -
- Battery Lasts for 36 hours max
- Not so much value for money, can get in other smartwatchs too.",25-34,F,"  Pune, Maharashtra",Homemaker,February,2024,Q1
"I loved this watch tracking performance, and got it for 26k is something good steal like a premium product like apple",18-24,M," Chennai, Tamil Nadu",Working Professional,October,2022,Q4
"Value for money because brought in the sale. battery life should be at least 2 days, it's strictly a day right now. but everything else is good, especially all the metrics that it tracks",35-44,M," Mumbai, Maharashtra",Freelancer,January,2023,Q1
Nice design with awesome features..Loving it😍😍,35-44,M," Chapra, Bihar",Freelancer,March,2024,Q1
"Nice watch, I have never experienced this type of watch. Display is good, strap quality is also good excellent performance. Over all it was a great product from Apple",55 and above,M," Markapur, Andhra Pradesh",Retired,March,2024,Q1
Value for 💰,35-44,F,"  Pune, Maharashtra",Homemaker,March,2022,Q1
"This device is very purposefully developed and I have a purpose to fulfill. I always wanted to have a device that will let me connected to today's world but at the same time I don't want to get distracted by unnecessary things. And in my opinion, there is no better device than this for this purpose. My screen is dramatically reduced by 35% in just 7days. I hope it will help me a lot in the coming days.",18-24,F," Rampurhat, West Bengal",Working Professional,January,2024,Q1
"Watch with Class.
Baap of all Smartwatch.",Under 18,M," Moga, Punjab",Student,December,2023,Q4
This watch is value for money. Flipkart has given a very good offer. Thank you Filpkart,35-44,M," Davanagere, Karnataka",Working Professional,May,2020,Q2
best in class ultimate go for cellular always,25-34,M," Nawanshahr, Punjab",Working Professional,September,2022,Q3
Superb Product,45-54,M," Jewar, Uttar Pradesh",Working Professional,January,2020,Q1
Very good,Under 18,M," Munnar, Kerala",Student,June,2023,Q2
Amazing watch 😍,35-44,F," Jaunpur, Uttar Pradesh",Homemaker,January,2020,Q1
Good product and feels really premium. Got it on offer at 30k which is also reasonable for Apple Watch. Color looks great.,45-54,M," Bhubaneswar, Odisha",Freelancer,October,2023,Q4
Just apple thing..!,45-54,M," Ghaziabad, Uttar Pradesh",Working Professional,November,2022,Q4
"Undoubtedly Great product at this price, cellular calling works fine, but battery capacity needs to be improved significantly.",45-54,M," Kolkata, West Bengal",Working Professional,September,2021,Q3
Good,Under 18,M," Siddipet, Telangana",Student,March,2022,Q1
Extend ur budget and only buy the cellular version,Under 18,M," Nagpur, Maharashtra",Student,August,2021,Q3
Apple never disappoint us its really good and sensors are really good work,55 and above,M," Begampur, Uttar Pradesh",Retired,July,2020,Q3
"When it originally came, it was not turned on; however, after seeing some hacks try to connect in charger with laptop, it was turned on. Overall, a lovely watch at a decent price on Flipkart. I purchased it in the shade red and am pleased with my purchase 😍😍",55 and above,M," Bengaluru, Karnataka",Retired,May,2022,Q2
"Great product, had doubts about seller and Flipkart. Got genuine product happy about it!",45-54,M," Jaipur, Rajasthan",Working Professional,September,2024,Q3
excellent watch. I have using series 5 gps+cellular Watch. But now upgraded to series 8 gps+cellular and it is worth of upgrading. Temperature and blood oxygen features with big screen makes it different than series 5.,Under 18,M," Satara, Maharashtra",Student,July,2022,Q3
"If your wrist is small, 41mm is perfect, bigger one looks like a phone attached to your wrist, got it at a very good discount, almost half get price. In that sense, best value for money. Battery can be improved but after changing some settings in Background App refresh after which it lasts for more than a day. Overall very happy with the product for the price I got.",35-44,F," Mangaluru, Karnataka",Homemaker,December,2020,Q4
"Well its a good product , but dont But with NO COST EMI you will have to pay extra 5k as GST , its a hidden charge . But coming to the product , Buy a cellular variant other variant isnt practical , design and features are good , charging speed is decent , it almost lasts a day and I just charge it while I have shower in the morning and during breakfast and dinner , so no battery issue !",35-44,M," Hyderabad, Telangana",Freelancer,November,2023,Q4
Best watch ..,35-44,M," Sonipat, Haryana",Freelancer,April,2023,Q2
Superbb!,55 and above,F," Nanded Waghala, Maharashtra",Retired,August,2020,Q3
Excellent watch no need to carry the phone with ESIM .,18-24,M," Bengaluru, Karnataka ",Working Professional,January,2024,Q1
Got the genuine product and quick delievery by Flipkart,55 and above,M," Garhwa, Jharkhand",Retired,July,2021,Q3
"41mm GPS+cellular got it on cheapest offer 29999/. Was Quite doubtful on product quality
but received an original and genuine product.So I am thankful to Flipkart. Product works perfectly easy to connect eSIM.
41mm size Appearance is nice on wrist and pocket friendly also.",18-24,M," Gurgaon, Haryana",Freelancer,March,2023,Q1
Great product.,18-24,M," Kanpur, Uttar Pradesh",Freelancer,March,2021,Q1
"Quite a doubt about the seller ,but I received original product , for big hands go for 45mm",Under 18,M," Thiruvarur, Tamil Nadu",Student,July,2024,Q3
Good. Will give a long time review after few months!,25-34,M," Bengaluru, Karnataka ",Working Professional,February,2023,Q1
"One of my best purchases from Flipkart. Bought this after a lot of comparisons and reading loads of reviews.
Perfect for fitness freaks out there.
I am use the watch for the following:
daily workout
Sleep tracking
Calories burned everyday
Alarms
Reminders
Music controls
Camera remote
Answer calls while driving
Bought extra straps combo online
The only con about the Apple iWatch is the battery back up, if you track your daily workouts and may be answer a few calls based on your situation t...
READ MORE",35-44,M,"  Pune, Maharashtra",Working Professional,September,2024,Q3
"Watch is good at this price point.
Cellular is worth,I do not carry my phone in gym during running,cycling or any other activity or while going to mall.
Battery life is very bad but it get charged very fast as well.",45-54,M," Amritsar, Punjab",Freelancer,November,2023,Q4
Almost good but if you are men so must be buy 44mm size.,55 and above,M," Bharuch, Gujarat",Retired,October,2020,Q4
We love it,18-24,F," Tanuku, Andhra Pradesh",Working Professional,November,2024,Q4
I received Genuine product at very great price.,Under 18,M," Thane, Maharashtra",Student,September,2022,Q3
"Excellent as always Sim mirroring is the best feature call and heart rate feature workout is great most of the apps are on the watch
Love it got it as a deal",25-34,M," Aligarh, Uttar Pradesh",Freelancer,September,2023,Q3
I have dark skintone still it suits me..Thank you apple and flipkart☺️,Under 18,F," Tirupati,Andhra Pradesh",Student,November,2024,Q4
Good product for gym fitness activities,18-24,M," Bhopal, Madhya Pradesh",Freelancer,March,2020,Q1
value for money,45-54,F," Deoghar, Jharkhand",Homemaker,October,2023,Q4
Awesome,18-24,F," Kozhikode, Kerala ",Working Professional,June,2022,Q2
Excellent Watch.. thanks flipkart for this great price during this season,55 and above,M," Mira Bhayandar, Maharashtra ",Retired,November,2022,Q4
Excellent watch from Apple 👍,35-44,F," Sandila, Uttar Pradesh",Homemaker,August,2023,Q3
"Good experience with my first Apple watch. Display is amazing!!!
Always on Display is fabulous feature. Dynamic watch faces are amazing.

Love it Apple watch🎉",55 and above,M," Gandhinagar, Gujarat",Retired,November,2023,Q4
Apple never disappoints.,55 and above,F," Farrukhabad, Uttar Pradesh",Homemaker,May,2020,Q2
Loved it,Under 18,F," Hyderabad, Telangana",Student,June,2024,Q2
Amazing watch😎,55 and above,F," Nagrota, Jammu and Kashmir",Homemaker,November,2020,Q4
Cool watch nd Osm features,55 and above,F," Gurugram, Haryana",Homemaker,April,2024,Q2
"Based on the review comments about the seller, got worried after placing the. Order Thanks to Flipkart.. watch was original and delivered on time as mentioned",18-24,M," Bengaluru, Karnataka",Working Professional,January,2024,Q1
"Nothing like Apple, always the best. It just adds to your personality.",Under 18,M," Sundargarh District, Odisha",Freelancer,March,2021,Q1
"Great to be at apple eco system
Value for money",25-34,M," Howrah, West Bengal",Working Professional,May,2022,Q2
Battery was main con in the 8 series compared to 7 series,18-24,M," Kakinada, Andhra Pradesh",Freelancer,June,2022,Q2
GOOD AND SUPER PRODUCT👍🏽👍🏽👍🏽👍🏽👍🏽,55 and above,M," Trivandrum, Kerala",Retired,February,2020,Q1
Perfect watch. Thanks,25-34,F,"  Pune, Maharashtra",Homemaker,July,2020,Q3
I would love to recommend this amazing watch,35-44,M," Gwalior, Madhya Pradesh",Freelancer,October,2023,Q4
14hr battery max other then that everything works smooth n look sexy,18-24,M," Bengaluru, Karnataka",Working Professional,June,2023,Q2
Awesome watch,25-34,M," Indore, Madhya Pradesh",Working Professional,July,2020,Q3
"Excellent and Exceptional.
Everything is like magic and working is also magical like finger tapping sensing is mind blowing.
Only Tempature monitoring software is missing rest everything is better than best.",45-54,M," Sagar, Madhya Pradesh ",Working Professional,November,2021,Q4
"41 mm GPS+Cellular two days of use was fantastic.
I like this product ☺️
It has a very beautiful design. Perfectly fit in my wrist. The delivery guy was very kind, he waited for me for 5 mins until it charged so that I could test its functionality for the first time, as it does not have a return policy.",45-54,M," Kokrajhar, Assam",Freelancer,December,2024,Q4
"Excellent product and 1000 times better than cheap Indian watches like amazefit, boat etc.",45-54,M," Navi Mumbai, Maharashtra",Freelancer,October,2022,Q4
Nice product,18-24,M," Isnapur, Telangana",Working Professional,July,2021,Q3
Impressively quick delivery. Amazing price.,18-24,M," Bengaluru, Karnataka",Working Professional,March,2022,Q1
only jio E-sim works for cellular version,25-34,M," Bilaspur, Chhattisgarh ",Working Professional,June,2020,Q2
"I have not activated the watch but when I checked the coverage it showed me 25th October 2024.
#Flipkart.",35-44,M," Valsad, Gujarat",Working Professional,December,2020,Q4
Good,35-44,F," Srikakulam, Andhra Pradesh",Homemaker,February,2023,Q1
Apple Watch features worked accurate nice design n so soft strips looking beautiful Im so happy,18-24,M," Rupahi Town, Assam",Freelancer,December,2022,Q4
Not switching on,35-44,M," Ranga Reddy, Telangana",Freelancer,March,2021,Q1
Problem is with the battery. The rest all awesome.,45-54,M," Bengaluru, Karnataka",Freelancer,May,2022,Q2
Happy to buy.. only problem is battery. However a lot of option available on watch..,25-34,M," Bengaluru, Karnataka",Working Professional,April,2020,Q2
"Genuine and original product. Though series 10 is out, series 8 is still a very good option at this price.",25-34,M," Hyderabad, Telangana",Working Professional,December,2020,Q4
Good,Under 18,F," Hyderabad, Telangana",Student,July,2021,Q3
"Got it for 30k in a sale. No not the Big billion day sale. It was summer sale or something. Mine is a cellular variant.Tbh love it more than iPhone. Sleep tracking, workout tracking, podcasts, music, phone and so much more. I use watch throughout day and phone only after getting back at night. Anybody who wants to reduce screen time and make a switch to healthier lifestyle, this is the product for you. I use low power mode during day and not at night to track heart rate during sleep. Battery ...
READ MORE",55 and above,M,"  Pune, Maharashtra",Retired,August,2021,Q3
Golden purchase,Under 18,M," Nellore, Andhra Pradesh",Student,December,2020,Q4
Even not started very bad experince they even not register complaint worst thing,55 and above,M," Aurangabad, Maharashtra",Retired,January,2022,Q1
Excellent product..Lots of features and very comfortable to wear this.,18-24,M," Azamgarh, Uttar Pradesh",Freelancer,December,2020,Q4
"Power button is stuck, does not function. Build quality is not that good.",55 and above,F," Kelambakkam, Tamil Nadu",Retired,April,2024,Q2
Exclusive model,Under 18,M," Jangareddigudem, Andhra Pradesh",Student,March,2024,Q1
Nice watch,25-34,F," Gadhinglaj, Maharashtra",Homemaker,November,2020,Q4
STILL WATCH IS NOT SWITCHING ON,35-44,M," Greater Noida, Uttar Pradesh",Working Professional,December,2023,Q4
worst product of apple need to charge 2 times in a day,35-44,F," New Delhi, Delhi",Homemaker,April,2022,Q2
Value for money,35-44,M," Tindivanam, Tamil Nadu",Freelancer,October,2022,Q4
Thankyou,18-24,M," Mumbai, Maharashtra",Working Professional,June,2023,Q2
"It took 5 hours for me to set up the I watch
The battery was completely dead took about 2.5hours to charge and iOS was outdated which took another 2-3hours to complete the software update. Terrible experience",Under 18,M," Secunderabad, Telangana",Student,October,2021,Q4
The watch is amazing but the battery drains faster than expected.,25-34,M," Hyderabad, Telangana",Freelancer,April,2024,Q2
ECG not working at all,55 and above,M," Bengaluru, Karnataka",Retired,April,2023,Q2
