Reviews for OnePlus Watch,Age,Gender,Location,        Occupation,Month,Year,Quarter
"What a Product, Very Good For This Price.",55 and above,M," Ghatshila, Jharkhand",Retired,November,2022,Q4
"When OnePlus advertises that watch 2 comes with SPO2, it's pretty disappointing that there is no widget in the watch for SPO2 tracking. There is no option to download it either. Emailing OnePlus is a futile exercise from past experience, but I have still done it. Hope it gets fixed once a new software update is released",Under 18,M," Bengaluru, Karnataka",Student,March,2024,Q1
"Excellent battery life. Workout tracking has improved with Strava Integration. Fast charging, wear OS apps and fluid display make it worth buying. Support for other third party apps like relive is still required. Option to download gpx file of workouts is required.",25-34,M," Hyderabad, Telangana",Working Professional,April,2021,Q2
"True comeback from oneplus. Comes with a great battery backup. Wear-OS works as expected. Needs a little fine Tuni, Andhra Pradeshng software wise. Needs better calibration of step tracking. Overall satisfied with the product.",35-44,M," Kolkata, West Bengal",Working Professional,May,2022,Q2
This is my first smartwatch,55 and above,M," Chennai, Tamil Nadu",Retired,March,2023,Q1
Premium build quality and very late weight.,55 and above,M," Mandi District, Himachal Pradesh",Retired,January,2024,Q1
"I have purchased watch 2r and it is surely the best wear os smartwatch. Everything here is practical. The display, ui is buttery smooth. Samsung may offer lot of features, but all those features are useless when you have to charge the watch everyday. With this watch it's like charge it once and forget it for 3 days. That's one less device to charge. Plus ecg, bp etc are gimmicky. In case of any serious condition ofcourse you will rush to a hospital to get real ecg. The most important differen...
READ MORE",25-34,F," Kolkata, West Bengal",Homemaker,October,2023,Q4
"Prompt delivery
Liking the smoothness
Battery claims are high which needs to be tested.",Under 18,M," Bengaluru, Karnataka",Student,March,2023,Q1
"Quite responsive, battery life need to check.",45-54,M," Bengaluru, Karnataka",Working Professional,September,2022,Q3
All watch good but screen protection some not good,45-54,M," Pamidi, Andhra Pradesh",Freelancer,October,2024,Q4
The Amoled Display is quite good with good brightness. No doubt a value for money purchase 👍,18-24,M," Ranaghat, West Bengal",Freelancer,July,2020,Q3
"Excellent watch.
Battery back up also good with all the other necessary app.
Value for money.",55 and above,M," Badkulla, West Bengal",Retired,September,2024,Q3
"Superb
Worth varma worth",18-24,M," Rajahmundry, Andhra Pradesh",Working Professional,August,2022,Q3
Good thank you flipkart 👍,45-54,M," Kral Pora Kupwara District, Jammu and Kashmir",Working Professional,October,2022,Q4
All specs are top notch screen 5star specifications are too good with wear os and dual os system ⌚,55 and above,M," Hyderabad, Telangana",Retired,May,2024,Q2
"The watch is a good one, the display is excellent. If someone just sees the display they will think it is a much more expensive watch. The battery life is decent and comes for 3-4 days. Have swum with the watch in a pool and there was no problem. Sleep tracking is a feature I could actually use in this watch as it has long enough battery life. On my two apple watches which I have used since 2016 till 2024, I would have done sleep tracking maybe two nights, rest of the 3000 nights, I had to al...
READ MORE",Under 18,F," Chennai, Tamil Nadu",Student,September,2022,Q3
Nice watch for day to day uses. Looks very nice. Love it.,25-34,M," Amarshi Kasba, West Bengal",Freelancer,October,2023,Q4
Very light and very beautiful packed with features,55 and above,F," New Delhi, Delhi",Working Professional,November,2020,Q4
"Loved it for the Badminton analysis. Decent features for the price point. Battery life is average from my experience. Display is very good.
Overall a good choice.",25-34,M," Coimbatore, Tamil Nadu",Freelancer,January,2022,Q1
Always good 👍,18-24,F," Peranamallur, Tamil Nadu",Freelancer,June,2024,Q2
Value for money watch,35-44,M," Nipani, Karnataka",Freelancer,December,2021,Q4
Good,18-24,M," Kolkata, West Bengal",Working Professional,May,2021,Q2
"Great watch, light weight and comfortable..battery life is yet to be tested but so far so good.display is crisp and responsive..touch is smooth..overall great value for money",45-54,M,"  Pune, Maharashtra",Freelancer,May,2024,Q2
"1. Display 2. Design. 3. Accurate GPc. 4 connectivity. 5. Close to Accurate sleep monitoring

Cons: Step count is horribly wrong and cannot be relied on for the accuracy. I am Editing after 25 days of use. 1. Gps sensors are not accurate. 2. Major issues in syncing with o health app. 3. When I took the watch to the service center, the service center did not even bother to check for the problem. Instead, instead he advised to download all the app in Google play from my phone. Wast...
READ MORE",18-24,M," Bengaluru, Karnataka",Working Professional,November,2021,Q4
Nic one,35-44,M," Patna, Bihar",Working Professional,January,2024,Q1
EVERYTHING IS GOOD BUT THE STEP CAPTURE THE TRAVEL FROM BUS AND CAB STEP CALCULATION IS NOT UP TO MARK,25-34,M," Kolkata, West Bengal",Working Professional,August,2023,Q3
"There is no Google wallet payment Lunches india and Battery Backup was too short Time, so please don't Buy These Product and waste of your Money",45-54,M," Proddatur, Andhra Pradesh",Freelancer,June,2022,Q2
"All good superb watch runs with 02 os , pretty sharp in refresh nd task as compared to other watches,
It's a 44 mm watch so it's good for those who have big wrist.",35-44,M," Mumbai, Maharashtra",Freelancer,October,2023,Q4
Beautiful,25-34,M," Bhubaneswar, Odisha",Working Professional,January,2023,Q1
Superb product from OnePlus,45-54,M," Koratty, Kerala",Working Professional,September,2022,Q3
Value for money good battery backup,55 and above,M," Purnia, Bihar",Retired,July,2020,Q3
This is simply WOW,18-24,M," Sri Potti Sriramulu Nellore, Andhra Pradesh",Freelancer,September,2020,Q3
Product is not upto the mark at this price range. Battery draining quickly. Software issues as well restarting to restore is the only way.,25-34,M," New Delhi, Delhi",Working Professional,June,2020,Q2
Does not connect to iphone via Bluetooth or WiFi. No notifications on watch.,25-34,M," Gurugram, Haryana",Working Professional,March,2023,Q1
Good,25-34,M," Mahesana, Gujarat ",Working Professional,April,2021,Q2
Excellent watch and good looking ..great value for money .thanks flipkart .,55 and above,M," Krishna, Andhra Pradesh",Retired,January,2023,Q1
Very good Google Wear OS 4 watch in the price range. Perfect display size and light weight. The display brightness is also very good. Very smooth operation. Around 4 to 5 days of battery life.,45-54,M," Ernakulam, Kerala",Working Professional,July,2024,Q3
"Good one
Worthy for the pr",25-34,M," Markapur, Andhra Pradesh",Working Professional,February,2022,Q1
It's nice watch with decent feature.,45-54,F,"  Pune, Maharashtra",Homemaker,November,2023,Q4
I hate product,35-44,M,"Bengaluru, Karnataka",Freelancer,December,2022,Q4
Price not okay,55 and above,M,"Chennai, Tamil Nadu",Retired,June,2020,Q2
Product not as per specifications as mentioned in the website and by the seller,Under 18,M,"Noida, Uttar Pradesh",Student,July,2024,Q3
"Call function Is not available.
Only call notification is Available.",45-54,M,"Chandi Mandir, Haryana",Working Professional,August,2024,Q3
Don't ,Under 18,M,"Mumbai, Maharashtra",Student,October,2024,Q4
"I don’t personally use wearable health devices, but I have extensive knowledge about them. They are valuable tools for tracking fitness, monitoring vital signs like heart rate and sleep patterns, and even detecting irregularities such as arrhythmias",18-24,M,"Mumbai, Maharashtra ",Student,August,2022,Q3
Helpful for tracking steps and quality of sleep,18-24,M,"Mumbai, Maharashtra",Student,September,2020,Q3
"Well 



",35-44,M,"Aurangabad, Maharashtra ",Working Professional,April,2023,Q2
It's good.,55 and above,M,"Aurangabad, Maharashtra ",Working Professional,March,2020,Q1
