Reviews for Mi SmartBand,Age,Gender,Location,        Occupation,Month,Year,Quarter
Low accuracy,25-34,M," Bulandshahr, Uttar Pradesh ",Working Professional,February,2023,Q1
Its outdated but i purchased just because of its simplicity and efficiency. This one is still perfect doing its job nicely 👌,35-44,M," Panihati, West Bengal",Freelancer,May,2023,Q2
mind blow. i love this product 😘😘😘 good looking best battery backup,35-44,F," Saharanpur, Uttar Pradesh",Homemaker,October,2021,Q4
I got the the Mi band pro for some reason and it's bestt loved itt 💯💞,25-34,F," Thane, Maharashtra",Homemaker,February,2024,Q1
It's very good product 🥰,25-34,M," Bhubaneswar, Odisha",Freelancer,March,2020,Q1
It's good,25-34,F," Paschim Bardhaman, West Bengal ",Homemaker,July,2022,Q3
Best watch and nice tracking system,35-44,M," New Delhi, Delhi",Working Professional,May,2022,Q2
Nice,18-24,M," Malerkotla, Punjab ",Freelancer,December,2021,Q4
Nice product,Under 18,M," Vaikom, Kerala",Student,December,2021,Q4
Nice product😂,Under 18,F," Kozhikode, Kerala",Student,February,2024,Q1
My favourite brand and my favourite band is now in my hands 😍😍😍,Under 18,M," Sonatikiri, West Bengal",Student,September,2022,Q3
"To be honest, this is great go through this valuable for money❤️🔥",35-44,M," Kalyan, Maharashtra",Freelancer,July,2024,Q3
Very nice product,55 and above,F," Muruganpalayam, Tamil Nadu",Homemaker,January,2024,Q1
Nice,45-54,M," Pallikonda, Tamil Nadu",Freelancer,August,2024,Q3
Nice 🙂,35-44,M," Thiruvarur, Tamil Nadu ",Freelancer,July,2023,Q3
Very good quality.,45-54,F," Uttarpara Kotrung, West Bengal",Homemaker,November,2022,Q4
Nice watch must buy it good battery life also,55 and above,M," Greater Noida, Uttar Pradesh",Retired,May,2020,Q2
Good,45-54,M," Ysr District, Andhra Pradesh",Freelancer,May,2023,Q2
This thing is very good and also very cheap in price I would tell everyone to buy mi smartband 5. Its battery backup is very good.,55 and above,M," Suri, West Bengal",Retired,May,2020,Q2
Super,18-24,M," Tenali, Andhra Pradesh",Working Professional,November,2022,Q4
"9ICE.. looking, Band So__Comfortable",45-54,M," Bengaluru, Karnataka",Freelancer,September,2023,Q3
Value for money...,55 and above,M," Lucknow, Uttar Pradesh",Retired,December,2024,Q4
Good product,45-54,F," Udupi, Karnataka",Homemaker,July,2020,Q3
Lovely amoled screen,45-54,M," Jhansi, Uttar Pradesh",Freelancer,March,2020,Q1
Nice,55 and above,M," Bengaluru, Karnataka",Retired,April,2024,Q2
Best band forever🔥🔥😍😍,18-24,M," Greater Noida, Uttar Pradesh",Working Professional,May,2024,Q2
Is good,25-34,M," Uluberia, West Bengal ",Freelancer,October,2023,Q4
Excellent 👌,45-54,M," Bengaluru, Karnataka",Working Professional,February,2024,Q1
It was really good,Under 18,M," Koduvally, Kerala",Student,May,2023,Q2
Nice hai,45-54,F," Gwalior, Madhya Pradesh",Freelancer,June,2021,Q2
Best products..,55 and above,M," Baripada, Odisha",Retired,March,2020,Q1
This MI Band is fabulous & Amaging . I Like it.,45-54,M," Alwar, Rajasthan",Freelancer,July,2023,Q3
Worth it. Sleep tracking is almost accurate. Display resolution is quite good. Very comfortable. Stress tracking is amazing.,55 and above,M," Thiruvananthapuram, Kerala",Retired,March,2021,Q1
Really very nice product thank you Flipkart,18-24,F," Morbi, Gujarat",Working Professional,April,2024,Q2
Nice Band,Under 18,M," Latur, Maharashtra",Student,December,2020,Q4
Nice,35-44,F," Malkangiri District, Odisha",Homemaker,June,2024,Q2
Good product,55 and above,M," Unnao, Uttar Pradesh ",Retired,July,2023,Q3
"Don't Buy This Product From Any Centers,or Any website Because I have used this take product was reused.Any i put complain on both Flipkart and mi Service Center Flipkart Say Me That I Can't Help You Just Saying That You Can Go To Service Center From 10 Day It's Not Company Seal Also So 7 Day Retan , Exchange And Refund Policy Also Expired 😡😡😡In Service Center After Requesting Than Take My Product And Give Me Aftar 13 Day Different Band Pro I Was So Sad 😞So Don't Take This Product And If...
READ MORE",45-54,M," Kurnool, Andhra Pradesh",Working Professional,March,2024,Q1
"Battery drains too fast. After full charge, works for hardly 2 days on idle mode, if connected to Bluetooth, battery drains in just 1 day. Bad battery backup. Guys, don't buy, go for Mi Smart Band 4. I used band 4. Band 4 is good one. Battery last for 7 to 8 days after one full charge.",55 and above,M," Kelambakkam, Tamil Nadu",Retired,December,2024,Q4
this is an Insane product i loved it but delivery is late over all its good,Under 18,M," Bengaluru, Karnataka",Student,February,2022,Q1
"Good product, i loved it",Under 18,F," Ernakulam, Kerala",Student,March,2024,Q1
"Nice, degine r like but bettery life short",18-24,F," Barpeta, Assam",Working Professional,May,2023,Q2
Very poor prod,35-44,M," Samba, Gujarat",Working Professional,August,2022,Q3
Good,Under 18,F," Mysuru, Karnataka",Student,March,2021,Q1
Not work,35-44,F," New Delhi, Delhi",Working Professional,June,2020,Q2
worst product,55 and above,F," Guntur, Andhra Pradesh",Homemaker,April,2023,Q2
Good product,18-24,M," Rampur, Uttar Pradesh  ",Freelancer,October,2022,Q4
Product is good and very useful,35-44,F," Sirsa, Haryana ",Homemaker,March,2022,Q1
Great product I like this,Under 18,F," Sirsa, Haryana ",Student,January,2021,Q1
Amazing product really awesome 😎😎👍👍👍🤩🤩,25-34,M," Sirsa, Haryana ",Freelancer,May,2020,Q2
It is very very nice band and value of mo,55 and above,M," Barnala District, Punjab",Retired,June,2020,Q2
"Display came off automatically after 2/3 months of buying it, what should I do",35-44,F," Kampur Town, Assam",Working Professional,July,2023,Q3
A great product for tracking.,Under 18,M," Bhopal, Madhya Pradesh",Student,June,2021,Q2
A full battery can last only 3 days. Don't buy it...,18-24,F," Kadapa, Andhra Pradesh",Working Professional,May,2021,Q2
Worst product not connecting to mobile,Under 18,M," Hyderabad, Telangana",Student,May,2024,Q2
Perfect fit .. amazing features over all good.,55 and above,F," Madurai, Tamil Nadu",Homemaker,February,2024,Q1
Requires daily recharging. Button is also not responsive.,25-34,F," Mumbai, Maharashtra",Freelancer,October,2023,Q4
Good,45-54,F," Bengaluru, Karnataka",Homemaker,August,2023,Q3
Wonderful product superb,35-44,M," Sirsa, Haryana",Freelancer,February,2022,Q1
It is very poor battery and it is high cost,25-34,M," Ramagundam, Telangana",Freelancer,November,2022,Q4
Good product we must by three more experience is so best,18-24,F," Sirsa, Haryana",Working Professional,May,2022,Q2
Battery backup so awesome 😎💯💯💯,Under 18,F," Sirsa, Haryana",Student,September,2020,Q3
Wonderful product 👏👏👏,18-24,F," Sirsa, Haryana",Working Professional,October,2020,Q4
Very bad battery not even one day use 😔 I didn't expect this,18-24,F," Azhagiapandipuram, Tamil Nadu",Working Professional,August,2020,Q3
bad its not good i am not abal to count to thepohen,45-54,F," Bengaluru, Karnataka ",Homemaker,November,2020,Q4
Only digital wrist watch,45-54,M," Charkhi Dadri, Haryana",Working Professional,June,2023,Q2
Nice,25-34,M," Chennai, Tamil Nadu",Freelancer,October,2024,Q4
Very nice product 🥰.,45-54,M," Coimbatore, Tamil Nadu",Freelancer,December,2021,Q4
Thanks for Flipkart 🙏🙏🙏❤️,18-24,F," Hosur, Tamil Nadu",Working Professional,May,2020,Q2
"I've been using flipkart for 5 years now, and this is literally the worst purchase till date. It's not even worth spending such amount on a product like this. First of all, this band has the worst battery backup I've ever seen in any electronic gadget, like 100% drains off in what, 2 days. Secondly, heart rate monitoring zero. Irrespective if I'm panting or breathing heavily like crazy my heart rate would always be 85-90 (relaxed). Activity tracking isn't any appreciable too, low quality hear...
READ MORE",35-44,M," Surat, Gujarat",Freelancer,April,2020,Q2
Battery 🔋 drain like anything,45-54,M," Hyderabad, Telangana",Freelancer,March,2022,Q1
"Design wise it's good. Every other aspects of this band are also good. Only thing which is a deal breaker is it's battery life. It's horrible. Mine lasted for just 3 days after full charge and i didn't even turned on features like continuous heart rate/ SP02 / sleep breathing quality. Company claims 2 week battery life, but in my case it didn't even lasted for more than 3 days.",Under 18,M," Mohali, Punjab",Student,February,2024,Q1
Wow,18-24,M," Jalgaon, Maharashtra",Working Professional,July,2021,Q3
Good but battery issues,45-54,M," Hardoi, Uttar Pradesh",Freelancer,April,2020,Q2
Supper suppr,35-44,M," Coimbatore, Tamil Nadu",Working Professional,February,2022,Q1
This was perfect mannnnn awesome,Under 18,M," Ahmed Nagar, Maharashtra",Student,March,2020,Q1
Super,Under 18,F," Dindigul, Tamil Nadu",Student,April,2023,Q2
This smart band quality is very good. Please teach this smart band and after use.,55 and above,M," Kolkata, West Bengal",Retired,December,2024,Q4
Don't buy this seller 3rd class product please don't buy waste money don't buy,Under 18,F," Kota, Rajasthan",Student,March,2021,Q1
"Battery backup normal use 4-5 Days, Heavy Use 3 Days Good Product But Overpriced.",25-34,M," New Delhi, Delhi",Working Professional,May,2023,Q2
Nice product,25-34,F," Sirsa, Haryana",Homemaker,March,2023,Q1
Battery backup is too much poor.it. screen light is not working. No light on screen,Under 18,F," Kolkata, West Bengal",Student,April,2024,Q2
"Very disgusting product I ever used, whenever I woke up there are already few steps shown to pedometer. Battary back up is not more then 1 and half day. Not comfortable to wear all the day.",55 and above,M," Almora, Uttarakhand",Retired,February,2020,Q1
Good,25-34,M," Chennai, Tamil Nadu",Freelancer,December,2021,Q4
Very good product,Under 18,M," Samba, Gujarat ",Student,August,2022,Q3
"It looks good, the packaging is good. Thanks for the fast delivery. As of now I cannot tell about the product since I have used it yet. I hope it works perfectly as it looks genuine",45-54,F," New Delhi, Delhi",Homemaker,August,2023,Q3
Nice,25-34,F," New Delhi, Delhi",Homemaker,May,2024,Q2
Good,45-54,M," Hyderabad, Telangana",Freelancer,March,2022,Q1
"The screen peeled off within 4 months of careful use. I am very disappointed. For a brand like Mi, this is utterly disappointing.
I will have to hunt for a service centre now perhaps. Or refer to the policy, for next steps.",25-34,M," Mumbai, Maharashtra",Freelancer,October,2024,Q4
batter,55 and above,M," Surat, Gujarat",Retired,November,2021,Q4
Battery backup is very poor battery low within two hours,Under 18,M," Kolkata, West Bengal",Student,April,2022,Q2
"After 2 month use half screen not working
Touch to wakeup not working get stucked many times.",18-24,F," Indore, Madhya Pradesh",Working Professional,June,2023,Q2
Wrost watch mi band never buy .....,35-44,F," Lucknow, Uttar Pradesh",Freelancer,January,2021,Q1
Nice,45-54,M," Surat, Gujarat",Working Professional,February,2023,Q1
Worst battery backup,Under 18,F," Bengaluru, Karnataka",Student,October,2020,Q4
product got non working within 2 months,45-54,F," Bengaluru, Karnataka",Homemaker,November,2020,Q4
Received this product i charged and used it first time it worked but it is not Taking charging second time,55 and above,F," Sonipat, Haryana",Homemaker,December,2021,Q4
"Cannot open screen issue last 1 month.. mi smart band 6
It is itself mi band 6 issue",35-44,F," Mumbai, Maharashtra",Homemaker,December,2021,Q4
"Worst battery, needs to charge daily if 24 hour tracking is enabled. Its always inaccurate in measuring all health suite. The worst one is step counter. It feels more lick a gimmick which everyone should avoid wasting money on.",35-44,M," Mumbai, Maharashtra",Working Professional,June,2021,Q2
Awesome!!!,55 and above,M," Malegaon, Maharashtra",Retired,August,2020,Q3
"Beautiful smart band , battery backup nice value of money easy connect with smartphone i loved this product.",18-24,M," Sirsa, Haryana",Freelancer,January,2024,Q1
"Stopped working after 2 days and there is no option of return also.
Its probably fake or tampered one being sold on flipkart.
I had the same band bought from europe and it us working totalky fine after 3 years also.",18-24,F," Hamirpur, Himachal Pradesh ",Working Professional,March,2023,Q1
Worth to buy,25-34,M," Sholingur, Tamil Nadu",Freelancer,December,2023,Q4
"Not working after 3 days
Battery is so poor than band 5
I was fully satisfied from band 5
Want to upgrade to band 6 but it was wrong choice where every company giving us smart watch with calling feature.
So Disappointed",35-44,M," Kolkata, West Bengal",Working Professional,December,2023,Q4
Light and Efficient,25-34,F," Mumbai, Maharashtra",Retired,July,2020,Q3
Worst display not working...no return option available,18-24,M," Hyderabad, Telangana",Freelancer,October,2021,Q4
Waste of money,25-34,M," Bengaluru, Karnataka",Working Professional,October,2022,Q4
The touch screen stopped working after a week,Under 18,M," Bengaluru, Karnataka",Student,February,2023,Q1
Good,18-24,M," Hisar, Haryana",Freelancer,January,2023,Q1
Waste product charger not working after one and half month.. please don't buy,35-44,M," Kolar, Karnataka",Freelancer,February,2021,Q1
I don't think this is a good product for this price. The battery doesn't last for more than 2 days. Not able to return this item too.,18-24,M," Bengaluru, Karnataka",Working Professional,June,2024,Q2
Bad product,35-44,M," Deoria, Uttar Pradesh ",Working Professional,October,2022,Q4
Very bad 🙏🙏🙏,35-44,M," Pinjore, Haryana",Freelancer,December,2024,Q4
Worsted,45-54,M," Hyderabad, Telangana",Working Professional,January,2020,Q1
Very bad band this band screen off after 16 days,25-34,F," Jaipur, Rajasthan",Homemaker,May,2021,Q2
Worst worst product...don't buy..,25-34,F," Chengalpattu, Tamil Nadu",Freelancer,December,2020,Q4
Battery capacity is very bad don't long last more than 2 days,Under 18,F," Agra, Uttar Pradesh",Student,January,2024,Q1
Worst producr dosent event start,35-44,M," Berhampur, Odisha",Freelancer,March,2021,Q1
Waste,25-34,M," Coimbatore, Tamil Nadu",Freelancer,October,2020,Q4
All reviewer says correct this dealler product is waste,25-34,F," Bengaluru, Karnataka",Homemaker,December,2022,Q4
Very bad,25-34,M," Ghaziabad, Uttar Pradesh",Working Professional,June,2023,Q2
Terrible product. Gets hung. Can't navigate back to the menu. And it's hung for hours. So probably will remain like this for days till it loses charge. Will check for warranty and repair but really bad.,55 and above,F," New Delhi, Delhi",Homemaker,August,2020,Q3
Very bad,55 and above,M," Kolkata, West Bengal",Retired,December,2021,Q4
never buy this product from flipkart,Under 18,M," Bhavnagar, Gujarat",Student,April,2023,Q2
"Nice Band, handy, feeling good, I just love it.",35-44,M," Navi Mumbai, Maharashtra",Freelancer,January,2023,Q1
super smart hand band,25-34,F," Sarai Abdulmalik, Uttar Pradesh",Homemaker,July,2021,Q3
Looking damn smart. Loved it,45-54,F," Kolkata, West Bengal",Homemaker,April,2021,Q2
"got it in 24hrs...
Pros:
*price of band
*its show name of incoming calls
*looks and features

cons:
* feeling un comfortable to insert device into band
*heart beat sensor not available but remember the price tag",Under 18,M," Thiruvallur, Tamil Nadu ",Student,September,2021,Q3
"Worth of every Penny, this band can be used as a watch and a smart band with all features except heart rate censor ( Dont know why do we need if we are looking for a fitness band to do excercise)Pros : 1.Very cheap and best connectivity with phone.2.Accurate steps count ( Not like fake info of lenevo bands) 3.It have a sensor to turn on the lights of the band automatically to show date, time and day on screen, by just twisting the wrist. Like we do to check time usually. ( My best ;) 4.More... READ MORE",25-34,M," Kolkata, West Bengal",Freelancer,January,2020,Q1
"Best in class fitness band!
I have been using this for 4 months now and following is what I have experienced:
1. Extremely lightweight. You won't feel anything at all. I use it almost 24 hrs.
2. Small and crisp display. Let's you use it even in bright sunlight.
3. The centre touch works perfectly fine. You can tap it for switching various readings like footsteps count, calories burnt, battery percentage etc.
4. The pedometer is almost accurate. Counts the steps perfectly but not up to mark. T...
READ MORE",45-54,M,"  Pune, Maharashtra ",Working Professional,December,2024,Q4
Good product at all as this price range.,18-24,M," Bansberia, West Bengal",Freelancer,March,2022,Q1
I review after 5 months of using this watch great quality and battery backup superb max. 15 days after full charge depend on using ...,25-34,M," Bareilly, Uttar Pradesh",Freelancer,September,2022,Q3
"quality super good..
best price of the product...",45-54,F," Baruipur, West Bengal",Homemaker,May,2020,Q2
"loved the product..
h
just aswome",35-44,M," Barddhaman District, West Bengal",Freelancer,October,2020,Q4
it's a fabulous mi device.... thanks for this..MiIndia..thks for Flipkart.....,18-24,M," Shahpur, Uttar Pradesh",Working Professional,December,2021,Q4
product is just awesome...go for it guyz... perfect product in low budget..,55 and above,M," Silvassa, Daman and Diu ",Retired,October,2020,Q4
Nice product,25-34,M," Visakhapatnam, Andhra Pradesh",Freelancer,January,2023,Q1
👌👌👌👌👌👌👌,Under 18,M," Amritsar, Punjab",Student,July,2020,Q3
"I got this for 999 and for this price it is perfect.Fitness bands are too much costly in other brands like Apple or Fitbit and more or less they do the same work. The only difference is, some shows more detailed information(i.e whole message) and some have heart beat sensor or can have control in music too but why to spend Large amount as mobile phone display is enough for showing detailed content. This band is perfect as it only notifies about calls, message and notification from various ap...READ MORE",35-44,M," Daltonganj, Jharkhand",Working Professional,June,2021,Q2
"awesome products
thanks to Flipkart this price ₹999",25-34,M," Kolkata, West Bengal",Working Professional,September,2021,Q3
super....and useful.to all,Under 18,M," Bhalki, Karnataka",Student,December,2022,Q4
"Just awesome.I noted few points which could be helpful.
1.step counter is accutate wih less than 2% error
2.tells perfectly and accurate when u slept and woke up and i dint find any error in this data although i dont know when did i slept but i can surely tell its giving right data.
3.Battery life- using since 7 days and battery just drained by 16%(i frequently disconnect it with my android)
4 wearing it 24x7,it ll give much accurate data of your behavior
5.Shows something like 35 to 55 ste...
READ MORE",55 and above,M," Kharagpur, West Bengal",Retired,May,2022,Q2
Nice band and I got it 899/-,55 and above,M," Bengaluru, Karnataka",Retired,October,2022,Q4
GOOD QUALITY👍👍,45-54,M," Sahibzada Ajit Singh Nagar District, Punjab",Freelancer,April,2020,Q2
"After Using 15 Days to this band, Here Is my Honest Review.
This works Like a champ. The Vibration Feature on getting Notifications, Calls and Alarms is the most Important and Beautiful feature on this Band. But The Battrey Life Is not Very Good If you have turn on the notification for 4-5 Applications. In My Case It gives Only Maximum 10-12 Days Battery Life. But Still I Loved This Product.
Thankyou Flipkart, For Your Super Fast Delivery.",25-34,M," Faridabad, Haryana",Working Professional,May,2024,Q2
it's too good,55 and above,M," Gwalior, Madhya Pradesh",Retired,September,2023,Q3
"satisfied with overall features of the band.. gives accurate time, sleep , steps, calorie burned and so on.. shows all the incoming calls and sms in the phone. ..",55 and above,F," Kalamassery, Kerala",Homemaker,March,2020,Q1
"good for the price
step count is nearly accurate
bright display
comfortable
good looks",18-24,M," Idukki, Kerala ",Working Professional,May,2022,Q2
very good condition ....very fast dilivery ..but not take it as a fitness band as it is not very useful not accurate but it's a good smartband.very good battery.,45-54,F," Patna, Bihar",Homemaker,August,2024,Q3
Nice product with one dark side... loosing it's charm for not having heart rate monitor....,Under 18,M," Ranchi, Jharkhand",Student,October,2024,Q4
I am using this band since 12 Apr and it's battery life is so good. . . . it was giving a backup of 18 days. . . . I am just shocked by this. . . Thank You Flipkart For such a lovely product. . .👌👌❤️,25-34,M," Haldwani, Uttarakhand",Freelancer,January,2020,Q1
Nice product... Fast charging.. And long time battery.. Step counting not well i expected... No heartbeat sensor..,18-24,M," Kolkata, West Bengal",Freelancer,April,2024,Q2
just awsm,Under 18,F," Karimganj, Assam ",Student,October,2024,Q4
"Got this product(Rs1299) 7 days later after placing the order.Again I say I am very satisfied with the product & seller both.After 19 days using the product,It reduce the power 67% still have 33%.
PROS:
1.Band of the feature
2.It shows name of incoming call &sms
3.Looks & features
4.Battery life long lasting
5.measuring perfect sleep data,steps count etc
6.Water resistant.you take a shower with it.(I examine about 10 mints underwater,it
works as well.)
CONS:
1.Heartbeat sensor is not availab...
READ MORE",Under 18,M," Paschim Medinipur, West Bengal ",Student,August,2021,Q3
"Nice Look.., Good Quality",55 and above,M," Asansol, West Bengal",Retired,January,2020,Q1
"I bought this band with a lot of questions in my head. Chinese band? Just for 1299? Accuracy? Will it even work?

But trust me, this is hands down one of the best fitness bands around and at the price, is a steal. No HRM but I really didn't need one. It is very accurate to the extent I actually counted steps manually and tallied them and they were exact. Definitely put my doubts to rest.

The MI fit app can sync this with the phone and provides thorough and in-depth breakdown. It is brillian...
READ MORE",45-54,M," Noida, Uttar Pradesh",Freelancer,May,2020,Q2
Very good product delivered by flipkart...I m happy😊😊,Under 18,F," Munger, Bihar",Student,January,2022,Q1
I'm giving 5stars b'coz it meets atleast my needs.I don't need a heart beat sensors as I've that on my S9+.Rest other features r already there on band.Band display looks tiny & cute.Glossy oled display.I bought multiple color straps to go with it.In my one day use battery only discharged 4% from 100%.Sleep analysis was very accurate & even the pedometer. I didn't notice if it counts any false steps or not. Pls check these attached images. Product was delivered in very well condition.,18-24,M,"  Pune, Maharashtra",Freelancer,October,2023,Q4
"best budget smart band , 90 % accurate data
value for money",45-54,M," Karwi, Uttar Pradesh",Working Professional,September,2022,Q3
"It's worth every Penny! Firstly,flipkart's delivery was good and fast Coming to the band,it's really accurate and responsive.It just considers those hand movements one gives while walking.And the good thing is that you can customize each and everything once u pair it with ur device. DON'T CONSIDER ANYTHING ELSE.JUST GO FOR IT!!",35-44,F," Hyderabad, Telangana",Homemaker,August,2022,Q3
"Worth for every Penny you pay, standby is amazing lasts for around 20+ days in a single charge and display quality is good,...go for it",55 and above,M," Chennai, Tamil Nadu",Retired,September,2020,Q3
Nic but steps counting is more than I doo,55 and above,M,"  Pune, Maharashtra",Retired,January,2023,Q1
nice one.,18-24,M," Dhenkanal, Odisha",Freelancer,November,2021,Q4
"Cool product.
Writing this after using it for nearly two weeks. Excellent battery, super efficient and like looking display with comprehensive data. Sleep tracking is awesome. There are minor cons like step count accuracy, but for this price it's a decent product to buy.",55 and above,M," Bengaluru, Karnataka",Retired,August,2021,Q3
good mi band 3,35-44,M," Kesrisinghpur, Rajasthan",Working Professional,August,2021,Q3
"At Rs. 1000 this is really a good band, worth spending 1000 bucks for this! I used this for about 1 day and I'm really impressed with it. There's only 1 problem that this does not have a heart rate sensor. If Xiaomi could have added this then it would have been the best Fit Band. The steps count is somewhat accurate.",Under 18,M," Kolkata, West Bengal",Student,June,2024,Q2
"Just got the watch today.Looks wise exactly same as Mi band 2 except heart rate sensor,which is not present on this band.No idea about sensor accuracy on functionality basis.",45-54,F," Bengaluru, Karnataka",Homemaker,July,2023,Q3
nice product,25-34,M," Ahmedabad, Gujarat",Freelancer,November,2022,Q4
nice band for children...best choice ....I recommend to everybody should buy this tracker watch...,18-24,F," Patna, Bihar",Student,February,2021,Q1
"Simply the Best This is my first smart band , and it's simply superb bought on it @ Rs 999 MI Fan☺️✌️, for my workout at gym it's very helpful",18-24,M," Ernakulam, Kerala",Freelancer,October,2021,Q4
Good product full satisfied with price at 820 and working of product.,55 and above,F," Bhavnagar, Gujarat",Homemaker,February,2022,Q1
Very nice smart band. Worth value.Light weight band. Great battery backup.,18-24,M," Kolkata, West Bengal",Working Professional,January,2023,Q1
Awesome product good price,45-54,M," Vavarai, Tamil Nadu",Freelancer,February,2024,Q1
delivery was good but the packaging was not so good the box should be wrapped in bubble wrap,45-54,F," Ludhiana, Punjab",Freelancer,March,2024,Q1
🔋 battery problem,35-44,M," Gurugram, Haryana",Freelancer,April,2021,Q2
"Pretty good actually.
Step counting is accurate
Sleep tracking works
Battery lasts for around 10days
My advice is to never use it without a screen guard. I scratched it the 3rd day.",25-34,M," Ernakulam, Kerala",Freelancer,July,2020,Q3
"Review after 1 day of use:
Pros:
1. Feather light. Very comfortable to wear
2. Quick charge
3. Responsive touch
4. Syncs fast
5. Small and compact in size
6. Battery is good

Cons:
1. Won't get a premium look
2. Screen attracts fingerprints
3. Need to carry it's charger. No micro USB port.
4. The display is not clear white(digits). Kind of yellowish look.",55 and above,M," Bengaluru, Karnataka",Retired,September,2020,Q3
The product is very good but the delivery man was smoking beside me some I m not happy by the delivery.😌,25-34,M," Guwahati, Assam",Freelancer,August,2020,Q3
"ITS COOL GADGET

Mi Band-HRX is cool device which can replace your regular watch as well as do same cool stuff like giving you call or notifications updates.

PROS:
1.Battery life is simply great.20+ days of battery life with 100% charging.
2.Nice features like sleep tracking, calories tracking.
3.Build quality is amazing.
4.Pair with almost every smartphone.

CONS:
1.Heart rate senser is not there but its ok if price is considered.
2.step conter is not so accurate.
3.Mi Fit app is needed on ...
READ MORE",25-34,M," Nashik, Maharashtra",Freelancer,May,2022,Q2
"overall product ia good battery back is decent..
step tracking is very accurate
slepping is accurate but some time it not read and if you sleep in day then it not work .",45-54,M," Kota, Rajasthan",Working Professional,August,2023,Q3
"FABULOUS at this Price

I got it for ₹1168 from Flipkart. This is my first band which i am using. Surely shows accurate step counts when you walk.
I'll divide ths into two sections :
PROS:
LIGHT WEIGHT: hardly you'll feel it on wrist.
BATTERY: charged to 100% and used for 6 hours still its on 100% only. Charging takes about 2 hours max.
ACCURATE STEP COUNTS: decent perfection in counting steps.
DISPLAY: display is seen, in daylight also. Didn't face any problem in seeing information. Shows c...
READ MORE",35-44,F," Bengaluru, Karnataka",Homemaker,January,2024,Q1
"wowww... happy with the mi band..
I bought this for Rs.821/- on big billion day..
Price dropped to Rs.899/- and 10% cash back...

Happy Flipkart day...
love this product",25-34,M," Chiplun, Maharashtra",Working Professional,May,2022,Q2
Nice,55 and above,M," Porbandar, Gujarat",Retired,August,2023,Q3
