                    Reviews for Samsung Galaxy Watch ,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Pros:
+ Smooth performance
+ Awesome and useful gestures
+ Brilliant display
+ Working sensors with good tracking
+ Beautiful watch faces

Cons:
- Screen glass is exposed to hits during daily usage
- Heard about poor battery backup and I agree to some extent. Battery goes up to 2 days (but only if you turn off the location and AOD - which most people don't need on a daily basis).",55 and above,M," Hyderabad, Telangana",Retired,April,2024,Q2
New edition is better so far,35-44,M," Chennai, Tamil Nadu",Working Professional,July,2024,Q3
"Please don't buy this watch, especially from online stores like Flipkart! 😤 I've had a terrible experience with my purchase. 😡 The watch is not worth the money because the battery life is so poor. 🔋 Even after a full charge, it Bare, Punjably lasts 5-6 hours. 😤 And to make matters worse, Flipkart's customer service was useless. 😡 I recommend buying from offline stores like Croma or Reliance Digital instead. #BuyerBeware #BadExperience #FlipkartFail",55 and above,M," Surat, Gujarat",Retired,July,2023,Q3
"Design is good
Low battery back up max 1 to 1.5 day
Ok OK just brand samsung
It's not worth for 33,000",55 and above,F," Bagalkot, Karnataka",Homemaker,August,2024,Q3
Good product,55 and above,M," Alwar, Rajasthan",Retired,March,2021,Q1
"The watch is good. The battery last me 2 days of light to heavy usage without AOD. Didn't find any lag, the watch was really smooth. Tried the workouts and the blood pressure. The bp is kind of off by +5-10. Workouts are being trackwd properly except the watch conaider my bike rides as cycling. Call quality is good",55 and above,M," Ernakulam, Kerala",Retired,December,2022,Q4
Nice watch,18-24,M," Khemkaran, Punjab",Freelancer,June,2024,Q2
Amazing product,Under 18,F," Pathara, Odisha",Student,March,2020,Q1
Good product,35-44,M," Patna, Bihar",Freelancer,February,2024,Q1
Value for money,25-34,M," Bengaluru, Karnataka",Freelancer,December,2023,Q4
One of the best smart watch,Under 18,M," Hyderabad, Telangana",Student,July,2023,Q3
"Battery life is very low, wrist sensors are always in on even watch 7 on the table",18-24,M," Hyderabad, Telangana",Working Professional,April,2020,Q2
The watch is experiencing an elevated temperature.,Under 18,M," Uttarpara Kotrung, West Bengal",Student,August,2023,Q3
Perfect Smartwatch !,Under 18,M," Dhubri, Assam ",Student,December,2022,Q4
Battery backup is very poor. full charge is lasting 8 to 9 hrs.,35-44,M," Kanpur, Uttar Pradesh",Working Professional,January,2021,Q1
Nice product,Under 18,M," Bhilai, Chhattisgarh",Student,October,2024,Q4
Battery back worst...last for 6 hours only,Under 18,M," Imphal, Manipur",Student,March,2022,Q1
"After two months of using this watch, I can confidently say it's the best. It looks classy and is very lightweight. The Samsung software is reliable with no bugs or issues.
However, there's a slight miscount of steps when riding a bike, as it counts those as steps. The only downside I found is the battery life, it could be a bit bigger to last at least two days. With Always-On Display (AOD) on and all features enabled, it lasts around 24 hours.",Under 18,M," Ludhiana, Punjab",Student,May,2024,Q2
"Excellent product.
Light weight, perfect size, great display.
One could easily get a day and a half of battery.",55 and above,M," Anantnag, Jammu and Kashmir",Retired,November,2022,Q4
You need a Samsung phone to use every feature of this watch. Rest the watch is better than iWatch,55 and above,M," Howrah, West Bengal",Retired,May,2023,Q2
Simply wow!!,35-44,M," Gurugram, Haryana",Working Professional,August,2023,Q3
Terrible battery hardly last 12 hours in lte version,25-34,M," Jammu, Jammu and Kashmir",Freelancer,January,2023,Q1
Battery drain very fast,55 and above,M," Kanth Shahjahanpur, Uttar Pradesh ",Retired,February,2022,Q1
Features of the watch 7 is good but design is not satisfied and the available colour are less. Black color need to be added in the future collection of the watch options and also the packaging need to be improved with attractive looks and eye catching to the customer only this much can be written that's it from my side,35-44,M," Dharwad, Madhya Pradesh",Freelancer,September,2023,Q3
Bad charging 10% charging 1 hors,25-34,M," Munger, Bihar",Working Professional,October,2023,Q4
"Second time purchase samsung smart watch.
I purchased first time samsung watch 4 but this was just bought smart watch 7 LT.
It's design is suprb.
Slik and soft in use.
Green strap is also too good. I was worried about green colour strap but it's fantastic.
Health monitoring app like samsung health monitor is additional features for samsung phone. But it's functioning and health monitoring features is superb.
For ECG you should need bp monitor machine additional to perfect and necessary.
Watc...
READ MORE",35-44,M," Gopalganj, Bihar",Working Professional,October,2024,Q4
Rashes on skin and red dot appearing on watch screen within one month.,18-24,F," Bharuch, Gujarat",Working Professional,November,2023,Q4
"Very good build quality.
Calling featured is amazing and speaker is incredible.",Under 18,M," Sarsawan, Uttar Pradesh",Student,December,2022,Q4
Osam watch ⌚ osam style,45-54,F," North Twenty Four Parganas District, West Bengal",Homemaker,October,2023,Q4
"Sorry to hear that your product got scratched after only 15 days of use. That can be frustrating, especially if you were expecting a longer lifespan",35-44,M," Indore, Madhya Pradesh",Working Professional,July,2024,Q3
Battery poor,35-44,F," Kalpetta, Kerala",Homemaker,July,2021,Q3
Very bad pr,18-24,F," Mumbai, Maharashtra",Working Professional,April,2022,Q2
"Loving it Except for the battery life ,everything is absolutely worth each Penny",25-34,M," Rishra, West Bengal",Freelancer,May,2021,Q2
Blood pressure and ECG features works only if paired with Samsung phones.,35-44,M," Chennai, Tamil Nadu",Working Professional,November,2021,Q4
"Samsung watch FE.....FE means fan edition...
THE WATCH I BOUGHT ON SALES ON PRICE OF 11K ...
IT IS WORTH FOR THAT PRICE ..
PROS ...
1. AUTO TRACKING
2. AMOLED DISPLAY
3. SLEEP COUCHING
4. DECENT DEGIN
5. WATER EJECTION FUTURE..
6. WATER PROOF UP TO 2 MEATER DEPTH... MINIMUM 30 MINUTES...
7. HAVING GPS
8. WIFI + BLUETOOTH..
9. PRIVACY MATTER # SCREEN LOCK FUTURE # PATTERN # PIN
10. HAVE VOICE RECORDER ON WATCH
11. HAVE BODY COMPOSITION FUTURE ....ETC


CONS
1. BATTERY 247 MAH
2...
READ MORE",18-24,M," Hyderabad, Telangana",Freelancer,March,2023,Q1
Good product bought from flipkart all sensors work fine full features working on samsung phones only. Great buying,Under 18,M," Ludhiana, Punjab",Student,June,2021,Q2
Everything is perfect except battery backup.... battery backup is horrible. After using all features it gives only 4hrs backup too horrible....but it is features rich watch,Under 18,M," Nawada, Bihar",Student,October,2022,Q4
"Battery was too small, with all day display on and continuous heart rate,spo2 monitoring, allow watch to sync with contacts, messages, and other apps notifications together ended up with draining battery in less than 12 hours!!!!! Charging to takes upto 40 minutes in a regular samsung 25w usual type c adapter,
ECG function never worked on my phone, even though I uses samsung phone,
The other sensors Like tracking of activity movement- that is walking, running , jogging , exact location, con...
READ MORE",55 and above,M," Ponnekallu, Andhra Pradesh",Retired,May,2020,Q2
"I purchased samsung galaxy FE supersily after using one week it's amazing very light weight and all features are very good for day to day activities SUPER and lastest launched. Worth buying. Only the battery one day, otherwise all features are very 👍",55 and above,M," Chennai, Tamil Nadu",Retired,January,2022,Q1
Battery drain quickly,25-34,M," Chennai, Tamil Nadu",Freelancer,April,2024,Q2
Thanks,Under 18,M," Sirsa, Haryana",Student,May,2022,Q2
"One of the best smart wearable in the market. Battery is the only concern. Using it for past 1 month, sleep tracking and other options(NFC payments) are very good. If you want a branded one with best options go for it.",55 and above,M," Thiruvarur, Tamil Nadu",Retired,December,2022,Q4
Overall Good product,45-54,M," Madurai, Tamil Nadu",Working Professional,April,2024,Q2
very good @ price range but battery drains like a popcorn in theater,Under 18,M," Chikkamagaluru, Karnataka",Student,April,2024,Q2
"Good product battery last more if bluetooth is off

Activity tracking is accurate and all functioning ia good",18-24,M," Kandalloor, Kerala",Freelancer,August,2021,Q3
"Good watch, excellent",35-44,F," Hyderabad, Telangana",Homemaker,January,2022,Q1
Overall it is a gior watch,25-34,M," Farrukhabad, Uttar Pradesh",Working Professional,May,2023,Q2
"Battery yet to test
Overall a great package in this segment.
All FE edition product is a good for budget Samsung Fans.",55 and above,M," Azamgarh, Uttar Pradesh ",Retired,August,2021,Q3
Same as galaxy watch 4,35-44,M," Bare, Punjab",Freelancer,September,2020,Q3
Really nice and latest as well. overall I am very much satisfied.,25-34,M," Greater Noida, Uttar Pradesh",Working Professional,November,2023,Q4
"1)Battery backup is not good
2)if you have a samsung mobile then only it works all the futures like ECG AND BP
3) display is ok in this price segment they must provide higher resolution and higher britness",25-34,F," Raichur, Karnataka ",Homemaker,October,2024,Q4
"Battery feels low as it decreases more like a smartphone,rest watch is wonderful , display 10/10 Samsung speciality, Bp and ECG only works if watch is connected to a Samsung Phone.",Under 18,M," Una, Himachal Pradesh",Student,September,2023,Q3
Love it.... sumsung always on top 🫰❤️,55 and above,M," Patna, Bihar",Retired,November,2020,Q4
"Really liked the product, especially after one ui 6 update. The battery just lasts a day it's only aspect that could have been better. Rest everything is great. Real Smartwatch",Under 18,M," Satara, Maharashtra",Student,May,2023,Q2
Battery is pretty bad. Rest everything good.,18-24,M," Bengaluru, Karnataka",Freelancer,May,2023,Q2
I loved the product very much. The only downside is the battery life. But if you buy real smartwatch you have to compromise with battery. The wear OS 6 user experience is smooth,25-34,M," Gurugram, Haryana",Freelancer,September,2021,Q3
Awesome product,18-24,F," Guwahati, Assam",Working Professional,December,2023,Q4
Battery to much drain,35-44,M," Hyderabad, Telangana",Working Professional,July,2022,Q3
"Talking about the watch pros and cons after 1 day
Pros
1.its UI is so smooth
2.better design than other smart watch
Cons
1.battery not lastingeven one day have to charge 2-3
Times a day",55 and above,M," Ambikapur, Chhattisgarh",Retired,June,2021,Q2
Battery backup is very very poor,45-54,F," Gurgaon, Haryana",Homemaker,February,2021,Q1
Super,35-44,M," Visakhapatnam, Andhra Pradesh",Freelancer,May,2021,Q2
Watch keeps on hang,Under 18,M," Polur, Tamil Nadu",Student,February,2024,Q1
I phone not connected,25-34,M,"  Pune, Maharashtra",Working Professional,February,2020,Q1
Pathetic,55 and above,M," Zirakpur, Punjab",Retired,February,2022,Q1
Very good buy for the price range.. affordable and versatile smart watche,45-54,M," Thiruvananthapuram, Kerala",Working Professional,February,2021,Q1
"So very good Samsung watc thank you
Thank you Samsung",55 and above,M," Hazaribagh, Jharkhand",Retired,March,2022,Q1
"Worst watch ,",35-44,F," Kota, Rajasthan",Homemaker,March,2020,Q1
Worst battery backup,25-34,F," East Godavari, Andhra Pradesh",Homemaker,April,2022,Q2
"Except Battery, all other features are fine",45-54,M," Bengaluru, Karnataka",Freelancer,August,2024,Q3
Watch is good but battery is not good.,45-54,M," Durgapur, West Bengal",Working Professional,November,2022,Q4
Overall good but battery drain was a major issue ..not expected,45-54,M," Faizabad, Uttar Pradesh",Working Professional,April,2024,Q2
"the battery is very poor. overall good , and battery is only upto 6 hours when you using all features.",45-54,M," Phagwara, Punjab",Working Professional,September,2021,Q3
"The product is very good compared to chinese counterparts like Boat, Noise. Tracking and sensors are far more accurate. Runs on wear OS. Lots of skins and skin customisation is also available. Battery is an issue, lasts max of 1 day on a single charge with all facilities like AOD etc.",45-54,F," Konkan Division, Maharashtra",Homemaker,July,2023,Q3
Good,35-44,M," Maddur, Karnataka",Freelancer,June,2023,Q2
Betery is very bad.,45-54,M," Kolkata, West Bengal",Working Professional,March,2024,Q1
Nice watch 😊😊,25-34,M," Changodar Gidc, Gujarat",Freelancer,July,2020,Q3
The only con is the battery life. With AOD and all,45-54,M," Berhampore, West Bengal",Working Professional,November,2023,Q4
Takes more than 2.5 hour to full charge and does not even last for 8 hours of usage. It's a headache. Don't buy.,18-24,M," Bengaluru, Karnataka",Freelancer,December,2022,Q4
Great,35-44,F, Puducherry,Homemaker,November,2021,Q4
Excellent watch,25-34,M," Faridabad, Haryana",Working Professional,August,2021,Q3
Worst battery life,25-34,F," Mannargudi, Tamil Nadu",Homemaker,December,2024,Q4
Do not buy it. Just do not buy it. The battery backup is joust worse than worst. Except only 3-4 hours of battery backup only!,25-34,F," Madhupur, Jharkhand",Homemaker,December,2020,Q4
Good product,25-34,M," Ballia, Uttar Pradesh ",Working Professional,October,2021,Q4
Absolutely value for money,35-44,M," Bengaluru, Karnataka",Working Professional,October,2021,Q4
"Its too small size, not for boys.",18-24,M," Talala, Gujarat",Freelancer,February,2022,Q1
"Battery backup is pathetic, major features work only on samsung mobiles( ECG,BP,.....",18-24,F," Hyderabad, Telangana",Working Professional,December,2024,Q4
Value for money,25-34,M," Diu, Daman and Diu ",Freelancer,November,2021,Q4
"The only Problem it has is Battery backup if you customize it a little or use battery saver(having restricted features) then max to max it will last for 1 to 1.5 days .
charging speed is also slow so make that fit in your head that for an hour you will have to charge every day.

If you don't have samsung phone then ECG and heart monitor will not work.overall its a good watch , display build quality all features connectivity is good feel premium in ur hands. pricing could have been more aggres...
READ MORE",25-34,F," Shirur, Maharashtra",Working Professional,September,2021,Q3
not good product,25-34,M," Udaipur, Rajasthan",Working Professional,January,2021,Q1
Amazing and affordable watch from samsung.,25-34,M," South East Delhi, Delhi ",Freelancer,September,2022,Q3
This watch was very nice but is bettery was not good but okay and disingn so nice 👍,35-44,M," Uttar Bastar Kanke, Jharkhand",Working Professional,April,2024,Q2
Gr8,18-24,F," Kakching, Manipur",Working Professional,March,2021,Q1
Okay type,18-24,F," Burdwan, West Bengal",Working Professional,November,2021,Q4
Battery is worst and steps calculating is not accurate. It is just making difficult for me to analyse steps,25-34,M," Namakkal, Tamil Nadu ",Freelancer,March,2024,Q1
"Best Value for money in this rate
Thanku Samsung❤️🎀",Under 18,M," Kendujhar, Odisha",Student,February,2020,Q1
"Battery not coming even 24 hours,very poor battery 🔋 stamina from samsung. And there is no possibility for return or exchange",18-24,M," Warangal, Telangana",Freelancer,April,2020,Q2
everything is good just battery backup is poor,Under 18,M," Siliguri, West Bengal",Student,June,2023,Q2
Battery is pathetic. Not worthy for money,25-34,M," Idukki, Kerala",Working Professional,February,2023,Q1
It was so good product from samsung and I am using with samsung a35 the paring was so good to use like apple products and syncing under best budget one of the best thing you can use like apple 🍎 and I do not face any issue with watch and I am getting overall battery for full a charge is around 22 hours with basic features on,45-54,F," Hyderabad, Telangana",Homemaker,September,2024,Q3
Best watch in this budget even for iPhone user . There are some tricks,55 and above,M," Dobaspet Industrial Area, Karnataka",Retired,March,2023,Q1
Very good,Under 18,M," Hyderabad, Telangana",Student,March,2022,Q1
Don't buy this watch. big problem in battery exhaust.... in a single day I am changing My watch 2 time so please don't buy,35-44,F," Jammu, Jammu and Kashmir",Homemaker,February,2023,Q1
Not good,Under 18,F," Pimpri Chinchwad, Maharashtra",Student,August,2024,Q3
Nice,45-54,F," Hyderabad, Telangana",Homemaker,July,2022,Q3
"I am using this watch, but after 2hrs of use rashes starts developing",25-34,M," Bengaluru, Karnataka",Freelancer,December,2021,Q4
The only issue is that ECG and Blood pressure monitoring is supported only with Samsung phone,18-24,M," Jhajjar, Haryana",Working Professional,September,2024,Q3
Not connected with I phone,45-54,M," Sahaswan, Uttar Pradesh",Working Professional,June,2023,Q2
Very poor back up. Lasts only for one day. ECG and Blood pressure only available for Samsung phone users...,45-54,M," Thiruvananthapuram, Kerala",Freelancer,July,2024,Q3
"Good product.
The 40mm size is perfect for my wrists.
Charging is okay.
Battery performance is good.",18-24,M," Jamshedpur, Jharkhand",Working Professional,February,2020,Q1
"It is a low-cost smartwatch-like fitness band. It looks really premium in your hand.

Pros
1. You can use it as a smartwatch and fitband tracking your fitness activities with your mobile's notifications on.
2. Can check who is calling, and even reject it. Limited message reply facility.
3. You can access calendar, alarm, stopwatch, timer, world clock, weather and phone camera (and video) through this.
4. I like the inbuilt calculator, alarm and calendar features, which are helpful to me.
5....
READ MORE",55 and above,M," Rourkela, Odisha",Retired,February,2020,Q1
"Battery life will last only for 3Days ,if you are doing sleep tracking.
Display is smooth and responsive.
Charging speed is slow
Band is of average quality
Tracking works perfectly with proper data
Notification also works properly
Comfortable to wear",Under 18,M," Wayanad District, Kerala",Student,August,2021,Q3
Easy to use and excellent battery life,25-34,M," Kanpur, Uttar Pradesh",Working Professional,July,2024,Q3
"Liked it, Worth the price 🙌",25-34,M," Othukkungal, Kerala",Freelancer,August,2021,Q3
"Good Display
Battery Easily work 8-9 days when always connect Bluetooth, Gps",25-34,M," Bikaner, Rajasthan",Freelancer,October,2024,Q4
"good quality and good design. heart rate and blood oxygen and stress tracking is good.also step count is also 90% accurate. in this budget range no other brands give 100%. big problem is sleep tracking is not good, I didn't believe Samsung like brand give this type of sleep tracking sensors even brands like noise is giving good sleep tracking. I hope Samsung will solve this problem with an update in future",55 and above,M," West Godavari, Andhra Pradesh",Retired,June,2023,Q2
look is awesome,18-24,M," Malappuram, Kerala ",Working Professional,March,2020,Q1
"I have used almost all high end smart watches from pixel, samsung and apple. There are pros and cons of each. I can write 100 lines bla bla bla.
I have not used the galaxy watch since i wore this. Its the 6th day without charge and it still shows 43% battery. It tracks my workouts and sleep and notifies me if I get a call, I have never used a smartwatch other than these three functions.
Its the best",25-34,M," Meerut, Uttar Pradesh ",Working Professional,April,2023,Q2
Everything is good. Its been a week i have charged the band still i have 30% left. Display is good. Only drawback is it doesn't support whatsap notifications,25-34,M," Hyderabad, Telangana",Freelancer,March,2021,Q1
Ok,18-24,M," Chikmagalur District, Karnataka",Freelancer,October,2020,Q4
Got this under offer and its worth every Penny. If you workout regularly or take daily morning walk to keep yourself healthy and want to keep a measure of your activity then just go for it.,18-24,M," Bhilai, Chhattisgarh",Working Professional,May,2024,Q2
Good style and looking. Perfect for those with small wrists. Best design.,45-54,M," Chinsurah, West Bengal",Freelancer,February,2022,Q1
"It measures fake steps that's the big problem with this
Sleep monitoring good looks wise good",35-44,F," Anantapur, Andhra Pradesh",Homemaker,May,2022,Q2
"The Step counter is not even close to Accurate even in walking / running modes . I have used GYM Treadmill and did run for 3 Km continuously but it only shows 2.6 km , A 400 m difference. Lost trust in Samsung, I hope they fix this issue with updates. It's good for people who just want to maintain consistency for workouts.",18-24,M,"  Pune, Maharashtra",Working Professional,October,2021,Q4
The product is good. Nice look. Hated Made in China,18-24,F," Serampore, West Bengal",Working Professional,June,2021,Q2
Thanks flipkart.Nice Watch,35-44,M," Bulandshahr, Uttar Pradesh ",Freelancer,October,2023,Q4
"steps tracking is very accurate. if you are looking for a fitness and activity tracker , then this is the best one in this budget. you might get a lot more features in some other chinese smart watch in this budget but the activity tracking and heart rate tracking in those smart watches will not be a match to this samsung fit 3.
if you are someone who prefers quality over quantity,then go with this",35-44,M," Krishna, Andhra Pradesh ",Freelancer,February,2021,Q1
"Good band.
Display is awesome.
Look over priced but software experience is very good.
Recommended.",35-44,M," Panchkula, Haryana",Working Professional,November,2021,Q4
Loved the product so much better than the chinese counterparts. Well designed software really intuitive and smooth. Was earlier using cult smartwatch which I got it exchanged three times due to bad quality. Only the battery life is 7 days not 13 days as claimed by samsung btw charging speed is next level,25-34,M," New Delhi, Delhi",Freelancer,October,2024,Q4
Best fitness band at this price. No complaints as of now.,25-34,M," Belagavi, Karnataka",Freelancer,July,2023,Q3
My main purpose is to buy this band for tracking purpose but I'm very disappointed,45-54,M," New Delhi, Delhi",Working Professional,June,2023,Q2
"Pros -
Looks good. Nice Display. Not too pricy. Better software than others in the same price range out there.

(Come on Indian brands!!! Rooting for you guys to get better!)

Cons, Things that could improve -

Addition of 2 more buttons. Would love to completely control my music from the band's buttons.

Music app should stay open if I've opened it once till I go back. I want to be able to quickly switch tracks from the watch while driving.
(Basically please copy what the pebble steel did f...
READ MORE",45-54,M,"  Pune, Maharashtra",Working Professional,March,2020,Q1
"First problem: poor sleep tracking
Second problem : automatically pauses activity tracking while walking or gym, and does not resume.
In said price, I would advise different product.
You need to install weable app which does not work with older android phones, so definitely not worth it",35-44,M,"  Pune, Maharashtra",Working Professional,September,2024,Q3
Facing difficulties in disconnecting calls in the smartwatch. Smart watch vibrates and alerts even after the call is taken on the phone and spoken. Happened multiple times in the last 4 days.,18-24,M," Bengaluru, Karnataka",Freelancer,November,2020,Q4
"Need to be Lar, Uttar Pradeshger Display......",45-54,M," Hyderabad, Telangana",Freelancer,June,2023,Q2
Nice,18-24,M," Nashik, Maharashtra",Working Professional,August,2023,Q3
"Quality: 9/10
Display: 10/10
Accuracy:9/10
Battery: 8/10
Price: It Got In 3800 Best Value For Money Watch In This Price
Tracking And Accuracy: 9/10

Easy To Use

Size Is Perfect",45-54,M," Nagaur District, Rajasthan",Working Professional,August,2023,Q3
I really liked this Samsung Fit3 watch. It's so light weight and you will not feel uncomfortable in night while sleeping. Also it has awesome silicone start which is so good 👍 Must recommend,18-24,F," Bengaluru, Karnataka",Working Professional,May,2020,Q2
"It's good for fitness tracker .
As I had mi band in past it's on par or even better in terms of tracking
Wish display could have been symmetrical but Samsung being Samsung cost cutting",25-34,M," Nagpur, Maharashtra",Freelancer,March,2022,Q1
"Slim neat design/Easy to connect/

Strange thing: you can disconnect call but cant attend one.",18-24,M," Chennai, Tamil Nadu",Working Professional,April,2022,Q2
"Display Clarity is Good, Display Size is unique which I personally liked. Battery drain very quick which is not good.",Under 18,F," Baloda Bazar, Chhattisgarh",Student,December,2023,Q4
I will be use this watch high to medium value for money,35-44,M," Bhopal, Madhya Pradesh",Working Professional,May,2023,Q2
"Battery could be better.

Overall it's good 👍",55 and above,M," Bengaluru, Karnataka",Retired,January,2020,Q1
"Pros:
Premium look and Feel
Value for Money
Beautiful Amoled Display
Comfortable to wear
Value for Money
Good Features with efficient tracking
Cons:
1. No Gorrila Glass/other protection the Beautiful display is very prone to scratches
2. No good Accessories available in the market nor the official ones.
3. Sleep tracking needs improvement.",35-44,M," Jaipur, Rajasthan",Working Professional,May,2023,Q2
Does the job. Don't expect Galaxy Watch Series experience from this. Afterall it's a Fitness Tracker not a smartwatch.,35-44,M," Kolkata, West Bengal",Working Professional,November,2022,Q4
"Excellent product 🤩 I am happy with this product. But it's charges very slow. But fully feature loaded band for sumsung

Thank you 😊 flip kart",25-34,M," Guna, Madhya Pradesh",Freelancer,May,2020,Q2
Excellent Product 👍😎⌚👌,18-24,M," Pen, Maharashtra",Working Professional,January,2023,Q1
Everything is going to smooth n my phone samsung galaxy m20 which is working on Android 10 n this watch ⌚ working damn good sooo I'm happy with this sooo must go for this ...,Under 18,M," Bakshi Ka Talab, Uttar Pradesh",Student,March,2024,Q1
"best flipkart delivery experience and best selling price on flipkart available rather than on official website, gud experience",55 and above,M,"  Pune, Maharashtra",Working Professional,September,2022,Q3
Everything is perfect I am facing problem with step counter if u ride bike it count's steps by Handel vibration of bike rather than that Everything is great,Under 18,F," Kalaburagi, Karnataka ",Student,June,2022,Q2
Product is good and gen,25-34,M," Purbi Singhbhum District, Jharkhand",Freelancer,September,2020,Q3
Good,Under 18,M," Yadgir, Karnataka",Student,July,2024,Q3
Good,25-34,M," Navi Mumbai, Maharashtra",Working Professional,January,2020,Q1
"I have been using it for more than 6 months, each day it works as a new one
Loved it's UI and freshness

One disappointing thing is that we can't answer call and we can't call in that
If the two options would have been there means it would have been a cult classic super smartband",55 and above,M," Guntur, Andhra Pradesh",Retired,May,2024,Q2
Good product,55 and above,M," Salem, Tamil Nadu",Retired,August,2020,Q3
"Great Product, No one is telling the truth. It has Always on display and auto brightness. But last only for 3 to 4 days on single charge and charge in less than 45 mint to be precise.",35-44,M," Kaithal, Haryana",Freelancer,July,2020,Q3
"Watch is very good but it is very un comfortable
And it is very hard to remove from hand
And it also lack some features
And it count ghost step
Like I I am traveling in bike or car
The watch starts to count my foot steps
It's goes beyond 30 thousand+
These are the major issues
Other wise the fitness watch is okay
You can charge the watch by connecting it to your phone
No need to buy charger
Build quality is very good
But display is bit small",18-24,M," Aurangabad, Maharashtra ",Working Professional,April,2023,Q2
"Not accurate specifically on step counts, while travelling through the road if you get bumpy shakes it will count fake ghost steps even when you're not wearing it.",25-34,M," Thane, Maharashtra",Working Professional,December,2024,Q4
Battery backup is very low,18-24,M," Kaithal, Haryana",Freelancer,November,2020,Q4
"Disconnects very often, sleep tracking is not very good, not that value for money.",25-34,M," Noida, Uttar Pradesh",Working Professional,June,2023,Q2
"Too much battery consume , else the product is good",35-44,M," Hailakandi District, Assam",Working Professional,December,2020,Q4
