Reviews for FitBit,Age,Gender,Location,        Occupation,Month,Year,Quarter
nice watch but have issues with bluetooth connectivity. but still overall one can have it as a beginner.,55 and above,M," Bhubaneswar, Odisha",Retired,January,2024,Q1
excellent fitness tracker and a fancy watch,Under 18,M,"  Pune, Maharashtra",Student,January,2020,Q1
this fitbit versa is awesome... i am using this snartwatch from last 15 days and I loved it... all functions are very good and accurate... only problem I had in the beginning while connecting with phone but now it is part of my daily routine...,35-44,F," Mumbai, Maharashtra",Homemaker,March,2024,Q1
Good One,Under 18,M," Hyderabad, Telangana",Student,June,2022,Q2
"PLZZ read this before Wasting your money.
PLZZ read this complete information before buying from Flipkart.
They are not ready for return process even if your product is worst.
Flipkart is worst in providing services so if you have any option to buy headache and problems then go there. Don't waste your time with Flipkart

Regarding Fitbit Versa Performance is very worst.
Which is atomatically disconnected from the app and then act as a simple digital watch.
Flipkart customer care to take thi...
READ MORE",45-54,M," Madurai, Tamil Nadu",Freelancer,September,2021,Q3
Got it at an amazing deal for 7.5k during big billion days. Thank you Flipkart.,45-54,M," Hyderabad, Telangana",Working Professional,February,2023,Q1
Battery backup is very good,18-24,M," Agartala, Tripura",Freelancer,April,2020,Q2
Good,Under 18,M," New Delhi, Delhi",Student,July,2020,Q3
nice product and timely delivery,18-24,M,"  Pune, Maharashtra",Freelancer,December,2023,Q4
Very comfortable durable affordable and yes adorable too😂 after 3 years still battery performance is awesome and looks like new even am using roughly everyday,Under 18,M," Kim, Gujarat",Student,September,2021,Q3
"This is my second fitbit watch and both didn't last 2 years and no service available in india.

Avoid buying fitbit brand",Under 18,M," Bengaluru, Karnataka",Student,October,2021,Q4
rubber bands with watch get cut easily not adviceable,25-34,F," Ichalkaranji, Maharshtra",Homemaker,July,2021,Q3
After one year use display was damaged.,35-44,M," West Godavari, Andhra Pradesh ",Working Professional,February,2024,Q1
Device could not pair by blue tooth with smart phone,25-34,M," Sambalpur, Odisha",Working Professional,December,2022,Q4
Very inaccurate and unreliable,25-34,F," Malda, Madhya Pradesh",Homemaker,December,2024,Q4
Good product value for money,Under 18,F," Bengaluru, Karnataka",Student,May,2023,Q2
Full features for this cost is value for money,Under 18,M," Chennai, Tamil Nadu",Student,July,2020,Q3
Not good start problem ha,Under 18,M," Ambarnath, Maharashtra",Student,January,2020,Q1
Value for money. Good product,18-24,F," Hyderabad, Telangana",Working Professional,March,2022,Q1
Ok,25-34,F," Mumbai, Maharashtra",Homemaker,February,2022,Q1
"The activity tracking is good.But the watch's battery is terrible and Barely lasts 2 days.Also, the mechanism to remove and attach the straps is the worst.",35-44,M," Vadodara, Gujarat",Freelancer,July,2020,Q3
"Battery melted in 2 month time and not getting any support from any where.. flipkart customer support is just waste.. they promise to call in some time but never turned up.. facing issue from 1 month but no prevail.
Dont purchase any item like that frm flipkart.",35-44,M," Bengaluru, Karnataka",Working Professional,August,2022,Q3
Just premium awesome,25-34,M," Zirakpur, Punjab",Working Professional,November,2022,Q4
Worst quality of Band...... And accessories not available in local market..... I waste my money after 1 month of use..,55 and above,M," Surat, Gujarat",Retired,March,2023,Q1
Battery is draining fast,45-54,F," Darbhanga, Bihar",Homemaker,August,2023,Q3
"Very good.
No compromise on Fitbit quality.
Good deal.",45-54,M," Jagdalpur, Chhattisgarh",Freelancer,May,2022,Q2
Its not worth buying this watch...you will find wtches in 2-3k which does better job than this,45-54,M,"  Pune, Maharashtra",Working Professional,May,2024,Q2
Value for money,Under 18,F," Udaipur, Rajasthan ",Student,May,2021,Q2
"The quality of Fitbit Versa is not good and I am writing this after using the watch for 1.5 years of limited use.

1. The rubber wrist straps are of poor quality: Cracked after 3 months of usage.

2. Vibration stopped working after 1 year.

3. The accuracy is not that good. My phone's health app is much accurate than this watch.

4. Touch (screen) not very smooth",18-24,M," Gurugram, Haryana",Working Professional,January,2022,Q1
I gifted this to my father on his birthday. He loved it. Its really good.,Under 18,F," Kolkata, West Bengal",Student,February,2023,Q1
The watch looks good. The connectivity is also pretty good. The designs looks cool too. The only down fall I noticed is that it tracks your step while you are riding bike aur driving car.,18-24,M," Rohtak, Haryana",Freelancer,August,2024,Q3
Just okay,55 and above,M," Katihar, Bihar",Retired,October,2024,Q4
Excellent watch.,55 and above,M," Bengaluru, Karnataka",Retired,October,2021,Q4
"Amazing Amazing Amazing product
But battery backup average",18-24,F," Bengaluru, Karnataka",Working Professional,November,2023,Q4
Some functions not there in actual but was mentioned on product page. The charger seems to be old with whitish texture on top.,35-44,F," Mumbai, Maharashtra",Homemaker,October,2022,Q4
Connectivity is very loose,Under 18,M," Sagar, Madhya Pradesh ",Student,May,2020,Q2
Good product,18-24,M," Navi Mumbai, Maharashtra",Freelancer,September,2021,Q3
Most useless product. Will never get connected to bluetooth. Pure waste of money. That's why flipcart is selling it with such discount. Just don't waste your money. Super useless watch,35-44,M," Ranchi, Jharkhand",Working Professional,February,2020,Q1
Good product... resonable price...,Under 18,F," Vadakkekad, Kerala",Student,July,2021,Q3
"Cool looks and good for technosavvy people!! Keeps records of heart rate, steps and many more, has bluetooth accessibility to all ur apps in the phone 📞. Displays all notifications and calls!!",55 and above,F," Kota, Rajasthan",Homemaker,February,2021,Q1
"Once u lock ur device , and simultaneously unpair your device from mobile then u can never unlock that device for life time",45-54,F,"  Rangareddy, Telangana",Homemaker,September,2023,Q3
"I will divide this in pros and cons.
Pros :
1. Screen brighten is good.
2. All the values shown by watch is appropriate.
3. Extra straps were good.
4 . Overall give you feeling of very premium watch.
5. I got it for 7500 so price is excellent.
Cons:
1. Battery backup is not that much good (3 days).",18-24,F," Meerut, Uttar Pradesh",Working Professional,May,2024,Q2
"Excellent Fitbit for the price
If you are looking for your first smart watch it a best choice
Battery lasts more than 3 days
Display is great
Accuracy is near to perfect
My experience first update is done by calling customer care which is also in Fitbit app which Is of great easy
I like the most is we can add our photos as watch face with all info such as time heart rate etc",18-24,F," Hyderabad, Telangana",Working Professional,October,2022,Q4
The display glass of the watch is not worth the money. I have been using various watches all through my life. Right from HMT to Fossil. But this is the first time I bought a watch that chipped at the edges with just a light tap against the door frame. I have now worn a silicon screen protector. Also the strap broke in two months. One good fact is I got 4straps with this watch. Will never buy Fitbit watches again. Plain health bands are good but not watches .,45-54,F," Mangaluru, Karnataka",Homemaker,February,2023,Q1
Very bad product. Don't buy it.,45-54,F," Mumbai, Maharashtra",Homemaker,December,2023,Q4
I can not fix silicone black strap to the dail. Their is no notifications on watch and i am facing problems because of this,35-44,F," New Delhi, Delhi",Homemaker,November,2024,Q4
"A gr8 watch with best discounts from Flipkart and fast delivery. Fitbit is the most reputed name in smart watches with accurate heart rate, sleep & spo2 tracker.",35-44,M," Agra, Uttar Pradesh",Freelancer,January,2021,Q1
Very nice,25-34,F," Hyderabad, Telangana",Homemaker,May,2022,Q2
This watch was Awesome,Under 18,M," Vijayawada, Andhra Pradesh",Student,May,2022,Q2
Truly outstanding except the battery. The looks is superb.,45-54,M," New Delhi, Delhi",Working Professional,June,2020,Q2
Don't buy this product none of the feature is not working in this product and waste of money,35-44,M," Nellore, Andhra Pradesh",Working Professional,June,2022,Q2
Worth buying it,55 and above,M," Gautam Buddha Nagar, Uttar Pradesh",Retired,October,2021,Q4
"Writing this review after using Fitbit Ionic for around 2 days now.
1. Built quality and visual appeal is superb.
2. Very Light weight and looks awesome on the wrist. Very comfortable.
3. Connects smoothly with Fitbit app of Android.
4. Very accurate in terms of measurement especially heart rate and distance.
5. Display is bright and touch on the screen is smooth.
6. Battery is good. Using it for two days now and battery is still around 60%.
Overall excellent, that's what I Can say as of no...
READ MORE",55 and above,M," Meerut, Uttar Pradesh",Retired,January,2022,Q1
Excellent product,Under 18,M," Dallirajhara, Chhattisgarh",Student,August,2020,Q3
finally its launched in india advance version of fitbit surge looking cool its really superior compared to other smart wathes + trackers cool daily use watch and fitness tracker.,25-34,M," Chennai, Tamil Nadu",Working Professional,August,2023,Q3
"Nice product, so far so good.. battery life is good with HR continue on & notification with vibrator switch on works fine of 5 days. shipping was very fast Thanks to the dealer and flipkart",35-44,M," Chennai, Tamil Nadu",Freelancer,January,2023,Q1
"fitbit ionic is just a mind blowing fantastic piece of gadget which gives so much of insight about ones fitness. classy look, crystal clear display with bright illumination, amazing touch sensitivity and user friendly interface. best part is sleep stages tracking & continuous heart rate monitoring. battery lives upto expectations. highly recommended, one simply cannot find a single flip side if looking for a true fitness watch.",Under 18,M," Ambala, Haryana",Student,November,2021,Q4
"Pros: Product wise it is the best fitness tracker you can get. The strength of the vibration is amazing. Battery life is very good 5+ days. FitBit app is very user friendly and helps to achieve our fitness goal.

Cons: It has limited support for third party apps. You can receive notifications from your phone but cannot respond back, no speaker and microphone. Priced much higher for the features it offers.",45-54,M," Chennai, Tamil Nadu",Working Professional,December,2022,Q4
"Can't thank flipkart enough for helping me replace the watch.. 5stars for flipkart services. And aabout fitbit, there's nothing to say.. its a great smartwatch. battery is really lasting, app interfaces are friendly, fitness tracking is supperbbbbbb.. loving it",18-24,M," Thane, Maharashtra",Freelancer,May,2023,Q2
good for running cycling but while swimming HR manager is not working.. apart from that this will be good one.. but cost wise not ok,55 and above,M," Chennai, Tamil Nadu",Retired,May,2023,Q2
Good product who wants to keep track on their daily exercise. Good for running and cycling as it has inbuilt GPS and data can be exported to many 3rd party apps like strava. Only con is u cannot attach external sensors for more accurate reading.,55 and above,M," Mumbai, Maharashtra",Retired,June,2022,Q2
"Super fast delivery well done flipkart.... Nice watch as compare to any other bands, no need to charge frequently battery life is really good. Love it ☺️",Under 18,F," Vadodara, Gujarat",Student,January,2020,Q1
"Something very useful for everyone.
In today's world where health has taken a paramount importance, this product helps you take that important plunge into the world of fitness. One of the few products with built in GPS, you don't need to carry your phone to track your path.
The phone comes with 2.5 GB of useful space for storing music and apps. U can stream the music into your Bluetooth headphones, another reason to leave back your phone.
The trendy look of the watch takes it above most of th...
READ MORE",Under 18,M," Dhanbad, Jharkhand",Student,February,2023,Q1
Great buy. Accurate measurements.light on the hand. Smooth and responsive touch screen.value for money,55 and above,F," Uttar Bagdogra, West Bengal",Homemaker,June,2020,Q2
Great design. Almost weightless. Very comfortable. Rich look. Desirable Accuracy. Provide you all the details of your health at any given time. Previous data available easily. Facilitate you to sleep better at night and facilitate to keep your day time lifestyle active. Thank you Fitbit and thank you Flipkart.,18-24,M," Solapur, Maharashtra",Freelancer,September,2023,Q3
"It was one of the best fitness cum smartwatch I had but it failed twice in these 2 years of use. Overall build quality is good but over the time the lower portion of the where HR sensors are located worn off as they are made of light plastic. Some other watches in same range by samsung, garmin and Huawei uses ceramic bottom which ensures the durability of the watch. 1st time I had a battery issue and they replaced it in warranty and now within a year HR sensor is gone. Watch is working though...
READ MORE",55 and above,M," Gurugram, Haryana",Retired,May,2022,Q2
Good product as a fitness tracker,35-44,M," Gadag, Karnataka",Working Professional,August,2021,Q3
"good product but I have not been able to load music in the watch. need to sort out this, rest everything is absolutely worth .....",35-44,M," Jaipur, Rajasthan",Working Professional,August,2024,Q3
"Initially it was working after 1 week it stopped working. Look wise, it look like very cheap.",Under 18,M," Bhulepur, Uttar Pradesh",Student,April,2022,Q2
Fantastic product,35-44,M," Surat, Gujarat",Working Professional,December,2024,Q4
Good watch,55 and above,F," Jaipur, Rajasthan",Homemaker,November,2022,Q4
"Not upto the mark..watch is Una, Himachal Pradeshble to track heart rat and steps taken in a day .even after several troubeshoots, the problem persists..also fitbit dont even have a singke servuce centre in india..so totally disappointed with the product..not recommended to buy",Under 18,F,"  Pune, Maharashtra",Student,March,2022,Q1
"I got used Product, with some scratches and NO SEAL ON BOX, now it stopped working. Money waste, Just PATHETIC.",Under 18,M," Lucknow, Uttar Pradesh",Student,November,2022,Q4
error message to update the firmware but never disappears,Under 18,M," Mapusa, Goa",Student,June,2021,Q2
"It is only after setting up that I realised that the 2 wrist bands supplied with the watch are small in size. As per the list of accessories fitbit Ionic is supplied with one Large and one small band. the accessories could have been tampered by the seller.Moreover the bands colour was grey, while the one I ordered was black.this is my first day post purchase until now the electronic unit seems to be fine.there should be a provision to rate the sellers as well.there was no tags or barcod...READ MORE",18-24,M," Greater Noida, Uttar Pradesh",Working Professional,May,2020,Q2
Good one,25-34,F," Bengaluru, Karnataka",Homemaker,June,2022,Q2
nice product,18-24,M," New Town, West Bengal",Freelancer,November,2020,Q4
I received the product but didn't used it. as the product company seal is already torned off and the watch inside it is also full of scratches. which clearly shows that its the used product and returned the product back.,Under 18,F," New Delhi, Delhi",Student,February,2021,Q1
Does not connects to most of the android devices. buy a lates 40k phone for this.,18-24,M,"  Pune, Maharashtra",Freelancer,November,2022,Q4
Received low quality,55 and above,F," Bengaluru, Karnataka",Working Professional,August,2022,Q3
confused on the originality of the product. not worth for the huge amount,18-24,M," Kodaikanal, Tamil Nadu",Working Professional,February,2021,Q1
"I bought this watch in June 2018. After 9 months of use, the HR sensor has malfunctioned. Also, the watch doesn't sync easily with the phone and show the wrong time.
REGRET PURCHASING IT. Go for Garmin or Apple.
Don't waste your money on this.
THERE IS NO FITBIT SERVICE CENTRE HERE IN INDIA. All they do is suggest some troubleshooting, over messages.

My watch is now just a piece of junk. The 1-year Warranty is a JOKE.

Check @Fitbit @Fitbitservice tweeter page for the videos and screenshot...
READ MORE",35-44,M," New Delhi, Delhi",Freelancer,December,2021,Q4
"Fitbit Ionic is not a reliable product. It looses GPS signal very frequently and also counts steps while the wearer is stationary. The solution given by the customer support (at least they are reachable unlike the other cheaper Chinese devices) is to restart the device or reset the device. So you miss recording the stats you bought the watch for! It is very disappointing product and I am writing this review to save others from getting trapped into buying this costly gadget. It is not that I w...
READ MORE",45-54,F,"  Pune, Maharashtra",Homemaker,September,2022,Q3
Good Product,25-34,F,"  Pune, Maharashtra",Homemaker,January,2023,Q1
"Problem in getting the notification on phone, battery back up is fine... Counts steps accurately.. Sleep bifurcation is fantastic. REM sleep is well captured you can relate.",25-34,M," New Delhi, Delhi",Freelancer,November,2021,Q4
"genius and good product , timely delivered",55 and above,F,"  Pune, Maharashtra",Homemaker,July,2023,Q3
be careful in buying fitibit as they don't have service centre in India and they frustrate you if anything happens to your Fitbit...no customer friendly policy,55 and above,F,"  Pune, Maharashtra",Homemaker,November,2024,Q4
perfect product by Fitbit...thanks flipkart for on time delivery.,Under 18,M," Lucknow, Uttar Pradesh",Student,May,2020,Q2
great feeling to wear it I feel like a celebrity,55 and above,M," Greater Noida, Uttar Pradesh",Retired,June,2021,Q2
I have been using it for the last 10 days. Battery backup is really very good. Tracks every activity properly. Coach is good to have. Keeps pushing me harder to reach my daily goals & also motivates me from time to time with new achievements... overall satisfied with the product so far.,18-24,M," North Twenty Four Parganas District, West Bengal",Freelancer,December,2020,Q4
Product is buyable and nice. would be more good if the motion sensor and touch could have been made more sensitive.,18-24,M," Jaipur, Rajasthan",Freelancer,November,2024,Q4
nice product,25-34,M," Cuttack, Odisha",Freelancer,May,2022,Q2
good product,18-24,F," Navi Mumbai, Maharashtra",Working Professional,April,2020,Q2
product was faulty so had to return it. but Flipkart was prompt in Taking back return and made prompt refund.,35-44,M," Mumbai, Maharashtra",Freelancer,October,2024,Q4
It's a good product...,45-54,M," Navi Mumbai, Maharashtra",Freelancer,December,2023,Q4
Unable to connect to phone after Bluetooth restart. You Have to remove your device from your account and setup again. Horrible experience!!,18-24,M," Kolkata, West Bengal",Working Professional,May,2021,Q2
still not able to copy music,18-24,M," New Delhi, Delhi",Freelancer,June,2021,Q2
After a month of use the Smartwatch is not working at all.Neither syncing nor it is booting.Smartwatch stuck after factory reset and there is no proper support.Customer care guys keep asking on videos of troubleshooting.Better to buy Apple or other smart watch.,35-44,F," Raipur, Chhattisgarh",Homemaker,April,2023,Q2
Good smartwatch.,25-34,F," Barddhaman District, West Bengal",Homemaker,August,2024,Q3
1 star lesser for lack of calling and social networking facility!,55 and above,F," Vadodara, Gujarat",Working Professional,March,2023,Q1
awesome,35-44,M," Bengaluru, Karnataka",Working Professional,March,2022,Q1
amazing !!!,35-44,F," Hyderabad, Telangana",Homemaker,November,2022,Q4
Not worth for money.,Under 18,M," Bengaluru, Karnataka",Student,April,2021,Q2
"Light weight,Easy to wear,No issue with bluetooth connectivity.
Con: Steps are being counted while traveling in bus,bike,train and car.",Under 18,M," Alappuzha, Kerala",Student,November,2023,Q4
Android app is pathetic. It never works and does not sync with the device,25-34,M," Hyderabad, Telangana",Freelancer,December,2022,Q4
"This one is for hardcore Fitbit fans and fitness enthusiasts. However if you are a techie, you will be disappointed. I am both so am pretty indifferent towards the watch. It does not blows my mind and does not sucks either. I have to use my phone for all the smart things.

The thing is that Ionic is one hell of a fitness tracker and the detailed analysis of workout and sleep through the app is something which has become my necessity.

Apart from that when it comes to the smart features, it...
READ MORE",45-54,M," Ranchi, Jharkhand",Working Professional,May,2023,Q2
"Awesome device, got really active because of this watch.",55 and above,M," Hyderabad, Telangana",Retired,June,2021,Q2
"Flipkart delivery and after sales is always awesome, cant compare or expect same standards by Fitbit, the smartwatch are good but once you get into issue with device there will be almost zero support from Fitbit, I tried through all means to get support and finally I succeed, after thorough verification Fitbit sent a replacement from their warehouse at China, it was used and refurbished dirty soiled kind replacement and above that it was also defective, now I am asked to send that to india re...
READ MORE",18-24,M," Kalaburagi, Karnataka ",Working Professional,October,2023,Q4
Superb performance. Accuracy is at par.,25-34,M," Porbandar, Gujarat",Freelancer,July,2024,Q3
just a fitness tracker and does the job exceptionally good,35-44,M," West Godavari, Andhra Pradesh",Working Professional,August,2020,Q3
pathetic software. do not. uy. better go for android apple or samsung watches.,Under 18,M," New Delhi, Delhi",Student,February,2023,Q1
excellent from fitbit nice product,Under 18,M," Srinagar, Jammu and Kashmir",Student,September,2021,Q3
Mind blowing product. !!,35-44,M," Haridwar, Uttarakhand",Working Professional,July,2023,Q3
Fitbit should have provided more clocks faces,25-34,F," Bengaluru, Karnataka",Homemaker,March,2020,Q1
Nice product got in time.,35-44,M," Chintamani, Karnataka",Freelancer,March,2023,Q1
