Reviews for Redmi Watch,Age,Gender,Location,        Occupation,Month,Year,Quarter
Very very excellent product value for money,25-34,F," Udupi, Karnataka",Freelancer,October,2023,Q4
"Very Bad product, it was return policy, don't buy this product",25-34,M," Tirur, Kerala",Working Professional,August,2023,Q3
One of the best smartwatch,55 and above,F," Balurghat, West Bengal",Homemaker,February,2020,Q1
Nice product,25-34,M," Hyderabad, Telangana",Working Professional,February,2024,Q1
Very nice looking so cool battery 🔋 backup really good 👍,35-44,F," New Delhi, Delhi",Homemaker,April,2023,Q2
I need to use and check it for some days and give a valuable feedback,45-54,M," Tiruchengode, Tamil Nadu",Working Professional,May,2024,Q2
Nice 💯,25-34,M," Aurangabad, Maharashtra ",Working Professional,June,2020,Q2
Not fit to hand not satisfied to this price,18-24,M," Nawalgarh, Rajasthan",Freelancer,November,2021,Q4
Nice watch,Under 18,M," Amarpur, Bihar",Student,March,2020,Q1
Good products,Under 18,M," Tiruppur, Tamil Nadu ",Student,June,2023,Q2
Watch is not Taking charging and the voice deductor is not functioning properly,55 and above,F," Mathura, Uttar Pradesh",Homemaker,July,2021,Q3
"Nice product

Thanks Flipkart 🔥😊🤟",45-54,M," Kanpur, Uttar Pradesh",Working Professional,March,2023,Q1
great for me..thanks flipcart,25-34,M," Amloh, Punjab",Freelancer,March,2021,Q1
Buy this product because value for money,25-34,M," Krishnagar, West Bengal",Freelancer,September,2021,Q3
Under 3000 best smart watch super working alex,18-24,F," Kasipalayam, Tamil Nadu",Working Professional,February,2024,Q1
Overall value for money,35-44,M," Jagdishpur, Uttar Pradesh",Working Professional,June,2022,Q2
This watch is not connecting with S23 easily. Once disconnected it takes all your brain to reconnect. I can't bear this nonsense anymore. Thinking of throwing away,25-34,M," New Delhi, Delhi",Freelancer,August,2024,Q3
No quality,55 and above,F," Bengaluru, Karnataka",Homemaker,April,2024,Q2
Awesome device,55 and above,F," Faridabad, Haryana",Homemaker,September,2023,Q3
Best product in this price. Value for money.,18-24,M," Bengaluru, Karnataka",Working Professional,December,2023,Q4
Excellent and meets expections,35-44,M," Mangaluru, Karnataka",Freelancer,August,2021,Q3
Overall all good,18-24,M," Navi Mumbai, Maharashtra",Freelancer,August,2023,Q3
★★Nice Product Excellent❤❤. But Packaging need to Good. ★★,25-34,M," Muzaffarpur, Bihar",Freelancer,March,2024,Q1
"Some features like calculator and bp
monitor are not included
But overall performance is good",55 and above,F," Howrah, West Bengal",Homemaker,April,2024,Q2
Mi is the best one smart watch ⌚,25-34,F," Bijapur, Karnataka",Homemaker,November,2024,Q4
Good smart watch at reasonable price. Battery life is as advertised,25-34,M," Ongallur, Kerala",Working Professional,January,2021,Q1
God,Under 18,F," Nakrekal, Telangana",Student,November,2022,Q4
Super performance,55 and above,M," Anand, Gujarat ",Homemaker,February,2023,Q1
Very nice protected,Under 18,M," Jaipur, Rajasthan",Student,October,2023,Q4
Very happy 😁,Under 18,M," Barotiwala Industrial Area, Himachal Pradesh",Student,February,2023,Q1
Super 👍,Under 18,M," Hyderabad, Telangana",Student,July,2024,Q3
Good,18-24,F," Lar, Uttar Pradesh",Working Professional,September,2021,Q3
Awesome,Under 18,M," Batote, Jammu and Kashmir",Student,November,2024,Q4
Every thing is perfect. Best of budget smartwatch.,35-44,M," Chennai, Tamil Nadu",Working Professional,March,2020,Q1
Overall a good watch The only thing i miss that always on display.,55 and above,M," Navsari, Gujarat",Student,August,2021,Q3
Product is superb in this price range,55 and above,M," Thrikkodithanam, Kerala",Working Professional,April,2021,Q2
Fantastic picture like you disign,45-54,M," Hyderabad, Telangana",Working Professional,April,2022,Q2
It looks awesome and super watch,55 and above,F," Tirupati,Andhra Pradesh",Homemaker,April,2021,Q2
"I really like this product as a xiaomi fan.but this watch has no games 🥲.but over all this is best not bad.😊
Nice watch.",35-44,F," Habra, West Bengal",Homemaker,March,2023,Q1
There is a need to be more advanced in that some more features are needed as per the price.,25-34,M," Yavatmal, Maharashtra",Freelancer,April,2023,Q2
Product is good but activity should be in kilometres also rather than only in step.,55 and above,M," Mayurbhanj District, Odisha",Homemaker,October,2023,Q4
Must to buy,25-34,M," New Delhi, Delhi",Working Professional,December,2023,Q4
One of the best in segment,35-44,M," Surat, Gujarat",Freelancer,September,2020,Q3
Worth for the price but battery drained little bit faster,35-44,M," Aizawl, Mizoram",Freelancer,September,2022,Q3
Very nice,45-54,F," Mysore, Karnataka ",Homemaker,June,2022,Q2
"NO any Games
Average rating of tracking",25-34,M," Muzaffarpur, Bihar",Working Professional,June,2024,Q2
"The design is also very good and the battery is quite good, after using it for 8 days the battery will last for 10 days",45-54,M," Ludhiana, Punjab",Working Professional,December,2022,Q4
Good but display thickness is issue,Under 18,F," New Delhi, Delhi",Student,March,2021,Q1
"Features are super, quality is very good, worthy for amount but display is somewhat what big",55 and above,F," Hyderabad, Telangana",Homemaker,October,2024,Q4
Good for day to day usage as using with Redmi Note 13 pro..value for money as combo,35-44,M," Noida, Uttar Pradesh",Freelancer,March,2021,Q1
"Thanks, Flipkart. It's an amazing product..",Under 18,M," Bengaluru, Karnataka",Student,September,2024,Q3
Value for money product. Frame good quality plastic.Over all good .If you interested then buy without any doubts.same product received,45-54,M," Kotputli, Rajasthan",Working Professional,December,2024,Q4
Very nice product ❤️,Under 18,M," Hyderabad, Telangana",Working Professional,July,2024,Q3
Love,55 and above,M," New Delhi, Delhi",Retired,June,2024,Q2
"Fantastic product
Better than any fire-bollt or noise faltu products
LOVE THE WATCH
AMAZING display, sound, style, calling, battery ❤️",Under 18,M," Howrah, West Bengal",Student,February,2020,Q1
Nice,45-54,M," New Delhi, Delhi",Working Professional,January,2023,Q1
Awesome product.I love this product too much,35-44,F," Bongaon, West Bengal",Homemaker,November,2023,Q4
Very good product. Value for money,55 and above,F," Ahmedabad, Gujarat",Homemaker,May,2024,Q2
Good,45-54,M," Gorakhpur, Uttar Pradesh",Freelancer,March,2020,Q1
This is a value of money watch in this segment. This watch is good in activity and training.,35-44,F," Jhansi, Uttar Pradesh",Homemaker,November,2021,Q4
Nice watch,45-54,M," Baleshwar, Gujarat",Working Professional,May,2022,Q2
Superb,55 and above,M," Davanagere, Karnataka",Retired,August,2024,Q3
Nice product 👌,35-44,F," Hyderabad, Telangana",Homemaker,September,2020,Q3
Nice 👍,45-54,M," Aravallis District, Gujarat",Working Professional,January,2021,Q1
Good to go..,35-44,M," Azamgarh, Uttar Pradesh",Working Professional,February,2020,Q1
"Design and look wise its good as it resembles Apple watch. Nothing great other than this, battery lasts only 3-4 days. Got for it if you want to show off 🤭..",45-54,M," West Godavari, Andhra Pradesh ",Working Professional,April,2020,Q2
Its just fine.. battery life is okay okay..design is nice ... activity tracking is poor,55 and above,F," Dewas, Madhya Pradesh",Homemaker,April,2024,Q2
"In budget this is probably the only watch which produces accurate activity tracking especially step tracking which is important to track for fitness on a daily basis. Watch battery is superb one charge easily survives for the entire week.

One rare feature which you get in this watch is cover the dial to turn the screen off which is only present in Apple watches. A premium watch at a budget indeed.

Xiaomi trust for quality. Go for it blindly.",18-24,F," Panaji, Goa",Working Professional,July,2021,Q3
Very nice 😍,25-34,F," Gaya, Bihar ",Homemaker,May,2020,Q2
Display is not good and some more features should be there. Speaker sound is very low during calls. Battery backup is good.,25-34,F," Chandigarh, Punjab",Homemaker,October,2024,Q4
Excellent Watch.... 👍👍👍,Under 18,M," Gurugram, Haryana",Student,March,2021,Q1
Battery backup is very good,45-54,M," Thiruvananthapuram, Kerala",Working Professional,August,2022,Q3
Nice watch,35-44,F," Surajpur, Uttar Pradesh",Homemaker,April,2023,Q2
Except,25-34,F," Thoubal, Manipur",Homemaker,September,2024,Q3
Awesome product really like it,25-34,M," Bikram, Bihar",Working Professional,April,2022,Q2
Good smat watch,35-44,M," Lucknow, Uttar Pradesh",Retired,February,2022,Q1
In this rate more options available in mar,35-44,M," Bareilly, Uttar Pradesh",Freelancer,September,2021,Q3
Wow super 👌🏻 i am happy,35-44,F," Surat, Gujarat ",Homemaker,June,2023,Q2
Good watch and the OS works better and smoother than other competitors at the price range.,55 and above,M," New Delhi, Delhi",Working Professional,April,2021,Q2
The watch did'not have any good features so the features was lacking but a good watch though,35-44,F," Patna, Bihar",Homemaker,March,2023,Q1
Good,45-54,M," East Delhi, Delhi",Freelancer,September,2022,Q3
Suprb watch,45-54,M," Faridabad, Haryana ",Freelancer,January,2020,Q1
This good battery life and good performance,45-54,M," Chikiti, Odisha",Working Professional,December,2023,Q4
Nice product,55 and above,M," Begusarai, Bihar",Retired,March,2024,Q1
It's a good product superb,18-24,M," Bengaluru, Karnataka ",Working Professional,December,2024,Q4
Is ok,18-24,M," Cherukavu, Kerala",Working Professional,November,2022,Q4
Battery backup very bad only 4 to 5 days,35-44,M," Birbhum District, West Bengal",Working Professional,April,2020,Q2
Good product and battery back up is up to the Mark.,18-24,M," New Delhi, Delhi",Freelancer,August,2020,Q3
Good,45-54,F," Krishna, Andhra Pradesh ",Homemaker,September,2020,Q3
"Nice product and good battery backup. Performance is good.
Activity tracker works well.",35-44,M," Tiruchitrambalam, Tamil Nadu",Freelancer,November,2020,Q4
Nince value of money,45-54,F," Madikonda, Telangana",Homemaker,December,2021,Q4
Thanks redmi for a wonderful smartwatch in this price.,25-34,M," Chandausi, Uttar Pradesh",Freelancer,January,2023,Q1
"Writing after 45 days use...

Best premium watch ever in this price range.....

What a battery backup....
Smooth..
I love it very much",25-34,M," Chennai, Tamil Nadu",Working Professional,September,2024,Q3
Good sense watch ⌚.,55 and above,M,"  Pune, Maharashtra",Retired,September,2022,Q3
Very good,Under 18,M," Surat, Gujarat",Student,May,2024,Q2
Osm product,45-54,F," Mumbai, Maharashtra",Homemaker,February,2021,Q1
Got my first smart watch and this is only what i needed.perfect.,35-44,F," Viluppuram District, Tamil Nadu",Homemaker,August,2020,Q3
BATTERY 🔋 PERFORMANCE VERY POOR,35-44,M," Palacole, Andhra Pradesh",Freelancer,February,2020,Q1
Good,45-54,F," Coimbatore, Tamil Nadu ",Homemaker,May,2022,Q2
Nice 👍,Under 18,M," Rohru, Himachal Pradesh",Student,March,2021,Q1
Nice,18-24,M," New Delhi, Delhi",Working Professional,March,2022,Q1
Super product,25-34,M," Kanniyakumari District, Tamil Nadu",Freelancer,June,2020,Q2
Tracking is good but display is not good. Customize wallpaper option is not available 😔,25-34,F," Vizianagaram, Andhra Pradesh",Homemaker,June,2023,Q2
Very nice,55 and above,M," Bhavnagar, Gujarat ",Retired,June,2021,Q2
Super,Under 18,F," Raichur, Karnataka ",Student,January,2023,Q1
Awesome,18-24,M," Gonda, Uttar Pradesh",Freelancer,May,2022,Q2
Good quality but watch attach issues,18-24,F," Mohali, Punjab",Working Professional,March,2022,Q1
"Skips data, steps/distance and calories accuracy not correct. App and operating softwares need to be updated for accuracy. App fail to fetch data sometimes.",18-24,F," Hubli, Karnataka",Freelancer,August,2020,Q3
All good design as super but battery is draining fast while connecting to phone,35-44,M," Bengaluru, Karnataka",Working Professional,July,2022,Q3
Nice 👍,35-44,M," Dehrisaray, Madhya Pradesh",Working Professional,December,2022,Q4
"This price ok product....quality is good...
I'm very happy....

Amar ai watch ta onek balo laglo... Oswm",Under 18,F," Shillong, Meghalaya",Student,August,2022,Q3
Nice product,25-34,M," Tumkur, Karnataka ",Freelancer,May,2020,Q2
Every good,Under 18,F," Wanaparthy District, Telangana",Student,August,2020,Q3
Very bad quality and not any response after sale products,35-44,M," Jagraon, Punjab",Freelancer,August,2020,Q3
Excillent watch,Under 18,M," Shahid Bhagat Singh Nagar District, Punjab",Student,July,2020,Q3
Very bad product Screen line problem after one month,25-34,M," Doda District, Punjab",Working Professional,November,2021,Q4
Nice product,35-44,M," Doraha, Punjab",Freelancer,November,2020,Q4
Good quality,35-44,M," Purnia, Bihar",Working Professional,May,2023,Q2
Amazing product,45-54,F," Gwalior, Madhya Pradesh",Homemaker,January,2022,Q1
Good,35-44,M," Salempur, Uttar Pradesh",Working Professional,August,2021,Q3
"Very simple features, and battery runs only 2 days with normal use. Misleading specifications mentioned on flipkart. Really disappointing...",55 and above,M," Deoria, Uttar Pradesh",Retired,March,2023,Q1
Good,Under 18,M," Krishna, Andhra Pradesh ",Student,December,2020,Q4
Good,18-24,M," Trivandrum, Kerala",Freelancer,October,2020,Q4
Good product and amazing delivery flipkart,25-34,M," Chennai, Tamil Nadu",Homemaker,February,2022,Q1
Good,55 and above,F," Sehara, West Bengal",Homemaker,September,2023,Q3
Everything is superb,18-24,F," Lucknow, Uttar Pradesh",Working Professional,July,2021,Q3
First' look osm really in this price range so wonderful watch must buy....😍😍😘,25-34,F," Dehradun, Uttarakhand",Homemaker,August,2023,Q3
"The Best Budget Smart watch to buy..
Don't hesitate.. Go for it.

❤❤❤❤",45-54,F," Garshyamnagar, West Bengal",Homemaker,November,2022,Q4
Superb quality smart watch,25-34,F," Begusarai, Bihar",Homemaker,April,2020,Q2
Perfect!,55 and above,M," Rajgarh Churu District, Rajasthan",Homemaker,December,2023,Q4
"Reviewing after 4 Days usage of this Redmi Watch..After keeping an Eye for more than a few months on all smartwatches just got the best and super quality Smart Watch.
It's Screen Resolution is Amazing and Brightness is decent even under Sunlight.
It's Display Quality is stunning and battery Backup are also good. Auto Brightness Features are also there so it can Save lot of Battery. You can Access your all Social Networking apps in a notification and control your musics. Strap Quality are also...
READ MORE",Under 18,M," Varanasi, Uttar Pradesh",Student,March,2024,Q1
"Superb quality amazing watch i like it so much
Super fast delivery with in 22 hours",55 and above,M," Raigarh, Chhattisgarh",Retired,March,2022,Q1
Very nice watch,55 and above,F," Varanasi, Uttar Pradesh",Homemaker,January,2021,Q1
Excellent worth for money,35-44,M," Chennai, Tamil Nadu",Freelancer,November,2022,Q4
"Just loved🙂, and the way of packaging was too gud",35-44,F," Bengaluru, Karnataka",Homemaker,September,2020,Q3
"I loved it 😍 attractive design, display quality is quite good and touch is working smoothly. Over all I love this watch at this price range. Material used by MI is also quite impressive.

Following are the pro of this watch
- light weighted
- quality material
- display quality
- accuracy of activities and heart rate
- entire notification text on screen
- more than 200 watch faces
- look and feel",35-44,M," Mumbai, Maharashtra",Freelancer,July,2023,Q3
Super watch,18-24,F," Srikakulam, Andhra Pradesh",Working Professional,April,2023,Q2
Awesome watch.light weighted nd strap quality is awesome.,25-34,F," Noida, Uttar Pradesh",Working Professional,December,2021,Q4
Received today only .. Looks beautiful with a crisp display.. Size is perfect for women.. Power dropped from 100 to 95 within an hour with all notification and HR monitoring.. Turned off AHR n most of notification to save battery..,55 and above,F," Kolkata, West Bengal",Homemaker,February,2021,Q1
"Pros
Attractive design
Lightweight, comfortable strap
Simple, easy to use UI
Tons of great watch faces
Built-in GPS
iOS support
Cleverly designed charger

Cons
Display lacks always-on mode; cannot be woken up by touch
Raise to wake gesture is slow and somewhat unreliable
Limited workouts supported
Inaccurate sleep tracking
No continuous heart rate monitoring option
No blood oxygen saturation monitoring
Watch faces take ages to transfer; can only be stored three at a time",18-24,F," Madurai, Tamil Nadu ",Working Professional,January,2023,Q1
Good looking and worth at this price point,25-34,M," Jhansi, Uttar Pradesh",Working Professional,December,2020,Q4
"Thanks u flipkart to deliver this watch within 20 hours. I’m using these last 9 days. It is the most elegant smartwatch within this price range. It has an awesome look, both the body and the strap is well design. It has a 1.4-inch, 320 x 320 resolution IPS LCD type display and touching is working smoothly.

1. I got this product with 35% of battery life. Then drain it fully by using non-stop GPS as well as 24x7 (/min) heart rate with all notification etc etc.. Then charge it to 100%, its las...
READ MORE",25-34,F," Guwahati, Assam",Working Professional,September,2024,Q3
"Pakeging and quality of product is very nice,time taken for delivering is also appreciable.I'll describe the complete reveiw about product after using a weak at least.",55 and above,M," Samastipur, Bihar",Retired,July,2022,Q3
Awesome Smartwatch but size is little bit small,18-24,M," Sakti, Chhattisgarh",Working Professional,January,2021,Q1
Good one,Under 18,F," Patna, Bihar",Student,February,2023,Q1
Worthy,35-44,F," Anantapur, Andhra Pradesh",Freelancer,March,2022,Q1
Nice product 😍😍,35-44,M," Arwal District, Bihar",Working Professional,April,2021,Q2
Impressive 👍. Good looking,18-24,M," Saharsa, Bihar",Working Professional,August,2023,Q3
"Full marks for design and built.

Data not very accurate.

Overall not very impressive.",45-54,M," Pimpri Chinchwad, Maharashtra",Freelancer,March,2023,Q1
It's good👍,55 and above,F," Bengaluru, Karnataka",Homemaker,August,2022,Q3
"Amazing, looks really cool. Great price, totally worth it. Redmi never disappoints me. 😍",45-54,F," Bhubaneswar, Odisha",Homemaker,September,2023,Q3
The best,Under 18,M," Hosur, Tamil Nadu",Student,January,2023,Q1
Good Product,55 and above,M," Ambikapur, Chhattisgarh",Retired,April,2020,Q2
"In look it is amazing😍👍🤩🤩🤩... It's very helpful to tracking your goals like.... Running , skipping & extra... Daily routine work out. Features are good. 😍😍 . I loved it",Under 18,F," Chhapar, Rajasthan",Student,October,2021,Q4
"Reviewing after 2 days usage of this redmi watch..watch looks premium awesome quality.
everything is good and working fine.
Display is good even in day light
Fitness trackers are also good
You can only view notification
Music control and inbuilt gps
If u dont need amoled display and Spo2 feature.
Redmi watch is best in this price.
Recommended to all.",35-44,M," New Delhi, Delhi",Working Professional,December,2023,Q4
Worth,18-24,F," Chennai, Tamil Nadu",Working Professional,December,2023,Q4
Awesome product,35-44,M," Orai, Uttar Pradesh",Freelancer,October,2020,Q4
Best,25-34,M," Latur, Maharashtra",Working Professional,May,2023,Q2
"Pros:
1- Ergonomic aesthetics.
2- GPS enabled ( works fine )
3- Easy User interface.

Cons:
1- Screen quality is really cheap.
2- Battery last for maximum 5 days.
3- SpO2 missing
4- Very less sports tracking modes.
5- Can't be used to click photos.
6- Bluetooth unstable (Always Disconnecting Notification)
7- Touch quality is also bad.
8- No PAI Scores.
9- Many flaws in Xiaomi wear app.

This product is good under 3000. You can opt for Amazefit or Realme under 5k.",35-44,F," Shahjahanpur, Uttar Pradesh",Homemaker,September,2021,Q3
"[1]The price should be around 3499rs.[2] Extraordinary GPS fearture which is the ""VERY HIGH SECURITY FEATURE"" OF TRACKING THE SMART WATCH WEARING PERSON/KIDS, F on Xiaomi Wear app,even when Smart watch bluetooth disconnected from Mobile Xiaomi Wear app. Smart watch Bluetooth automatically Reconnect to Mobile when return from out-of coverage area UNLIKE BOAT SMART WATCH.Thanks to Xiaomi for providing Very High-quality product @ Very Economical price to Indian's",Under 18,M," Secunderabad, Telangana",Student,February,2021,Q1
"Worth the money. Price is decent, a class design",55 and above,M," Hyderabad, Telangana",Retired,July,2022,Q3
"Great watch by redmi and excellent job by Flipkart for delivering this product on time. The display & tracking feature on this device blew me away.

Impressions after 1 week usage
Good stuff
- bright & colourful display
- A-gps for outdoor tracking

Not so good
- SpO2 sensor missing
- sleep tracking not detailed and in-app features missing

If this is your first fitness band, just go ahead and make this purchase",45-54,M," Bengaluru, Karnataka",Freelancer,March,2022,Q1
Super watch,35-44,M," Markapur, Andhra Pradesh",Working Professional,November,2022,Q4
"Using the watch for 3 days. Good battery life, good screen resolution even under bright sunlight. Other features are common to all smartwatches but SPO2 absent is a main drawback. Price should be in the range of Rs 3000, overpriced.",18-24,F," Kolkata, West Bengal",Working Professional,November,2021,Q4
Amazing product,Under 18,M," Basti, Uttar Pradesh ",Working Professional,March,2020,Q1
"Build Quality is just wow. As expected from Mi. I would have given 5 star if it has SPo2, as it is a must have feature during this COVID Pen, Maharashtradamic. Other than this the perfect device in this price range.",Under 18,M," Jamshedpur, Jharkhand",Student,March,2022,Q1
"Thank You Flipkart for Fast Delivery service.😍
Super Built Quality
Nice product
Display is very good
Nice battery Backup
Skin friendly Tpu material Traps
Final word Just like Super
5/5 Rating",18-24,M," Somandepalle, Andhra Pradesh",Working Professional,September,2021,Q3
Superbb quality,55 and above,M," Bengaluru, Karnataka",Retired,January,2023,Q1
Very nice watch,45-54,M," Navi Mumbai, Maharashtra",Freelancer,February,2021,Q1
"fabulous product.
Awesome look and design
Thanx flipkart for fast delivery",25-34,M," Darbhanga, Bihar",Working Professional,June,2020,Q2
great watch !!,35-44,M," Bindki, Uttar Pradesh",Freelancer,September,2024,Q3
Thank u for Redmi brand nd thank fr Flipkart I luv it watch wit GPS nd all types of Specs nd display too 😍,55 and above,F," Bengaluru, Karnataka",Homemaker,January,2023,Q1
Awesome watch,45-54,F," Mohali, Punjab",Working Professional,September,2020,Q3
Nice 🔥🔥,Under 18,M," Siswa Bazar, Uttar Pradesh",Student,March,2021,Q1
Nice watch,45-54,M," Surat, Gujarat",Working Professional,November,2021,Q4
Nice Product. Value For Money,25-34,M," New Delhi, Delhi",Freelancer,July,2023,Q3
Nice product....,Under 18,M," Gurugram, Haryana",Student,October,2022,Q4
Nice one...,55 and above,M," Nipani, Karnataka",Retired,December,2022,Q4
Good product,45-54,M," Hyderabad, Telangana",Working Professional,June,2021,Q2
"Was very confused between Amazfit Bip U, this Redmi Smart watch and GOQii Smart Vital. Still, went with Redmi as I trusted it for its brand value. But feel, may be I could have chosen Amazfit Bip U for it has more features, workout options and Gorilla glass. Finally Settled with Redmi for it has inbuilt GPS but no Oximeter. That is the major difference between the two. Depends on what is your need. But find no fault as of now in Redmi, all fine.",Under 18,M," Chennai, Tamil Nadu",Student,May,2021,Q2
"Redmi Smart watch
Initially it feels good and impressive
Material is so good
Dail size small and and compact with my wrist
Display quality much better
Charging very fast takes around 1hr30m
My friends impressed to see this
I'll give my review after 7 days
Thanks Redmi",55 and above,M," Jagatsinghapur District, Odisha",Retired,October,2020,Q4
Awesome watch..... Go for it without any hesitation..... Superior touch and display.... Bright punchy colors accurate trackers vibrant watch faces I have attached some of these...... Highly satisfied..... By the way buy black colour as it looks most premium of all... Kudos. 🙂🙂,25-34,F," Ghaziabad, Uttar Pradesh",Homemaker,February,2020,Q1
"First Impression is very Good
I Taught Blue will be an Odd colour But after receiving product,it looks Good to my hand...",55 and above,M," Visakhapatnam, Andhra Pradesh",Retired,February,2021,Q1
Nice product... activity tracker is too,Under 18,M," Bengaluru, Karnataka",Student,August,2024,Q3
One of Best Watch on This Price,18-24,F," Bhubaneswar, Odisha",Freelancer,October,2022,Q4
Awesome 😎 experience with redmi watch,Under 18,M," Rudrapur, Uttarakhand",Student,October,2021,Q4
Superb watch. Go for it blindly,45-54,M," Pimpri Chinchwad, Maharashtra",Working Professional,July,2023,Q3
Super,55 and above,M," Bengaluru, Karnataka ",Retired,September,2021,Q3
Great battery life,Under 18,M," Manugur, Telangana",Student,January,2023,Q1
Excellent product 😍😍👌👌,45-54,F," Thane, Maharashtra",Homemaker,October,2020,Q4
Watch properly working excellent,45-54,M," Nandigama, Andhra Pradesh",Working Professional,January,2021,Q1
Good Product,18-24,M," Navi Mumbai, Maharashtra",Freelancer,October,2020,Q4
Excellent features in best price,Under 18,M," Mysuru, Karnataka",Student,April,2021,Q2
Good quality good looking 😍,18-24,F," Mysuru, Karnataka",Working Professional,August,2022,Q3
"Simply wow. Amazing smarth watch. Looks is stunning.Heart Rate monitoring in accurate and many watch faces are there.
I think there is no cons in this watch. Many people say there is no spo2 sensor but you can't rely on any smart watch spo2 sensor. Better you use oximeter. Battery is decent. It takes 2 hours to full charge. Display is much better than other smart watch. In outdoor display is very much visible. Auto brightness feature is also there so it can save lot of battery.",45-54,M," Bijni, Assam",Working Professional,May,2021,Q2
Superb,18-24,M," Sambra, Karnataka",Freelancer,June,2022,Q2
Ocms product..... Designed mst,25-34,M," Anugul, Odisha ",Freelancer,April,2022,Q2
Design awesome,25-34,M," Bengaluru, Karnataka",Working Professional,February,2023,Q1
"It's an amazing watch with in this segment how ever features gps is somewhat I've choosed it . One small drawback this watch doesn't have camera switch for phone, overall I could suggest you could consider this product as good for tracking sleep at night time but in day it won't work well night sleep track is great",Under 18,F," Hyderabad, Telangana",Student,May,2022,Q2
I usually like redmi products... It's nice y I'm Given 4 is one Bajaj suraksha i didn't add and it automatically got added inspite of removing it... Flipkart should remove that thing ... Saying about the product..it's nice .. there is no phone call and all from it but still a simple and quality product by redmi 🤞,18-24,M," Tadepalligudem, Andhra Pradesh",Freelancer,April,2024,Q2
"Nice watch 🤍
It's look premium...
It is good for thin wrist...",Under 18,F," Mubarakpur, Uttar Pradesh",Student,December,2022,Q4
Left one star only coz no SP02 tech. Otherwise faadu smart watch,Under 18,F," Rasulabad, Uttar Pradesh",Student,July,2023,Q3
Nice watch,55 and above,M," Maldah, West Bengal",Retired,August,2020,Q3
"First time using smart watch & met my expectations.
Used more than 10 days on single charge (as claimed by this company) so battery life is good.
Inbuilt GPS is advantage for this price range.
SP02 doesn't need since all smart watch company claims that these are not medical devices.",55 and above,M," Kanchipuram, Tamil Nadu",Retired,May,2020,Q2
"One of the best budget smart watches in the market. Redmi has nailed it in terms of design and durability. The straps feel premium and extremely comfortable and the matt finish of the watch looks classic giving it a minimal yet elegant look. The display is bright enough for sunny days and is also adjustable. The built-in GPS is pretty accurate, letting you do your outdoor workout with an ease. The quick pairing and connectivity to your phone is also hassle free. The battery life is also very ...
READ MORE",45-54,F," Mumbai, Maharashtra",Homemaker,December,2022,Q4
