Reviews for Fireboltt,Age,Gender,Location,        Occupation,Month,Year,Quarter
Awesome product at best price features are too good.,18-24,M," Patna, Bihar",Freelancer,March,2021,Q1
Good and value for money,45-54,M," Gulbarga, Karnataka",Working Professional,January,2021,Q1
Attractive dial. Comfortable to wear. I love the calling function. You can call and receive through smartwatch. I ordered gold color which is looking so awesome and different. Touch works good. Overall best product in this price. I am happy after buying this product. Thanks.,18-24,F," Varanasi, Uttar Pradesh",Freelancer,July,2024,Q3
"Very pretty and beautiful features are also nice and Watch looks so good...
I am happy for this product 🤩",Under 18,F," Kanpur, Uttar Pradesh",Student,June,2024,Q2
Good product.... Worth it 😀,55 and above,F," Hyderabad, Telangana",Homemaker,October,2024,Q4
"Very nice, Everything is working fine. Sound is very loud and excellent.",25-34,M," Vijayawada, Andhra Pradesh",Freelancer,June,2021,Q2
"Screen is very prone to scratch, Do not remove the pre-applied plastic guard. I highly recommend to apply a tempered glass or rather order a screen guard along with the watch.
This thing aside, After 1 Month Reviewing it:
Pros:
1.Nice and Bright Display, visible in sunlight also.
2.UI is smooth, honeycomb app drawer and other swipe gestures work fluently.
3.Heart Rate and Sp02 Works fine, but in serious conditions consider medical grade equipments.
4.Watch Faces are nice, camera shutter, mus...
READ MORE",55 and above,M," Maslandapur, West Bengal",Retired,October,2021,Q4
"60 heads display I feeling so speed and so smooth easy to connect the phone on Bluetooth and app Da Fit
Totally I satisfied 💖😃",55 and above,M," Azhikode, Kerala",Retired,January,2024,Q1
Really suit with my personality ☺️ classy product 👍 go for it,Under 18,F," Kokrajhar, Assam",Student,February,2023,Q1
Awesome👍👍,Under 18,M," Vasai Virar, Maharashtra",Student,March,2020,Q1
Good product 👍,18-24,M," Berhampore, West Bengal",Working Professional,March,2020,Q1
Good product,18-24,M," Sambalpur, Odisha",Freelancer,October,2024,Q4
"Preety good. Value for money
Looking too good Display Is also too good...",Under 18,M," Rohtas District, Bihar",Student,April,2023,Q2
"M in love with this product, i reviews this after use of 1week ..OMG What A battery 🔋 i received this on 16-6-22and today is 26-6-22in ten days of use its battery is stil 75%.
Overall to good display,To much Function for This price range,
Total value for money 💰 for every type of users,,,
I fully recommend it,, Thanku #FIRE BOLT Thanx Flipkart",25-34,M," Saharsa, Bihar",Freelancer,November,2022,Q4
Awesome product overall,45-54,F," Bhubaneswar, Odisha",Homemaker,December,2022,Q4
Outstanding 👍,Under 18,F," Sonipat, Haryana",Student,February,2023,Q1
Very nice super watch,18-24,M," Chennai, Tamil Nadu",Freelancer,June,2023,Q2
Good 👍,Under 18,F," Kolkata, West Bengal",Student,December,2020,Q4
Good,Under 18,M," Bengaluru, Karnataka",Student,November,2021,Q4
Good product,25-34,F," Visakhapatnam, Andhra Pradesh",Homemaker,September,2023,Q3
"Macho looks...but from few days it's loss his colour.
Colour got choked",18-24,M," Shyamnagar, West Bengal",Freelancer,September,2024,Q3
"Excellent smart watch, it's really value for money, design is good.bluetooth calling is also good.you can play music via bluetooth.",45-54,F," Bhilwara, Rajasthan",Homemaker,March,2020,Q1
Fire Boltt Talk such an amazing watch loaded with great features.looking awesome and performance is good.it is a decent and durablesmart watch for the price range.go for it blindly without any hesitation if u r looking for a smart watch with all features under ur budget.,18-24,M," East Godavari, Andhra Pradesh ",Freelancer,January,2024,Q1
Very nice watch,45-54,M," Pimpri Chinchwad, Maharashtra",Freelancer,May,2020,Q2
The watch is superb and the working in good of heart rate and calling is superb and good qualified is sound of watch calling time.... And the touch is wonderful of watch,45-54,M," Moradabad, Uttar Pradesh",Working Professional,October,2024,Q4
"I'm reviewing this product after 20days use.
1.looks are good
2.battery also doesn't drain fast.
3.Speaker stopped working.",55 and above,M," Nashik, Maharashtra",Retired,December,2023,Q4
Excellent,25-34,M," Ratnagiri, Maharashtra",Working Professional,November,2023,Q4
I'm fully satisfying with this product. It's also stylish & round shape makes this classy. Calling quality is also is a remarkable in this phone. Sound is remarkably louder than I thaught. Display quality is also good. But it have to handle carefully during heavy rain cause it's not waterproof purely. Plus I can listen songs makes me happy. Backup timing lill disappointing.. But... Over all in this price range it's a great deal.,Under 18,M," Adra, West Bengal",Student,March,2020,Q1
Nice product,45-54,M," Varanasi, Uttar Pradesh",Freelancer,December,2021,Q4
An uber cool watch with awesome calling feature. it beats all other smart watches. its very easy to do calling to you friends n family. I recommend it to everyone,45-54,M," Navi Mumbai, Maharashtra",Freelancer,November,2022,Q4
"It is very good 👍 product in an average price very happy to buy it and very nice and good quality 😀 awesome games and nice touch built quality of the watch gives it awesome look
Thank you
Flipcart",Under 18,F," Kaij, Maharashtra",Student,June,2022,Q2
"""Best budget smart watch
Fire Bolt talk is a great smart watch that allows you to make and receive calls. Its Bluetooth calling is v clear, Mic is clear Speaker is also clear and its Easy to make and receive calls""",Under 18,F," Yamunanagar, Haryana",Student,August,2023,Q3
"This fireboltt smart watch was very nice and also best in price

Using since 1 day it is showing better performance and accurate information",Under 18,M," Bengaluru, Karnataka",Student,May,2021,Q2
"Review after 7 days of use.. Battery is at 40% from the full charge with calling feature Off. BP, HR, SP02 works well.. You cant cotrol music volume. and i cant silent the incoming voice call using watch. Build is Sturdy coz of metal casing. And its somehow heavy to wear. You get almost 200 of watchfaces in the app.",18-24,M," Ghugus, Maharashtra",Freelancer,August,2020,Q3
Value for money product,25-34,M," Bengaluru, Karnataka",Working Professional,April,2020,Q2
Nice watch. Amazing features and awesome product.,Under 18,M," Rishikesh, Uttarakhand",Student,June,2021,Q2
Nice..... product,18-24,M," Barshi, Maharashtra",Working Professional,April,2024,Q2
This product is good and satisfying product in this price sigment. I would prefer you all to for purchase this smart watch on this price point. I m happy with this.,35-44,M," Parasi, Uttar Pradesh",Working Professional,May,2024,Q2
Screen size little bit more then its goods and screen resolution also little bit improve all others feature good and its value of money overall design good and battery life will explain after 1 week to check. Also watch faces need to improve,18-24,M," Bengaluru, Karnataka",Working Professional,June,2021,Q2
LIKED IT,45-54,F," Shivamogga, Karnataka",Homemaker,July,2020,Q3
It is good and value for money,35-44,F," Kunigal, Karnataka",Freelancer,June,2024,Q2
Fantastic,25-34,M," Lucknow, Uttar Pradesh",Freelancer,August,2023,Q3
Affordable product with great features.,Under 18,M," Athiyannur, Kerala",Student,July,2022,Q3
Very nice looking,18-24,M," Hathua, Bihar",Freelancer,August,2020,Q3
"After using 10 days I writing this review.
Pro-
1- bluetooth calling
2-BP monitor
Cons-
1-step tracking is no correct
Other features are very good 👌👌👌👌👌",Under 18,M," Allahabad, Uttar Pradesh",Student,September,2022,Q3
Super mind blowing.... Good qawwali.....,55 and above,M," Kurnool, Andhra Pradesh",Freelancer,November,2023,Q4
"Best quality nd supar features
Fire Boltt talk is a supar smart watch😍",18-24,F," Aurangabad, Maharashtra",Working Professional,February,2022,Q1
Lovely smart watch... battery 🔋 backup is too good .. value for money..i love this watch,45-54,M," Mumbai, Maharashtra",Freelancer,April,2024,Q2
Comfortable and low wait watch. Looking good and price is awesome. No any problem that’s really good and amazing.,55 and above,M," Central Delhi, Delhi",Retired,January,2021,Q1
Best smart watch ever,18-24,F," Kolkata, West Bengal",Working Professional,April,2021,Q2
Very Nice product,18-24,M," Gautam Buddha Nagar, Uttar Pradesh",Working Professional,January,2021,Q1
"Great design... Value for money... Excellent battery backup... Nice features... Simply loved it ☺️... #happy customer
But now its not working",45-54,M," Kakkanad, Kerala",Freelancer,January,2022,Q1
"Superb...!!! Superb...!!! And Just Superb...!!! 😊 👍

Thanks to Fire Boltt for Making such a nice and wonderful product.... Really...!!! 👌

Thank You.... Flipkart..!! 😊",45-54,M," Ahmedabad, Gujarat",Freelancer,February,2023,Q1
Good product,Under 18,F," Azhikode, Kerala",Student,August,2023,Q3
Good product...,Under 18,F," Sahibganj, Jharkhand",Student,October,2021,Q4
Best watch in this range satisfied with this product,18-24,F," Bhiwadi, Rajasthan",Working Professional,May,2020,Q2
"Great Watch . Adding the personal wallpaper to the watch face make it as special and reusable for various occassions.

Money for value product . 🙂",45-54,M," Baramati, Maharashtra",Freelancer,May,2021,Q2
Nice,45-54,F," Vinnamala, Andhra Pradesh",Homemaker,October,2024,Q4
This watch is amazing I love this watch I will give 10 out of 10 rating to this watch and fireboltt is a amazing brand,25-34,F," Lucknow, Uttar Pradesh",Homemaker,March,2024,Q1
"Overall good one, but I have few disappointments with price and some features - hence 3 star. Good/known brands do not give bluetooth phone feature in this price range. I am listing the cons which I am aware of. You may consider all other advertised features as pros.

Cons:
1. Only 8 contacts can be added to watch. Even caller ID of other contacts in phone will not be visible in watch.
2. Sometimes, I faced screeching noise with phone calls.
3. Competitor website has similar product for mo...
READ MORE",18-24,M," Kangeyam, Tamil Nadu",Freelancer,August,2020,Q3
Excellent watch... Awsm i love this...,18-24,M," Anugul, Odisha",Working Professional,September,2020,Q3
Nice best good quality very very nice values for money easy installation for watch nice very good products.,35-44,M," Kalyan, Maharashtra",Working Professional,May,2024,Q2
Nice,18-24,M," Anakapalle, Andhra Pradesh",Freelancer,December,2022,Q4
Very good,25-34,F," Kurnool, Andhra Pradesh",Homemaker,November,2024,Q4
"Very good product
Very attractive watch
Many features",55 and above,F," Deulgaon Raja, Maharashtra",Homemaker,February,2024,Q1
"Such a good product from fire boltt.
Truly a value for money in this price range with great feature ❤.
I am suggesting that you should buy this watch with amazing features.
Very Happy to buy this amazing smartwatch. 🔥🔥",Under 18,M," Bilhaur, Uttar Pradesh",Student,June,2020,Q2
Good product 😄,55 and above,M," Chhota Suzapur, West Bengal",Retired,June,2023,Q2
Good product ❤️🔥,18-24,F," Agra, Uttar Pradesh",Working Professional,August,2023,Q3
Nice product value for money ☺️☺️,35-44,F," Varanasi, Uttar Pradesh ",Homemaker,April,2024,Q2
"I love this best smart watch 🥰
Cheap and best quality",55 and above,M," Jhumri Tilaiya, Jharkhand",Retired,April,2024,Q2
Very good,55 and above,M," Ballia, Uttar Pradesh ",Retired,May,2021,Q2
This is my first smartwatch and I like it ❤️,45-54,M," Mathura, Uttar Pradesh",Working Professional,June,2021,Q2
"I liked this watch, it is soo beautiful and a very good product",25-34,F," Bengaluru, Karnataka",Homemaker,February,2023,Q1
The strap could be better otherwise it's a good choice,18-24,M," Mumbai, Maharashtra",Freelancer,February,2021,Q1
Very Good Watch I loved it but it's raise to wake is slow but the watch feature is very brilliant,55 and above,F," Saunda, Uttar Pradesh",Homemaker,December,2022,Q4
The product is very good and easy to use and is worthy to buy the product at that price...,45-54,M," West Godavari, Andhra Pradesh ",Freelancer,April,2022,Q2
Super product 🤩I'm really happy 🥰❤️Watch out looking is awesome ❤️ please buy this product guys 😉,25-34,M," Bengaluru, Karnataka",Working Professional,January,2024,Q1
"Amazing looks and build too...display size is very nice and almost bezeless
I haven't tried all the features yet... hope battery backup isn't a disappointment...
AOD missing😬",55 and above,M," Chicalim, Goa",Retired,April,2021,Q2
"The product is very nice, And I like most the audio quality and microphone, and the shining colour of watch skin is not so looking cool if it does in Matty finish then it looks pretty cool and on this price range this watch is best Thankyou Firebollt for this amazing product 🙏",Under 18,M," Varanasi, Uttar Pradesh",Student,August,2023,Q3
This smartwatch was simply awesome,45-54,M," Koothappar, Tamil Nadu",Working Professional,October,2021,Q4
"The watch looks really premium, the quality of strap is amazing.just go for it. You will not get a better looking value for money watch other then this in the market.. Loved it ❤",45-54,M," Guwahati, Assam",Working Professional,May,2023,Q2
"Very nice product......
........",25-34,M," Purnia, Bihar ",Freelancer,November,2023,Q4
Superb,18-24,F," Hyderabad, Telangana",Working Professional,November,2021,Q4
Very good looking watch and design,25-34,M," Mathura, Uttar Pradesh",Freelancer,June,2023,Q2
Best Product Value of money. Display too Good Quality Faster. Battery Performance Long time I like it.,18-24,M," Phulia, West Bengal",Working Professional,June,2024,Q2
"Great battery backup
Clear voice while call
Good speaker
Value for money",Under 18,M," Mumbai, Maharashtra",Student,January,2020,Q1
Very nice watch.value for money,45-54,M," New Delhi, Delhi",Working Professional,March,2022,Q1
"This product is very nice
Such a good smartwatch from fire bolt and I like most the Audio quality and microphone
Truly a value of money in this price range
Very happy to buy this amazing smartwatch",25-34,M," Anantapur, Andhra Pradesh",Freelancer,February,2023,Q1
"Good choice Mind blowing Purchase
In this price range very good products quality overall all is good
Battery life also good
Mobile connectivity is also best
Value for money under budget thank U flipkart",35-44,M," Madhubani, Bihar",Freelancer,September,2023,Q3
Very nice value for money,18-24,F," Bharatpur, Rajasthan ",Working Professional,October,2024,Q4
Designe so good,45-54,F," New Delhi, Delhi",Homemaker,September,2023,Q3
Very good watch. With certainly good features and looks premium on hand.,55 and above,F," Cuttack, Odisha",Homemaker,April,2021,Q2
"Pretty good haven't used it too much got it today but can tell my experience so far. Features are pretty good too you can connect it with your phone easily but if your phone is connected with watch and you play video or a song the voice will play in the watch so you can't have it connected all the time and charging is good but battery drain pretty fast but if you don't use it too much it will be okay.
Overall a good watch you can buy it if you want😊",Under 18,F," Varanasi, Uttar Pradesh",Student,September,2024,Q3
Amazing product.,45-54,M," Arrah, Bihar",Working Professional,May,2024,Q2
"Product was looking very good and this watch has very Lar, Uttar Pradeshge display and speaker quality is also very good.",25-34,M," Haridwar, Uttarakhand",Freelancer,July,2024,Q3
Very good product ☺️,35-44,F," Bengaluru, Karnataka",Working Professional,February,2022,Q1
Nice product .,25-34,F," West Dinajpur, West Bengal",Homemaker,January,2022,Q1
Best quality watch,25-34,M," Siwan, Bihar ",Working Professional,August,2023,Q3
"Overall watch is very good at this price. Its battery life is very good means in single full charge without bluetooth calling its battery can last for 14 -15 days easily n more. Display quality is good and its curved glass , very less bezels and metal body gives it a premium look in hand. Activity and health tracker are also fine and works good. So many watch faces are there. And you also get some games and calculator which is good. Its crown dial also works properly and raise to wake featu...
READ MORE",55 and above,M," Jaipur, Rajasthan",Retired,July,2020,Q3
worth every Penny,25-34,M," Kishtwar, Jammu and Kashmir",Working Professional,October,2022,Q4
Just osm ...,Under 18,F," Kanchrapara, West Bengal",Student,August,2020,Q3
"I like the Fire Boltt Rise smartwatch. After 1 month of usage, I feel the watch is worth it and also recommend others to go for it. It justified it's price. Coming to features point, Display and touch UI of Fire-Boltt smart watches are amazing but sometimes its HR monitor records reading automatically without wearing watch which is un authentic. I have seen only in Rise smart watch only. . Also, Tap to screen wake-up feature is missing if it is provided then it's best. Rest all, features work...
READ MORE",55 and above,M," Mumbai, Maharashtra",Retired,September,2022,Q3
"By far the best smart watch in this price segment. The best part is the battery life, and a significant edge over competition is the Single Bluetooth Chip. Other than that, everything works as advertised.

Great purchase!!!",55 and above,F,"  Pune, Maharashtra",Homemaker,June,2021,Q2
Very very nice product...I am impressed this product,18-24,M," Purba Bardhaman, West Bengal ",Freelancer,November,2022,Q4
"Average but I love the price
I know the battery won't last long",55 and above,M," Jaipur, Rajasthan",Retired,August,2022,Q3
"Review after one month of use

1. Battery is good if you don't use calling features it will last upto 8 to 9 days
2. Display is bright and it doesn't give you problem in daylight
3. Main key features of this watch is display it is so good and edge to edge display

Overall it is best watch and value for money watch",18-24,M," Pimpri Chinchwad, Maharashtra",Freelancer,May,2024,Q2
Awesome products at budget rate,Under 18,M," Pimpri Chinchwad, Maharashtra",Student,June,2024,Q2
Awesome product. I like display very much soft touching,45-54,M," Gangtok, Sikkim",Freelancer,May,2020,Q2
Value for money,35-44,M," Mumbai, Maharashtra",Working Professional,July,2022,Q3
"Very nice, i am enjoying.... With the bluetooth calling and extra features. Worthful, i suggest to buy this without any",Under 18,M," Hyderabad, Telangana",Student,March,2023,Q1
"Its very good product
Very nice
Display is very fine
Sound quality is superb",55 and above,M," Perumbaikad, Tamil Nadu",Retired,September,2022,Q3
Product is good,25-34,F," Saunda, Uttar Pradesh",Homemaker,November,2024,Q4
Awesome product at low cost,25-34,M," Hyderabad, Telangana",Working Professional,March,2022,Q1
Nice product and compart😍🤟,35-44,F," Hyderabad, Telangana",Homemaker,July,2023,Q3
Nice product. It is a good budget friendly smartwatch,55 and above,M," Varanasi, Uttar Pradesh",Retired,August,2024,Q3
"Battery discharges immediately from 95 to 87%
And restating for 3 or 4 times , another 3% battery will be discharged",25-34,M," Bengaluru, Karnataka",Freelancer,April,2023,Q2
Perfect. Its very much worth it. Loved this product a lot,35-44,F," Nalbari, Assam ",Homemaker,June,2023,Q2
Good product👌,55 and above,M," Ahmedabad, Gujarat",Retired,October,2022,Q4
Product is excellent thank you Flipkart,45-54,F," Bid, Maharashtra",Homemaker,September,2024,Q3
Nice watch premium quality rise to wake slow but all good,45-54,M," Malegaon, Maharashtra",Working Professional,December,2022,Q4
"Wow awsm iam verry happy 🥰
Alhamdulilaha",45-54,F," Coimbatore, Tamil Nadu",Homemaker,November,2023,Q4
Awesome watch'...i love it,18-24,F," Ghaziabad, Uttar Pradesh",Working Professional,August,2021,Q3
"Love do it
Very nice product 👍
Nice product in less money",Under 18,M," Hyderabad, Telangana",Student,June,2020,Q2
"I don't know why in my watch I only get 5 ui interfaces and only one game, apart from that everything looks good
The most attractive part is it's design
Looks premium
That's 2.5d curve display is just awesome
Battery backup is not too long but it is manageable
The speaker is awesome (loud and clear)",55 and above,F," Hajipur, Bihar",Homemaker,June,2020,Q2
it was is super product and super and .......................,18-24,F," Pothreddipalle, Telangana",Working Professional,May,2020,Q2
"Best product,👍",35-44,M," Kheri, Uttar Pradesh ",Working Professional,December,2024,Q4
"Exactly Product. With Many Features...
Value For Money....
Watch Quality Is top Calass👍👍",55 and above,F," Tirunelveli, Tamil Nadu",Homemaker,September,2020,Q3
Good product,18-24,F," Kottayam, Kerala ",Working Professional,October,2020,Q4
Great product,45-54,M," Kalyan, Maharashtra",Working Professional,October,2023,Q4
"This very good product , with very affordable price.display and battery performance also well.",45-54,F," Nashik, Maharashtra",Homemaker,April,2021,Q2
Very good product 👌. Quality also good smooth Ul experience,35-44,M," Barasat, West Bengal",Freelancer,October,2020,Q4
Value for money product,25-34,M," Basmath, Maharashtra",Working Professional,October,2021,Q4
"Nice product
But add sound for alarm",18-24,M," Pulivendula, Andhra Pradesh",Working Professional,June,2021,Q2
"Awesome, totally satisfied with the quality and features of the watch. Totally worth the money.
Only missing feature is Always On Display. If they provide that via an update would love that.",35-44,M," Hyderabad, Telangana",Freelancer,December,2022,Q4
Its good and i like this watch,18-24,M," Silchar, Assam",Freelancer,July,2024,Q3
Nice product.valuable it,45-54,M," Agra, Uttar Pradesh",Freelancer,August,2022,Q3
"Value for money.
Bestest product at this price.
Awesome😍😍",45-54,F," Jaipur, Rajasthan",Homemaker,December,2022,Q4
Such nice watch on this price I love it,18-24,M," Kanpur, Uttar Pradesh",Freelancer,October,2020,Q4
Nice product and calling is very nice,25-34,M,"  Pune, Maharashtra ",Working Professional,November,2022,Q4
This product is so great,45-54,F," Katihar, Bihar",Homemaker,July,2021,Q3
Good,55 and above,M," Visakhapatnam, Andhra Pradesh",Retired,August,2024,Q3
"Design and look is very good.
Call function is smooth and clear.
Everything is good except battery. When use in calling mode, without any call, battery remain for only 35 hr ( 1 and half day only) . Battery clame by the company is not correct. But overall, it is good smart watch. 👍",35-44,M," Varanasi, Uttar Pradesh",Freelancer,November,2024,Q4
It's value for money product. The screen was soo good and it's so smoth to use overall the product was superb. I'm thankful to fireboltt for this wonderful smart watch . I'm editing this review after 9-10 months of use . Lot's of time I went in water or in rain also and nothing happened to watch every thing was working good 👍 overall it was OSM product. Go for it.,Under 18,F," Bijapur, Karnataka ",Student,June,2023,Q2
"Watch is very classy, display is very nice,it has 4 inbuilt games, calculator,8 ui interaction,the charging is also fast battery life is good the watch is awesome but only rise to wake feature is little late but other things are very good the calling is also clear.

One thing more if you are a boy then choose grey strap only it will give you a classy look",18-24,F," Varanasi, Uttar Pradesh",Working Professional,March,2024,Q1
Watch quality is So good worth for Cost I love it...🫰❤️,45-54,F," Tumkur, Karnataka ",Homemaker,February,2023,Q1
Nice product thank you for Flipkart,35-44,M," Mubarakpur, Uttar Pradesh",Freelancer,February,2022,Q1
Good product,55 and above,M," Mohali, Punjab",Retired,February,2023,Q1
"It's Really nice product.after purchase it ,My wife is very very happy and satisfied. She told me that this watch' is really amazing and value for money",55 and above,M," Navi Mumbai, Maharashtra",Retired,November,2023,Q4
Best product ui is very smooth but the problem is not coming from the speaker but the watch is excellent.,25-34,M," Mumbai, Maharashtra",Freelancer,June,2024,Q2
Best watch ....ever,25-34,F," New Delhi, Delhi",Homemaker,May,2021,Q2
The product was good but the wrist awake was not so good,25-34,F," Gadchiroli, Maharashtra",Homemaker,December,2021,Q4
Fire Boltt smart watch nice product build quality so nice looking smart👌,25-34,F," Bengaluru, Karnataka",Homemaker,December,2020,Q4
Amazing product. I really loved it,25-34,M," Deoghar, Jharkhand",Working Professional,December,2020,Q4
Such a lovely products of fireboltt rise smart watch 😘😘😘,35-44,M," Jasrana, Uttar Pradesh",Freelancer,February,2023,Q1
"Value for money product I extremely recommended to purchase this,",25-34,M," Barughutu, Jharkhand",Working Professional,August,2021,Q3
Nice product,18-24,M," Banswara, Rajasthan",Working Professional,September,2021,Q3
"1. Music control are not very good .
2. The battery consumption is slightly higher than others.
3. Design is fabulous.
4. UI is decent.
5. All features like Heart rate , Spo2 are good and give almost exact readings.
6. Display is also very good.
7. Build quality is great.
8. Watch faces in app are not very good, plenty of them look same. But you can make custom faces and use photos from phone .
9. Took very less time to load the new watch faces.
10. Weight is very less so obviously very comf...
READ MORE",35-44,F," Hamirpur, Himachal Pradesh",Homemaker,April,2024,Q2
Go for it ❣️,Under 18,M," Purnia, Bihar",Student,December,2023,Q4
Loved it,25-34,F," Lucknow, Uttar Pradesh",Homemaker,October,2022,Q4
Battery backup is impressive,Under 18,F," Medinipur, West Bengal",Student,February,2022,Q1
Nice product.,18-24,M," Idukki, Kerala ",Freelancer,February,2022,Q1
Nice one,25-34,M," Mahagaon, Maharashtra",Freelancer,November,2020,Q4
Great product,55 and above,M," Burdwan, West Bengal",Retired,November,2020,Q4
"Very nice smart watch round dial make it more beautiful.
Display is good
Health data is almost accurate
Battery back , you guys don’t believe after using 5 days i used battery saving mode and its give me around 12 days battery backup and it is still running with 10% .
Strap is good comfortable
Overall good package",55 and above,F," Gurgaon, Haryana",Homemaker,August,2024,Q3
